,Unnamed: 0,name,Accessory,Background,Body,Eyes,Fur,Head,Mouth,trait_5_rarity,trait_2_rarity,trait_0_rarity,trait_3_rarity,trait_1_rarity,Head_rarity,trait_4_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
1869,1869,Ape #6113,,Lime,Caring,Blank Stare,Tattoo,,Annoyed,75.97,9.81,0.41,6.04,6.81,8.01,6.63,1870,6.6745975626199e-09,0.41,16.240000000000002,5,2P4Y876x3MLUxvXfjEzh4ah9iWrRNUixB8G5icyFSz1i,33.35673
1828,1828,Ape #941,,Violet,Caring,Unimpressed,Tattoo,,Annoyed,75.97,9.89,0.41,5.7700000000000005,6.81,8.01,6.63,1829,6.428227587239897e-09,0.41,16.212857142857143,5,BvnkYYdTxC6SPrKHVA12iVGVyxhzoueUVPDrAY7PcErx,33.16401
1074,1074,Ape #5152,,Mint,Caring,Paranoid,Synth,,Ecstatic,75.97,10.28,0.41,6.03,3.49,8.01,6.260000000000002,1075,3.378848241373025e-09,0.41,15.778571428571428,5,GUfKWFvhX9Fhh5bJ7XEAipEZTTd36Ak3hadqHR7AUMZo,33.021774
400,400,Ape #9147,,Sky,Meme,Mischievous,Cosmic,Beanie,Ponder,75.97,10.09,0.14,5.38,3.55,10.66,6.2799999999999985,401,1.3721096081246722e-09,0.14,16.009999999999998,6,EZre7UaUeRJDaKXCv6mWJZ23YFYJ9pFS7u7LvYaGzS58,33.002975
1648,1648,Ape #250,,Scarlet,Meme,Confused,Silverback,Winter Beanie,Woah,75.97,9.87,0.14,6.11,12.62,9.93,6.8599999999999985,1649,5.513929945666673e-09,0.14,17.357142857142858,6,FjWq7E8vTYbiVhtC2Zho1fxmT7oHHMoJf8Uuwxh6ZZZ2,32.96884
1677,1677,Ape #2992,,Mint,Hoodie Hooded,Bold,Tamarin,,Bewildered,75.97,10.28,0.23,5.89,9.86,8.01,6.78,1678,5.665229354114322e-09,0.23,16.717142857142857,5,5jCJMxfrEBuG7GgdPtfqQ9SiyR1uf4zWCsuHbRPcYC66,32.846043
1808,1808,Ape #6497,,Mint,Caring,Confident,Tattoo,,Unimpressed,75.97,10.28,0.41,5.48,6.81,8.01,6.63,1809,6.3458939879507755e-09,0.41,16.22714285714286,5,3a7QGDDqMZvuvgs73o5dM3MBU58m2pk7rq8jx2g1xSCJ,32.832573
2006,2006,Ape #1478,,Creamsicle,Hoodie Hooded,Bold,Silverback,,Confused,75.97,10.41,0.23,5.89,12.62,8.01,6.88,2007,7.451029724656442e-09,0.23,17.14428571428571,5,GhVcFMncQWQNcHtsnJo6vfrnP5JZRHnqZm3parNXHUM2,32.22008
516,516,Ape #1058,,Rose,Hoodie Hooded,Confused,Amphibian,,Pout,75.97,10.1,0.23,6.11,3.15,8.01,6.3100000000000005,517,1.7167417758755371e-09,0.23,15.697142857142856,5,FjL61QENAy9ZAQYYQwBhrpLcq3wfWo3JauL3w2VFJMov,32.218452
1803,1803,Ape #99,,Sky,Meme,Bewildered,Cream,Winter Beanie,Ponder,75.97,10.09,0.14,5.65,16.68,9.93,6.2799999999999985,1804,6.306882132619693e-09,0.14,17.82,6,FqbXWq6E8okyBqFVFFJahfSg5GVhWy8T279n2Y1vigBy,32.133743
2018,2018,Ape #8908,,Forest,Meme,Confused,Chocolate,Beanie,Woah,75.97,9.62,0.14,6.11,16.6,10.66,6.8599999999999985,2019,7.588847974496247e-09,0.14,17.994285714285713,6,9y33Z7iKD2mCxLzvjAJnpXppSrDobYX725XrBwCoNPEB,32.10475
835,835,Ape #9972,,Creamsicle,Bullish,Paranoid,Magma,Ivy Cap,Ecstatic,75.97,10.41,0.76,6.03,2.07,5.7700000000000005,6.260000000000002,836,2.7098437627784947e-09,0.76,15.324285714285713,6,HSLMAq6BK9ko1raw9AYibjY38QRSwVqU5TpRbYEo4fv5,32.088478
601,601,Ape #3028,,Sky,Hoodie Hooded,Unimpressed,Synth,,Woah,75.97,10.09,0.23,5.7700000000000005,3.49,8.01,6.8599999999999985,602,1.9508280908446274e-09,0.23,15.774285714285714,5,7dWAhjpnagkVme1kE9zm1oDJfneRsCjTy2r1u3wpTsHF,31.875187
1159,1159,Ape #3172,,Mint,Hoodie Hooded,Neutral,Amphibian,,Unimpressed,75.97,10.28,0.23,11.98,3.15,8.01,6.63,1160,3.599784423528548e-09,0.23,16.607142857142858,5,DmP5oHpiPawGvjXicV9YJN4euuFprW9NfyLnnfQHQF1A,31.744963
2019,2019,Ape #5086,,Violet,Meme,Neutral,Chocolate,Western Hat,Woah,75.97,9.89,0.14,11.98,16.6,5.29,6.8599999999999985,2020,7.591212478326743e-09,0.14,18.10428571428572,6,ELWfKvBQoZbV6t6a8m8JVimuPkDCEg3byZKWUezhuDJM,31.348417
6949,6949,Ape #237,,Creamsicle,,Confused,Silverback,,Disgusted,75.97,10.41,3.1300000000000003,6.11,12.62,8.01,6.64,6950,1.0151690157393055e-07,3.1300000000000003,17.555714285714284,4,G4n2PscHqXq3ZfSBYXPBM8e1V2AFmvuVtFyM4PWekSK7,31.206211
0,0,Ape #6194,Hoops,Wheat,Hoodie Hooded,Relaxed,Magma,,Cheeky,2.28,9.67,0.23,5.81,2.07,8.01,6.909999999999998,1,3.3755628486537786e-11,0.23,4.997142857142856,6,8f82DYXm2AsXEPcPG1uti4nMfm4GwGEwNz7eyNHBMD92,31.087885
