,Unnamed: 0,name,Accessory,Background,Body,Eyes,Fur,Head,Mouth,trait_5_rarity,trait_2_rarity,trait_0_rarity,trait_3_rarity,trait_1_rarity,Head_rarity,trait_4_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
4320,4320,Ape #6872,,Wheat,Softball League,Relaxed,Tamarin,Trilby,Cheeky,75.97,9.67,2.69,5.81,9.86,5.34,6.909999999999998,4321,4.177276590652462e-08,2.69,16.607142857142858,6,FHWP92VHC1WMkeoast9LKDi6Zt2EtzfC41i8DEJhERrA,7.768398
658,658,Ape #215,Hoops,Snow,Bomber,Bewildered,Chocolate,Backwards Ball Cap,Pout,2.28,10.26,2.04,5.65,16.6,7.4700000000000015,6.3100000000000005,659,2.109691106639416e-09,2.04,7.229999999999999,7,9bw4B7ceAm6kj1Wvdr9h7HJjmMAQmNPDp2dKXan5Caz4,7.7683487
8317,8317,Ape #2223,,Rose,Adventurer in Flannel,Mmmmkay,Chocolate,Snapback,Pout,75.97,10.1,3.29,5.94,16.6,9.77,6.3100000000000005,8318,1.5345387304225118e-07,3.29,18.282857142857143,6,B55CD23xszpemx4A9pgNC8tzkFfFRT3FeVCbku6RWjPq,7.7681217
3896,3896,Ape #9210,,Mint,Decorated Shirt,Paranoid,Cream,Headscarf,Blep,75.97,10.28,1.69,6.03,16.68,3.6,6.93,3897,3.3118529051696855e-08,1.69,17.31142857142857,6,H1oNCnxzMy4vw7kSxpMRPazorXsEZN4ed7a9Eejp4C4J,7.768042
1287,1287,Ape #7478,Earring,Scarlet,Softball League,Neutral,Bark,Snapback,Unimpressed,5.1400000000000015,9.87,2.69,11.98,3.78,9.77,6.63,1288,4.003033841972637e-09,2.69,7.122857142857143,7,PKCy7DRvzWSKRLQM5yoSeLowm9A82NGNBbgz4fuoLkd,7.767825
980,980,Ape #9168,Bar,Forest,Hoodie,Confused,Chocolate,Beret,Blep,3.5700000000000003,9.62,5.87,6.11,16.6,2.18,6.93,981,3.089017835787076e-09,2.18,7.26857142857143,7,813WyyvfSuFEzLcvcatay414bJ1uq9kcQSV3XQeT14cZ,7.7677007
6904,6904,Ape #1787,,Sky,Bomber,Bold,Tamarin,,Smile,75.97,10.09,2.04,5.89,9.86,8.01,13.8,6905,1.0038464148389137e-07,2.04,17.951428571428572,5,3rEtwKrrfWKSkYcN3m9jmYx7y4yaq6ivDAw2qw6Tnief,7.767681
4883,4883,Ape #7969,,Creamsicle,Dress Shirt,Anger,Tattoo,Winter Beanie,Pout,75.97,10.41,2.58,6.17,6.81,9.93,6.3100000000000005,4884,5.3718446608696936e-08,2.58,16.882857142857144,6,QQDCKkHeazq5GHtvRScx2SrJuocokfcLpqVapJkPoiE,7.767635
6757,6757,Ape #4180,,Wheat,Overcoat,Mmmmkay,Tamarin,Beanie,Cheeky,75.97,9.67,3.04,5.94,9.86,10.66,6.909999999999998,6758,9.634757673877623e-08,3.04,17.435714285714287,6,HFa6G34ftenGYfhpH74RYq5MMWMHxYRJLZtJTXbxLt9d,7.7675643
7805,7805,Ape #4581,,Creamsicle,Adventurer in Flannel,Blank Stare,Chocolate,Headscarf,Smile,75.97,10.41,3.29,6.04,16.6,3.6,13.8,7806,1.2960309345482542e-07,3.29,18.53,6,3oPHDZx1JopLG444vFiD8aC6uqsm78qLApovXtmE4amE,7.7670217
6563,6563,Ape #7907,,Forest,Short Sleeve Buttondown,Mischievous,Tattoo,Snapback,Grin,75.97,9.62,5.18,5.38,6.81,9.77,6.78,6564,9.187568780666428e-08,5.18,17.072857142857142,6,ByEuc7wNdFND7EyucdpGdfmLSvZD6VkLvffFDWBVaH4T,7.7668443
8335,8335,Ape #7215,,Wheat,Adventurer in Flannel,Bewildered,Chocolate,Winter Beanie,Woah,75.97,9.67,3.29,5.65,16.6,9.93,6.8599999999999985,8336,1.5441674674805837e-07,3.29,18.281428571428574,6,Aqht8XiD6mVxN6wW8MQp23TWcVEaCYeT5KyhraqavTPE,7.766738
4000,4000,Ape #4974,,Sky,Adventurer,Unimpressed,Tamarin,Flat Cap,Grin,75.97,10.09,1.69,5.7700000000000005,9.86,7.06,6.78,4001,3.5278257045197724e-08,1.69,16.745714285714286,6,47rCQQaYJxixYXwMe96LUFwTtcN3xigB2kcY5hkQuwYw,7.766606
3256,3256,Ape #2313,,Violet,Overcoat,Mischievous,Silverback,Beret,Disgusted,75.97,9.89,3.04,5.38,12.62,2.18,6.64,3257,2.244802850479487e-08,2.18,16.53142857142857,6,ATdDhqEu4cfsfQCUxSbWbUCHT2iqMGz1QGQ7Y7EqZKVa,7.766323
5351,5351,Ape #9581,,Sky,Tracksuit,Relaxed,Tamarin,Deerstalker,Smile,75.97,10.09,2.23,5.81,9.86,4.69,13.8,5352,6.337867158302621e-08,2.23,17.492857142857144,6,B8EzRky9YJajZHk7ENoPSfEhUgHiAKdMizeybrFJ6iuQ,7.76625
9271,9271,Ape #2902,,Sky,Hoodie,Worry,Silverback,Winter Beanie,Bewildered,75.97,10.09,5.87,6.0600000000000005,12.62,9.93,6.78,9272,2.3167667698123503e-07,5.87,18.188571428571436,6,9gnSSq7JUM8NXh45FoEHAfNvzQfL7oeuxAX5KSW7vnrS,7.766231
2789,2789,Ape #4012,,Rose,Crewneck,Zen,Amphibian,Headphones,Ecstatic,75.97,10.1,2.89,5.37,3.15,6.75,6.260000000000002,2790,1.5849818321175896e-08,2.89,15.784285714285714,6,3MTbfkn8icEdjHP4SgWhAYMxsUm3EbamLkQ8ym5LBvkb,7.766072
6881,6881,Ape #6819,,Mint,Short Sleeve Buttondown,Zen,Silverback,Western Hat,Confused,75.97,10.28,5.18,5.37,12.62,5.29,6.88,6882,9.977982816499103e-08,5.18,17.37,6,916kmsCiSryfurwfRZCvGbfzGn2FYjSjX8rav4ggaMNV,7.766005
6424,6424,Ape #640,,Rose,Biker Jacket,Mmmmkay,Silverback,Snapback,Bewildered,75.97,10.1,2.32,5.94,12.62,9.77,6.78,6425,8.839374670983244e-08,2.32,17.642857142857142,6,3RpkBoLkbG1AUehJYnF1rm1np62SSWssDbiT6GVyusqU,7.765602
5172,5172,Ape #9213,,Snow,Flannel,Side Glance,Tamarin,Flat Cap,Cheeky,75.97,10.26,2.5700000000000003,6.19,9.86,7.06,6.909999999999998,5173,5.964484617911463e-08,2.5700000000000003,16.974285714285713,6,BSmBcfBpFbYExugrijKRqz1WuSQduWvUA3qfqPVFcGEm,7.7655263
4216,4216,Ape #9890,,Scarlet,Buttondown,Confident,Bark,Visor,Blep,75.97,9.87,5.510000000000002,5.48,3.78,6.67,6.93,4217,3.955872674713183e-08,3.78,16.31571428571429,6,EL2xkfrGME5sDmq6Ta5r9Sd4VNLUyfN3NnQPLw1M2WZt,7.765476
2882,2882,Ape #6159,,Rose,Down Jacket,Paranoid,Amphibian,Ivy Cap,Ecstatic,75.97,10.1,3.27,6.03,3.15,5.7700000000000005,6.260000000000002,2883,1.7214295950497498e-08,3.15,15.792857142857144,6,GA9f32fcvCcyxk4EsKCWWqENJYAzGrV2qeCESL39okK2,7.765407
4749,4749,Ape #8697,,Rose,Pullover,Mischievous,Tattoo,Backwards Ball Cap,Ponder,75.97,10.1,3.88,5.38,6.81,7.4700000000000015,6.2799999999999985,4750,5.116875602996244e-08,3.88,16.555714285714284,6,EMYMinhK7jLC8uMBcV9hZoe85PSToW3FJG6nNm7ujktc,7.7650976
2595,2595,Ape #5017,,Forest,Softball League,Blank Stare,Amphibian,Trilby,Disgusted,75.97,9.62,2.69,6.04,3.15,5.34,6.64,2596,1.3262527800097483e-08,2.69,15.635714285714288,6,6fPuuCZRCYzhQE8jFbYMfhSTuNWR7gZrjSWpJfXWyrVL,7.7650375
6362,6362,Ape #612,,Violet,Softball League,Blank Stare,Tamarin,Beanie,Bewildered,75.97,9.89,2.69,6.04,9.86,10.66,6.78,6363,8.699443064619649e-08,2.69,17.412857142857142,6,DFyKmGaL2jHswXzMnqsCmmSEU5wmMdqUWsQdGUrhCgRk,7.7648115
3703,3703,Ape #9665,,Forest,Buttondown,Blank Stare,Amphibian,Ivy Cap,Disgusted,75.97,9.62,5.510000000000002,6.04,3.15,5.7700000000000005,6.64,3704,2.9353519596101486e-08,3.15,16.1,6,5r1qJdXY3YNyGuoc3eNAD2WQKyL75VD9R2bRiB3TsKpL,7.7646666
7207,7207,Ape #1610,,Rose,Decorated Shirt,Zen,Cream,Headphones,Smile,75.97,10.1,1.69,5.37,16.68,6.75,13.8,7208,1.0819405450991663e-07,1.69,18.622857142857143,6,8fzjkhh4XfSTAkwMyRaVnfjdKH6eJUbPEKuduEHNyLiy,7.76451
1594,1594,Ape #9888,Earring,Sky,Hooded Jacket,Mmmmkay,Tamarin,,Confused,5.1400000000000015,10.09,3.14,5.94,9.86,8.01,6.88,1595,5.256156014139007e-09,3.14,7.008571428571429,6,4L5K2UrtYAZXB3gDZCafY21MQb5Q6bLCdzf2tMJiaRgV,7.7645073
3401,3401,Ape #8722,,Sky,Down Jacket and Scarf,Bold,Bark,Backwards Flat Cap,Disgusted,75.97,10.09,3.17,5.89,3.78,6.81,6.64,3402,2.446328870871913e-08,3.17,16.05,6,4pKhPyxtfQuvMvApivGU8BuED358aRqewfREYoB2MvUA,7.7644854
7275,7275,Ape #5559,,Wheat,Jacket,Neutral,Tamarin,Headphones,Disgusted,75.97,9.67,2.83,11.98,9.86,6.75,6.64,7276,1.1006788494872618e-07,2.83,17.67142857142857,6,4nJNvcCqjCdCWXpetLj4DQJsq4JZY4N7juQqKGqU3g9f,7.7644815
4736,4736,Ape #7448,,Forest,Dress Shirt,Blank Stare,Tamarin,Backwards Flat Cap,Disgusted,75.97,9.62,2.58,6.04,9.86,6.81,6.64,4737,5.0776872662261787e-08,2.58,16.78857142857143,6,5Tfppmo2rhXpAcGt22WNVCeWg3GMtY6jcX66ZTMzpbXe,7.7643895
8693,8693,Ape #1430,,Lime,Adventurer in Flannel,Confident,Coffee,Winter Beanie,Grin,75.97,9.81,3.29,5.48,19.44,9.93,6.78,8694,1.758582686580649e-07,3.29,18.67142857142857,6,8uUyDHVqeWsFRsPQkD39EwctPZVFpzAxwUueNwRh7smq,7.7643776
5166,5166,Ape #7305,,Forest,Tank Top,Mischievous,Tamarin,Ivy Cap,Smile,75.97,9.62,1.93,5.38,9.86,5.7700000000000005,13.8,5167,5.957836731144895e-08,1.93,17.475714285714282,6,RhkfvY6xGf1e2UZ2JxQaDyWR6tyvtPbBidqVF1yCywq,7.764332
5339,5339,Ape #3223,,Mint,Softball League,Bold,Tamarin,Backwards Ball Cap,Blep,75.97,10.28,2.69,5.89,9.86,7.4700000000000015,6.93,5340,6.315875597643588e-08,2.69,17.012857142857143,6,A4uKcCVhhad4QJPVgyULTjJP4cSsxPS1g4ZkNAqtu4Zm,7.764319
8036,8036,Ape #1414,,Sky,Short Sleeve Buttondown,Neutral,Tamarin,Deerstalker,Loathing,75.97,10.09,5.18,11.98,9.86,4.69,6.3100000000000005,8037,1.388030430043667e-07,4.69,17.725714285714286,6,GmTgt7koe6F6kVtgSThmSJNeKQgzfKjkAMpaWEnXGbRp,7.7640033
6425,6425,Ape #9787,,Snow,Shirt and Vest,Confused,Silverback,Headphones,Ponder,75.97,10.26,3.47,6.11,12.62,6.75,6.2799999999999985,6426,8.840624481988627e-08,3.47,17.351428571428574,6,2oF74sPVwdAwA5hXFetP3GZ9CSPvAYfG6Xji3q3oDYKn,7.7639623
4791,4791,Ape #9926,,Rose,Overalls and Shirt,Mmmmkay,Tamarin,Visor,Loathing,75.97,10.1,2.75,5.94,9.86,6.67,6.3100000000000005,4792,5.2013340540821504e-08,2.75,16.8,6,4BSrNLXq3AuKyx4QL4Rwqo1ATZR46TgR3GQYPWeyZAA7,7.763862
2720,2720,Ape #3619,,Forest,Adventurer,Worry,Bark,,Unimpressed,75.97,9.62,1.69,6.0600000000000005,3.78,8.01,6.63,2721,1.5024996224623442e-08,1.69,15.965714285714286,5,GQpqwp5Gi9a9UC2pjSXupWyFMT3aeJoLT21gZL3KKWeL,7.763527
4382,4382,Ape #6230,,Sky,Shirt and Ascot,Zen,Tamarin,,Ponder,75.97,10.09,2.1,5.37,9.86,8.01,6.2799999999999985,4383,4.287419193603226e-08,2.1,16.81142857142857,5,2ufmE3N2GaLSt8RUkTDdQBiaxbQR1rqqMNQwyRVCrA1B,7.763463
7476,7476,Ape #3109,,Forest,,Anger,Coffee,Headphones,Loathing,75.97,9.62,3.1300000000000003,6.17,19.44,6.75,6.3100000000000005,7477,1.168627475318998e-07,3.1300000000000003,18.19857142857143,5,42FsoQBacJe9cPi9QU8PLBBvW3d43hgoLbSgDCWTfmb2,7.7633977
6097,6097,Ape #9111,,Sky,Short Sleeve Buttondown,Anger,Tamarin,Western Hat,Ponder,75.97,10.09,5.18,6.17,9.86,5.29,6.2799999999999985,6098,8.024915112431049e-08,5.18,16.97714285714286,6,4SwybLwicC7WQqP9sAm24GfA63ruZQ6vNrrvCtTGBEGw,7.7632694
2985,2985,Ape #3342,Earring,Rose,Adventurer in Flannel,Mmmmkay,Cream,,Smile,5.1400000000000015,10.1,3.29,5.94,16.68,8.01,13.8,2986,1.870572237990848e-08,3.29,8.994285714285715,6,CjhLChNFdR2Y2ZG38u7eECudJZEtHmjTjorhQEQbE5y3,7.762883
1577,1577,Ape #7869,Earring,Mint,Adventurer in Flannel,Unimpressed,Chocolate,Deerstalker,Annoyed,5.1400000000000015,10.28,3.29,5.7700000000000005,16.6,4.69,6.63,1578,5.1775273763728936e-09,3.29,7.485714285714287,7,ChoXqMubQeufPGxhZRtMGvfrekXTeEM3Yr5nizLmuFRs,7.7620597
5440,5440,Ape #9902,,Rose,Overalls,Bold,Tamarin,Winter Beanie,Ecstatic,75.97,10.1,2.36,5.89,9.86,9.93,6.260000000000002,5441,6.53719281330666e-08,2.36,17.195714285714285,6,CFSQ5wjYizzeYQFLg3nJpHFeR3DnYeVAa2gQhntfK9q8,7.761936
5798,5798,Ape #3669,,Scarlet,Pullover,Zen,Tattoo,Winter Beanie,Blep,75.97,9.87,3.88,5.37,6.81,9.93,6.93,5799,7.321412651799767e-08,3.88,16.965714285714288,6,G2y6bZRQj3nmXsAoCsJM5vMwEKNznby519sH2Gi5BVFe,7.7613153
4692,4692,Ape #6807,,Creamsicle,Cardigan,Confident,Tamarin,Backwards Flat Cap,Annoyed,75.97,10.41,2.59,5.48,9.86,6.81,6.63,4693,4.9970159277668634e-08,2.59,16.821428571428573,6,7iGkbXfXXA9paN5C2CHfCruRtiphTa7b8o3J1RV9avMq,7.7612567
6700,6700,Ape #5146,,Violet,Decorated Shirt,Confused,Cream,Beanie,Confused,75.97,9.89,1.69,6.11,16.68,10.66,6.88,6701,9.49091364908391e-08,1.69,18.268571428571427,6,Dc9oPTqTYyU1XxLWsQef3jZKvGJjemySpswmrHnnNt3Z,7.76108
6979,6979,Ape #7509,,Forest,Adventurer in Shirt,Worry,Tamarin,Beanie,Smile,75.97,9.62,1.59,6.0600000000000005,9.86,10.66,13.8,6980,1.0214101117382363e-07,1.59,18.222857142857144,6,HL4pPHqWmqdK6Ma1yd31D3tALybiPoqjL3VVthNPwkxU,7.7610564
3316,3316,Ape #3461,,Wheat,Life Jacket,Unimpressed,Coffee,Flat Cap,Ponder,75.97,9.67,0.64,5.7700000000000005,19.44,7.06,6.2799999999999985,3317,2.3382179652420184e-08,0.64,17.832857142857144,6,3hc6yzXrnSyYe8ivniYib1XTRJJZd5t3ho5EFhRRp2ZG,7.7608614
7830,7830,Ape #3492,,Forest,Pullover,Confused,Tattoo,,Smile,75.97,9.62,3.88,6.11,6.81,8.01,13.8,7831,1.304213972596761e-07,3.88,17.742857142857144,5,HecCxi9tMSoZhUs3VQLarYVrMmFmDiqEspA2jTKLVF1F,7.7607203
4686,4686,Ape #1127,,Rose,Overalls and Shirt,Blank Stare,Tamarin,Ivy Cap,Woah,75.97,10.1,2.75,6.04,9.86,5.7700000000000005,6.8599999999999985,4687,4.97404805163076e-08,2.75,16.764285714285712,6,BEEs5oyDBnv6PAphaQhd3ueJ3BPTNZa5h6rUgxrdTBN7,7.7605214
3529,3529,Ape #2227,,Wheat,Tracksuit,Mmmmkay,Bark,Beanie,Disgusted,75.97,9.67,2.23,5.94,3.78,10.66,6.64,3530,2.6036163636880508e-08,2.23,16.412857142857142,6,BDaiJWtWCHrxvma59r1XsBfcV2i9VzA5APgMaeoNpkpB,7.7604127
5659,5659,Ape #1977,,Wheat,Flannel,Relaxed,Tamarin,Deerstalker,Smile,75.97,9.67,2.5700000000000003,5.81,9.86,4.69,13.8,5660,7.000139588164855e-08,2.5700000000000003,17.481428571428573,6,9gRcED44XWFx6r5ZagXez65UVKEqYnWLctrCWkUC2Xqy,7.7602367
5429,5429,Ape #8874,,Mint,Adventurer in Shirt,Unimpressed,Coffee,Headphones,Blep,75.97,10.28,1.59,5.7700000000000005,19.44,6.75,6.93,5430,6.515405446745029e-08,1.59,18.10428571428571,6,Dn3EbgBapjcuKWyLywjNf8R3DFHbK83Ybj5c9yt2Ue2m,7.7601714
1507,1507,Ape #5078,Bar,Snow,Overshirt,Zen,Chocolate,Ivy Cap,Smile,3.5700000000000003,10.26,1.86,5.37,16.6,5.7700000000000005,13.8,1508,4.835771756356192e-09,1.86,8.175714285714287,7,9HgctE52NP5qpHtnD7W436V3GjT6RYwtsyhA7t2WLxhk,7.760001
5508,5508,Ape #5657,,Snow,Down Jacket,Relaxed,Tattoo,Snapback,Bewildered,75.97,10.26,3.27,5.81,6.81,9.77,6.78,5509,6.680127346638485e-08,3.27,16.952857142857145,6,8UMieEYhzisByC1voTgcFdc5KaShTrq4JwmMq869VwjX,7.7596035
8139,8139,Ape #2631,,Scarlet,Buttondown,Mischievous,Tamarin,Winter Beanie,Annoyed,75.97,9.87,5.510000000000002,5.38,9.86,9.93,6.63,8140,1.4428887438209015e-07,5.38,17.592857142857145,6,BK2y8WW9H12eU9Rjc78hP3sW4ULz4TdoFszoo2CjSyYS,7.758993
5314,5314,Ape #9427,,Sky,Turtleneck,Confident,Tamarin,Flat Cap,Annoyed,75.97,10.09,3.22,5.48,9.86,7.06,6.63,5315,6.242590788947668e-08,3.22,16.90142857142857,6,HhdR5hj6HGmHZw67HPoxeWeST2ms8ghK1a9oiJaXXkvB,7.75888
701,701,Ape #8940,Earring,Lime,Hoodie,Confident,Synth,Ivy Cap,Cheeky,5.1400000000000015,9.81,5.87,5.48,3.49,5.7700000000000005,6.909999999999998,702,2.2569922800633537e-09,3.49,6.067142857142858,7,98EMHmfhwUAQ4MQSaUnibcAhWwcFPmjg9taopwsTnReS,7.758874
2440,2440,Ape #6318,Earring,Creamsicle,Hoodie,Bewildered,Tamarin,Winter Beanie,Disgusted,5.1400000000000015,10.41,5.87,5.65,9.86,9.93,6.64,2441,1.1537046428868153e-08,5.1400000000000015,7.642857142857142,7,ADTRmRR2toAx4BfzjHBRSKkrv7mvj48woke7voBfvBbr,7.7588596
5657,5657,Ape #768,,Creamsicle,Buttondown,Neutral,Bark,Trilby,Disgusted,75.97,10.41,5.510000000000002,11.98,3.78,5.34,6.64,5658,6.996847511548869e-08,3.78,17.09,6,ApHbSQDkU3CcecmmE243Hd2AVBa8Exsaj6aXfg6tDBrZ,7.75871
3634,3634,Ape #8473,,Mint,Softball League,Confused,Amphibian,Winter Beanie,Cheeky,75.97,10.28,2.69,6.11,3.15,9.93,6.909999999999998,3635,2.7743840623530584e-08,2.69,16.434285714285714,6,79He8FNnKdMQv6toyZxuaq3yE3UFQENTUpGQZ7dzP6dZ,7.7585006
8606,8606,Ape #7910,,Lime,Hooded Jacket,Mischievous,Tamarin,Winter Beanie,Smile,75.97,9.81,3.14,5.38,9.86,9.93,13.8,8607,1.7010939788469747e-07,3.14,18.27,6,HARcganwBgYYjFSYp1ce3aEbBznaAprtqMgX52ghZfYG,7.75848
4184,4184,Ape #4118,,Creamsicle,Overalls and Shirt,Confident,Tamarin,Western Hat,Ecstatic,75.97,10.41,2.75,5.48,9.86,5.29,6.260000000000002,4185,3.891464101060928e-08,2.75,16.574285714285715,6,FwGAYnoUr2jJM8BhLRTM1WhchndmeMu2Zx216LwbgXke,7.7583814
3668,3668,Ape #5345,,Creamsicle,Bomber,Bold,Bark,Ivy Cap,Smile,75.97,10.41,2.04,5.89,3.78,5.7700000000000005,13.8,3669,2.8601250224280775e-08,2.04,16.808571428571426,6,DeGcMoTJGeWpd6LMVRHWJU2KtPyCmnHHgJ7VB67pjy9A,7.7577868
2127,2127,Ape #6478,Studded,Rose,Hoodie,Content,Tattoo,Beanie,Smile,2.35,10.1,5.87,6.13,6.81,10.66,13.8,2128,8.556008647239544e-09,2.35,7.960000000000001,7,4TCyDzFzDJHnDpXFC57Ls1zs6qq1X5kvYsyr32j4hH8z,7.757692
9465,9465,Ape #730,,Creamsicle,,Neutral,Coffee,Backwards Ball Cap,Ponder,75.97,10.41,3.1300000000000003,11.98,19.44,7.4700000000000015,6.2799999999999985,9466,2.704397449334967e-07,3.1300000000000003,19.24,5,Qb6estzym98U4ufv6wT3noU7xeQsoAaZnZ8s6Ga2yun,7.7575507
5389,5389,Ape #6441,,Violet,Crewneck,Side Glance,Tamarin,Flat Cap,Woah,75.97,9.89,2.89,6.19,9.86,7.06,6.8599999999999985,5390,6.418486638757031e-08,2.89,16.96,6,C2SFEaekHvn8vq4bMQwK4msswVzBMvsKS3hxhXqupvcL,7.7572994
7220,7220,Ape #2079,,Wheat,Short Sleeve Buttondown,Side Glance,Tamarin,Backwards Ball Cap,Ecstatic,75.97,9.67,5.18,6.19,9.86,7.4700000000000015,6.260000000000002,7221,1.0860776065402801e-07,5.18,17.228571428571428,6,BAvztwGFftfvnF3oHDqUgyinGRUarJeBXWKPokkK6E68,7.757074
7735,7735,Ape #680,,Mint,Adventurer in Flannel,Side Glance,Chocolate,Flat Cap,Grin,75.97,10.28,3.29,6.19,16.6,7.06,6.78,7736,1.2637590276619925e-07,3.29,18.024285714285714,6,B1PVbnPJRntaPZr8uZBKh1SCg2FHFDRCX5hqphhRghAt,7.7570724
7390,7390,Ape #7708,,Scarlet,Hoodie,Anger,Tattoo,Snapback,Pout,75.97,9.87,5.87,6.17,6.81,9.77,6.3100000000000005,7391,1.1401279153153815e-07,5.87,17.252857142857145,6,FaXVKUxkrCfTRUatgiXPS98cLKgQWerebHDvScu6CmH2,7.757038
4641,4641,Ape #4233,,Forest,Softball League,Mischievous,Tamarin,Backwards Flat Cap,Woah,75.97,9.62,2.69,5.38,9.86,6.81,6.8599999999999985,4642,4.871917177298738e-08,2.69,16.74142857142857,6,Chpc8EwuF3mRF57G2XkY716p66ktRKQPDcFrPYpcXgPW,7.757016
7161,7161,Ape #4518,,Wheat,Adventurer in Flannel,Mmmmkay,Cream,Flat Cap,Pout,75.97,9.67,3.29,5.94,16.68,7.06,6.3100000000000005,7162,1.066795192836141e-07,3.29,17.84571428571429,6,5xmTpDbaXRZBoaL9MK85xSaJuXi4DPAdKoSJoqqRYxwC,7.756869
3122,3122,Ape #1403,,Violet,Short Sleeve Jacket,Content,Synth,,Confused,75.97,9.89,2.34,6.13,3.49,8.01,6.88,3123,2.072817808490648e-08,2.34,16.10142857142857,5,F4R78sFmAMkyrzKTictKKMxJYwBeFL3CsHQZ57zETGhA,7.7566214
4369,4369,Ape #4447,,Lime,Hoodie,Worry,Synth,Backwards Flat Cap,Grin,75.97,9.81,5.87,6.0600000000000005,3.49,6.81,6.78,4370,4.271929648085094e-08,3.49,16.39857142857143,6,CAwYVxZ7LFRNXr4nWCmoktsquuvWUYVEFFksJvk8yqS5,7.7566032
4567,4567,Ape #526,,Rose,Pullover,Bewildered,Synth,Ivy Cap,Smile,75.97,10.1,3.88,5.65,3.49,5.7700000000000005,13.8,4568,4.674379838566375e-08,3.49,16.951428571428572,6,82icv2dDeryVwTFyUUX5rCRSsAyHgKzUgPpB4XJder97,7.756178
3711,3711,Ape #6744,,Wheat,Short Sleeve Jacket,Confident,Tattoo,Visor,Confused,75.97,9.67,2.34,5.48,6.81,6.67,6.88,3712,2.9439226871979486e-08,2.34,16.26,6,J6uRQzTKMUsH83Zae6GXetk7y4qCoktyTFvF86mdZREZ,7.7561045
7589,7589,Ape #8352,,Violet,Adventurer in Flannel,Paranoid,Chocolate,Flat Cap,Cheeky,75.97,9.89,3.29,6.03,16.6,7.06,6.909999999999998,7590,1.2070978171186536e-07,3.29,17.964285714285715,6,CKkkJoe4WTCKsLnLXxqGui9TWamyPvGC7cXLgSX9EeuQ,7.7560635
5416,5416,Ape #3681,,Snow,Overcoat,Bold,Tattoo,Winter Beanie,Confused,75.97,10.26,3.04,5.89,6.81,9.93,6.88,5417,6.493265549732286e-08,3.04,16.968571428571426,6,3EJYrZSa2fgKUDw58rkyLua8kK7NQg5fdiE9faxserec,7.756046
4023,4023,Ape #9472,,Snow,Overcoat,Relaxed,Tattoo,Ivy Cap,Annoyed,75.97,10.26,3.04,5.81,6.81,5.7700000000000005,6.63,4024,3.5865398170787735e-08,3.04,16.327142857142857,6,Co7CHQnTtwLTfPHVPvq82HgWBeX27bLx5Djb47Y43Z8y,7.7560344
3856,3856,Ape #8545,,Creamsicle,Hoodie,Confident,Synth,Western Hat,Confused,75.97,10.41,5.87,5.48,3.49,5.29,6.88,3857,3.23132806707983e-08,3.49,16.19857142857143,6,CsVTG4SkGBqrejSQ8HeDM933yyLa9gfVfCWDbgRuMCQo,7.7555575
3995,3995,Ape #4194,,Wheat,Biker Jacket,Confused,Tattoo,Backwards Ball Cap,Disgusted,75.97,9.67,2.32,6.11,6.81,7.4700000000000015,6.64,3996,3.517495809484673e-08,2.32,16.427142857142858,6,DSa8kik2u6utc6uoYw8bwpdhJLjcRXaKFocAJKTi4BhJ,7.7554817
4448,4448,Ape #6952,,Sky,Softball League,Mmmmkay,Tamarin,Trilby,Confused,75.97,10.09,2.69,5.94,9.86,5.34,6.88,4449,4.436889653358766e-08,2.69,16.681428571428572,6,CQp92qUS7egMuZ2LUraQMbyAv4V37d37UTquU8HZ9122,7.755424
3833,3833,Ape #2165,,Wheat,Overalls,Zen,Tattoo,,Ecstatic,75.97,9.67,2.36,5.37,6.81,8.01,6.260000000000002,3834,3.179134121658243e-08,2.36,16.35,5,EF2F77cRLZLnG2FPGpSdiMkAgryeNByGnwDwbRL7yfx8,7.755418
4047,4047,Ape #7234,,Violet,Short Sleeve Buttondown,Blank Stare,Synth,Visor,Annoyed,75.97,9.89,5.18,6.04,3.49,6.67,6.63,4048,3.628021947617343e-08,3.49,16.267142857142858,6,2bCjvBxXYGG7vc42mazbVJwXziqrfH2w5hNb8ipgesVT,7.755305
4146,4146,Ape #6756,,Creamsicle,Crewneck,Unimpressed,Tattoo,Headphones,Pout,75.97,10.41,2.89,5.7700000000000005,6.81,6.75,6.3100000000000005,4147,3.8251348991990514e-08,2.89,16.415714285714284,6,5cQV2452do3HCtYuDGXRb5b9ARBvyUUW9NpNvePCEbQd,7.7551847
886,886,Ape #3715,Bar,Snow,Down Jacket and Scarf,Mischievous,Tattoo,Snapback,Grin,3.5700000000000003,10.26,3.17,5.38,6.81,9.77,6.78,887,2.8179188633923223e-09,3.17,6.534285714285715,7,CCUZdgYEHCnQVSr7JsesdRnjhGEZ7UihnxntN28e4gbm,7.7551165
3971,3971,Ape #6653,,Violet,Overalls,Relaxed,Tattoo,Backwards Ball Cap,Annoyed,75.97,9.89,2.36,5.81,6.81,7.4700000000000015,6.63,3972,3.474623843179884e-08,2.36,16.419999999999998,6,GqjZpebcCR3bcA2TtprVWfd2stwMm2gxkRDB148QX9t4,7.7550807
