,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
95,4VSufgBxMQVX6FfjK7XLwaGq6cNfnvaXM1JvY3FrFJEXg6bAyCDYHeVqfbfmDK9YBrvQEnFjp4yR7Y8Joz5mMsdt,buyNow,magiceden_v2,BvSKJaPfz7zJGPtKSuJTvgzgTrPcrrRtzPJWYgk1VbFU,justape,136822283,1654711264,3KwMmMqu4a7AztE6TNFWTeAmE8qRG483jqCTWcprvZNT,,7JWNyDin5paULXif5w1itpK6t2omZWVV5Yu8QEDBiLSQ,,23.0
96,3NJHnUrquKomWMbdiFWjwaPWh46fXGyhzTv5gdM51oLN1n9m7tmNz6bv9B5B2CsFqVMEQDpi4cXA2jNW8cp4eM86,buyNow,magiceden_v2,DTSPwpogF4RKNa3XXDGcUf1UjpEfMaVDPFtL1LqUC5kS,justape,136822281,1654711260,Eo9ajSHFKnQt1AWwJTyfUF8DiUBNotmqV5dBodHKmMZX,,8zYVZqagb4eSTBvhTtro2uhZ9nfXM35QrcsErs748e4X,,14.0
97,3DKMddtz4kvc1GnjFJ8mkQ1ApuBEyQuuNSDJgjFLErVVkSjxRyT1DdYKiPwWBromM7NMsoo2uyecNkFzay2SS2rj,buyNow,magiceden_v2,E4smfm7VYFNkNFfLiXeceucRP5DCxeeBG4AkoiHDdMJg,justape,136822274,1654711255,3XcT6z9ePMzYPtL2QcP4X3VTh5XfLP9XDqU2gfsGEBWj,,GERkZvpc4tMnJnoVZqQrZ2T2MtfSsQqgppv8kUPYqTdP,,12.5
98,34zNcwva6NRdmUTrZSwBRyV3AV7pGgfMCBbFQ8z4xnTSVWYPdNMup6NW1pjhSxPcJ3AjV6UfKHgdYVUisxFuDuh4,buyNow,magiceden_v2,HaZrSAr8AFDoGoydMsRZ7gnLF772YqUAzvjCvtFKXPze,justape,136822246,1654711233,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,CWT4ou8dgHSGjU1VZbn1XFUGU6uvFmUZfrH7gxLhzU7m,,12.7
99,3edpmQ3bHkQ49vFqiLcnTgzX7Hdjw7ontSePWSP735rcQvC5iHQnjsJskZJ9p1E6nDqmhSx9Y7uzJkyjX8cyAHFJ,buyNow,magiceden_v2,8GwnJD1LQKJXPgYHhGrQQKHeVVEzfZ5ZQLN7cTzrmEzp,justape,136822246,1654711233,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,2m4gp85Egc7psb77jjBuzJke1McB31ocCVkSkK8v9dds,,12.8
0,5SMn4GTnZ7xmQkUQpk47CT1qE1su6XFCDv2spUPYsyrxLwEdAty5DBXfEdGkHkcigYUWjawkeCwC8mimLaav3t96,buyNow,magiceden_v2,FmjV99JHNsQPQG9eDCAMsTsT6eiWbzwy7bLgwou2hX6f,justape,136822239,1654711225,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,363TKDefTiareSbooDFy66Nvbm8Jjs5eE6RdCGNetDFw,,12.44
1,2LsG5ax6iyt9Fxq9q4iE2hHVEb8AtXt3mU5fCN5vVS1nHwBJKbQRW4HDZuKG9RhuQM7dVyCQSXe8TK5irv9VmDuk,buyNow,magiceden_v2,GLRML9SWXhh1rxrn7b9AXh2xC4Aq9JePXi3GCJQGHco3,justape,136822238,1654711225,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,FBcExKVWnUM833bB44CNS1Q86nNLEmC5Wu3NSMErrDSy,,12.88
2,5ceG7G9TyCqthCXe98VfDij9eSK2QFzkGgjZS89WYwQpNsNbBhd2SktyrdqZpndtY8XsYoGSidiAks1wQqHjVocg,buyNow,magiceden_v2,BzPpTYkKLGtst7mgdKVn45R8othP8prToXZP7j44zBXX,justape,136822230,1654711218,7pdMXYUF7u13uUE5ze1ZzGtt8ZTPeTGHR3k2gwU1wu6L,,9FszBCS1yxAv9NCZYH8kQWFzDKFXMTdVxG2YPRKoyTHT,,12.8
3,3Uf8bzeedtxjTtikqsryEYMvtAVLjgNK9BLTcz6jL1ger2GdMk73H3cncTaonG4yHycynHHfXpZFTRgHyWKrnMWM,buyNow,magiceden_v2,54svxxopQYTfYTdXH7UGqJ9iVc9kiX9Zpcvesmj6b5h2,justape,136822220,1654711211,4kNu5mL1gcsnJBrPwc8AQeZw8iwr6StDz9vXRBpft6Zq,,EMnsJCgenBKpBRJQCp73ep52pmyjtjSBF1tneZpTgKUw,,12.888
4,4paA4TXPaZHgeWtpfXVyp69rpzLcKrUsqnD3S8TXrbbNG9QAfUXWMcfNgncs4z3yguHRRu2N9FVa9tkWEoj8ejH4,buyNow,magiceden_v2,HoQGJdXTja38XULK5buhpdgY8Q4xQW3DdhLz7smgNc9D,justape,136822219,1654711209,AxPu6To9yokHihogVWYkCiNwTf4U4sS3SCXnC5c3r3xz,,B3E6e8h6yhYFvMiEpTyAGi6DvgcisgFHy7wfetahvGuw,,13.57
