,pdaAddress,auctionHouse,tokenAddress,tokenMint,seller,sellerReferral,tokenSize,price,expiry,rarity.howrare.rank,rarity.moonrank.rank,rarity.moonrank.absolute_rarity,rarity.moonrank.crawl.id,rarity.moonrank.crawl.first_mint_ts,rarity.moonrank.crawl.last_mint_ts,rarity.moonrank.crawl.first_mint,rarity.moonrank.crawl.last_mint,rarity.moonrank.crawl.until_tx,rarity.moonrank.crawl.until_slot,rarity.moonrank.crawl.expected_pieces,rarity.moonrank.crawl.seen_pieces,rarity.moonrank.crawl.last_crawl_id,rarity.moonrank.crawl.complete,rarity.moonrank.crawl.blocked,rarity.moonrank.crawl.unblock_at_ts,extra.img
16,2WMo9F4hsqTD2ExbkzY5EBz6qYXsvzh9oqvVYJZL4EJ6,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,4KWZ4fHS6uPwDTz1xunFXTqTBEmTomPeb7xexXGswdgT,6aN8svvaeMuBRbCmyBS6SUEjEEBDyiMU4cLUtZhaSADE,ofcuYN5pAbqXC4uTQ7GuSxBd1xXzYJ862dyxGsvZRHK,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,9.69,-1,8884.0,8724,1.7854119883048474e-07,ape,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeidjxeamtrbxh43whaez2xrx5ci3jfkecn5khtuh63qrupmsnl6gi4.ipfs.nftstorage.link/7725.png?ext=png
17,2vHxW8td1fwtnsKzYQMsph2J3zVPapxsJseD4BgYMcVP,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,pQvnzmqDGu9HGqz2SmtU6PMBmcy6C7iMpA5P3yiDSLb,439kuGwRmGZqNHDtd6NC8Pik8meJRZ1zKhDFHXcLuqUB,5jhuaL9ucnXGyY2kyyECE7SCEoJBYUHLYENvV2ZatRsv,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,1600.0,-1,87.0,8,1.449126151478109e-10,ape,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeih7zbxwzajxnrqs7kcakghfaoeuiobig7z2ch3qpbaxny3btabsiy.ipfs.nftstorage.link/6147.png?ext=png
18,5maLCGfX6Jn1pTkcQQKdyaijiyE7PUSpzCPSqXbu68wP,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,9KjshohUht8Z4ASKydWr7JzBbrKnzNCicUmzLy3MMGsv,ASPJVo5hU3AeCUVSw9BnageH43mgdWvVTiXK3ePaoxmv,58qbzVgKLhQ8J6uy7F1LAQCNHjYEVrtumwtDxdndpg3M,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,24.0,-1,4734.0,3993,3.5143300275792725e-08,ape,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeidmcq643loh5yniq4mfg2nqepkxhcxlf6pg7iupw5z4nttkw2pspe.ipfs.nftstorage.link/6181.png?ext=png
19,CYdnXsaKFvGMEYFaMcDgVPD5z18VVHEBH9h3Gvfzn5ki,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,4yAe2G4GtE4kzEUqx4LPWqa4ChrMWUMnsLnrmoennfii,2Sgjfhf5pTL7pRK5HZ5Qh6FLSkUKTJ9TkaEX4wVys1hd,HwjjExGke9Y1LyW1EPiYicpLgJAv5Nn1icLzhaLRkXF,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,15.0,-1,2987.0,4118,3.792087425899195e-08,ape,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeieq43thiyckhbd74ca5ylrttlp7nxokjsvdl3xrty44lei2es5xl4.ipfs.nftstorage.link/4148.png?ext=png
0,FxPzZS2To4F8nzj84CegZkGFw1oHCQF6Ja9an8MTe6BW,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,4ejBuKeJsUpAjjY1fPQkFRhuBHhfT6S9YRr8YAXjsJib,C5yt5cnER57GCJokXGyffSmjnXmtf9vWcx81RrpFVmPY,ErEXXkWN4MoRv2yvfgGEe6xhu7h5P6awV6xyo1jeAEqd,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,500.0,-1,3359.0,5211,6.036505605229895e-08,ape,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeien2r4oiqx4jyerkep5xsabrflkahcvqobw43dhx4ome4ng4uvyqq.ipfs.nftstorage.link/1356.png?ext=png
1,8GoyiHXSc1oRFdrYoLdjMFTuuEs7ShtziCSjPdGgAaeY,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,8U31TyvfXQPE7dX7zSygA8Mca1FB8CHzMWw1VMkmPboG,GQPspQQqNisvPhdLwR3YLgXxKu3B8SFYwwpCDquUoct6,J7hy7d99zWWg5zoZPdFSfcbrjzgFxoSqkjT6ywDbXqLF,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,50.0,-1,436.0,3798,3.1112425014353874e-08,ape,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeifjjnvgroj6rnmn2yeci4g2ubipv4kcwdidpnosybg24p7gjey6vu.ipfs.nftstorage.link/2105.png?ext=png
2,EECnwSnDfEtmfiE3YmFxDDUsRwqorJwoBECY5Rvq7Di7,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,5dALKGFpocHWsKS3cAWBDRcoCbKond4vbG1uwGvta8Bu,4j7Z3CgfHgHbGJo8nLf9wh344k4LDY9KQ8dipazXo3JE,ELL5889Ja3yVmDKCYpcCqYQSiLi6tAh8wbq8scYhf2Ud,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,14.8,-1,9056.0,8590,1.686121145656706e-07,ape,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeihsmboq7y5zuknlzi2xwl6isgwtp6msj6eeibcsfowzb4qbtcfs34.ipfs.nftstorage.link/6409.png?ext=png
3,4ZRYjrz2pHCZjPDxh6usqpAH12Gc74YGURYhSSCprKRN,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,8kVUWeXFZnfmef9bGmpfjgR3xfwJHz7KUpfMyLxnEmyP,Csa5ET8R483u9YXgEyigm6TfK8SMtVvZ4UVZrjBKkbeH,BVZtCSWoyhcnd11xQLSej1AANx4z6tQTQbHzZezQGCMX,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,30.0,-1,833.0,2014,7.497640645676855e-09,ape,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeifsay3zfm4emlfafck4fnd7cpwd4zftmtqd5pmpu3iopjbdsywa4i.ipfs.nftstorage.link/9721.png?ext=png
4,7qZ6pzb1sSCgX5ETQafejvwkWFcFVeoSUPLDNbXBrcMq,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,ByH9XcqSgvdXEehemx5h1io8G7kzM1pYskgknTyyhsPr,5VN3d1xUc6g4trSJ7Z8b7pMryjyc9W2CTFt4NMEwJJKq,5kJCsTeYc2qK7DbqgzGyk5yCzN4fG9EtN47fRMmjyFte,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,20.0,-1,6725.0,6783,9.708275802545094e-08,ape,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeidu7tebw5bxjzb4x6w73ijgbock7b23hyc67crrruuoozbjuzxp6y.ipfs.nftstorage.link/3069.png?ext=png
5,2QaKgJMSBsCrTu1Us7gptTnHoWpmsx45knYe5K9nsYoo,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,GXgkbQkY1apz7eWJ93c4EXj46xzPsn86tEAtfTqWX3Db,4NNnNxMr3w4gZFB4jfv7kXcUymSiWAbmnBdZDMq6yYZs,4JBj8aPksd77DAb8nWzeXTJQM8AGTb1RUTLQU9TvtnW6,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,10.99,-1,2931.0,930,2.9322219531769673e-09,ape,1654552177,1654636479,72tCYDZZg1nLqLuuGtg9dRBsYJRsRVbaovGyDqBWh7aJ,6ujkuziRcF7NLzqL9Q738cPx88Rt2KqimQ1xvyDPsVEh,,0,10000,10000,1534284063660494800,True,False,0,https://bafybeifwtjqignttzliemnre4rjpknn52drmxjp2b3ccdivz6gqgxte4ky.ipfs.nftstorage.link/2573.png?ext=png
