,pdaAddress,auctionHouse,tokenAddress,tokenMint,seller,sellerReferral,tokenSize,price,expiry,rarity.moonrank.rank,rarity.moonrank.absolute_rarity,rarity.moonrank.crawl.id,rarity.moonrank.crawl.created,rarity.moonrank.crawl.updated,rarity.moonrank.crawl.first_mint_ts,rarity.moonrank.crawl.last_mint_ts,rarity.moonrank.crawl.first_mint,rarity.moonrank.crawl.last_mint,rarity.moonrank.crawl.until_tx,rarity.moonrank.crawl.until_slot,rarity.moonrank.crawl.expected_pieces,rarity.moonrank.crawl.seen_pieces,rarity.moonrank.crawl.last_crawl_id,rarity.moonrank.crawl.complete,rarity.moonrank.crawl.blocked,rarity.moonrank.crawl.unblock_at_ts,extra.img,rarity.howrare.rank
18,FRxsjRbTFZYFhpd7LT7cNFXA8QahCXyLxMkSrE4N5MP7,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,5WLtB7NpXbFFixZ3cheVb3wCkdSE9zjFgswXNsvBUJjL,7Y7hrgSg8tVs9aked2dosBkRuAfe2bhxchCKCK6aUtot,G6sRFsSMyh5pqmLEo4hCBHesRHMCGRqq1iPWhTT2wvk9,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,299.0,-1,1273,8.652781045354579e-10,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeighjl5tsg5rpyokpizeodz6ho46rjenzyzslbozh4qdfehhhsgrsa.ipfs.nftstorage.link/114.png?ext=png,
19,CDaEBNfQw2LL19vXZN6rycnRmqign4eHEAMAM9Gn1Jrt,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,BH7T8RFHNHNU82jYaavUjJHqwAJcifeLye6qKL4MNHH,6ZjwjV9Die67f2SUXF2PmA9mV8s1mzdiY3n5jZiXkr9P,DQBvKfqyBsAZWghCmfCHUDANGt78X8odRunVqkTq2rM4,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,199.0,-1,3551,6.322384878822456e-09,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeiergvyluqjqiheufi3xyejxjuz7jo3lydyi6kqduqngwjiczuvqwq.ipfs.nftstorage.link/9015.png?ext=png,
0,6wSuHTDXoWTAsxDzH4kfN8BYVze3UrsKmhBqdNKFgTYf,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,AKZf9ED2iopCGuBECrxFcZL3kurDAKe4cbyKZAaApBM2,3jQxt42HRQ8Zti6etgR24FgdgCdWuMMDjNFyu1s9bZWY,6XEkqBXZEqLkTDopuuPLzFSyFVKGWUKjUcX99AH32zVS,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,170.0,-1,8692,2.6158154345364996e-07,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeigiwajprlwkjzfxaexns4xiewoh5f7euj4b5juh7nsso5bpuxmbci.ipfs.nftstorage.link/1839.png?ext=png,
1,4ARUTBtLEaz3KVEafcHcoEx2dPkirp2vZ3CpUsh2tRWx,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,8y525LgmtwAw7R3ZcBy8MVdqWmat4t9JsD94Y3c75BWa,91fPiwnm7M6FJVGw9s44ncnrT343C2ANy22vNtdpsjHZ,CVuzw2hn57zJNUA4UR2boMrYkgx16KABWdufztubNZT1,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,190.0,-1,4949,1.587221308663749e-08,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeig5kfugvqkybg5aj7vcg7kzhtfpcg4xmg2qzhyopn6mbjceqkxmq4.ipfs.nftstorage.link/6748.png?ext=png,
2,DieHUwpzXCNUEgpfzDknVh1pCEgtDM9DQ9s1HAh5KByL,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,7b4cumML7W3sBR73XqNzncF8DgE2UZaibMABdWu2zxDt,2pUTVvXfHGYpenPAT2a5UWSc9qaWkAejQNnfQ9UqUNCf,33XA8ApBD5prZiQu2GccLZ7UdSxHU5NuRKJTa7wdGEdp,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,123.5,-1,5936,2.9837042894475366e-08,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeigrfcmzuc5yyi4xcjyjrwpbxmmocar3diwmtywxsxkls2fsw3pghy.ipfs.nftstorage.link/1638.png?ext=png,
3,AV3Gr1TSoV8vThc3NJe8JSpM6qE3hjXsjpxSN728b4HD,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,HmF7tM83KG2X2AUPEe7fJDW9Feyv3B9dPaca52PuKUkz,CimstaQfhaf21qQW9B6ooQtzpSV7MP4riVXA7iotywjr,G5driKaVYNUzkVz9pGeFzpYitZk3xKjoUo8GjkttQ63d,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,126.9,-1,9091,4.3862660498085877e-07,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeid5z5eiyzy5hivaeuybbp2n42vqpl34nrhl6zbqgs63fbrj2lgxhm.ipfs.nftstorage.link/2219.png?ext=png,
4,J6io4g3SWK2BCczH3m6CVJ81uBS7dkcrYu85bpNweGnZ,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,A8jPW8HffnUdVhdLAP2doo6AxUnBBNxvbFGuGzmph7gb,9DkQG13eWenTCKpwwbaAFXSExeiJAdxcRv5BkKyEErms,BgHeqDPfNgxVhxet9LzNvbdSQvAUE3mjo2cAbdWfeBPX,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,174.0,-1,3352,5.415500472061921e-09,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeihoovttympjnuc4efkho6y7jdrrzco4xma7dxttjxxiudxlluemgi.ipfs.nftstorage.link/3773.png?ext=png,
5,4pum92pSoLoKxrj33Etand3jkjWXHQe96oh4bKWx7myu,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,Cr2NAQvXcwQZF9423Lc4dexEqzCLfDa1PEknxSjD7ZBM,BYYbtbnKWsUn1J1nH9CfpV2uHKwNsq4pTprQXpeBrEjw,9iMY4ipwcHo1kEHJdtvqNuDhUFLeGdvHYo3EF8xT3DZk,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,425.0,-1,9007,3.8828037938765435e-07,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeia3y3ygt27cgj7mmqgmrdmbkueawwaasgbogxrh7gw7vomnlzljre.ipfs.nftstorage.link/8208.png?ext=png,7331.0
6,A8jjug82Bn2PNtnE7WvWofFT5fARMBAfpvkpDXCpsu7E,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,DEqPC8F1BMw2tkeWw3ZnH5AMrDVCUaDEfwu8hfDmAbQQ,BG2J5b8eKsxJDnLzG8oUH7MgePpT9mdKqpJPF46A69sz,5V5wiPcbr2PnRPNtY57Myp3TWpSr3vfziofGxEbsahAT,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,163.63,-1,3620,6.619824182332067e-09,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeicdi6zjbia4mcle44lg5zhuraoaaa3kzywcitzo3thje2kqf4k5zu.ipfs.nftstorage.link/1010.png?ext=png,
7,7FwhnXoS5mZBNZfVBbkGkHhbPMp2j9JHxdsWMed9ujDP,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,FDmDTWseK1cNVdBadRyXqp4ETgAu9n4XF2q4Nb9Sp7nj,2LjPLXqS1Hba5vZcdekEkkqqCz1WzjdAsiLPZ9NfL8Y4,9ermZeHBwijdqcrLZyyCRq9jn1BWSkFNak3VzyPp8E15,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,119.0,-1,4841,1.4722911487244152e-08,okay_bears,2022-04-26T18:04:50.168544Z,2022-04-26T20:18:22.764647Z,1650996001,1651003401,J4qzw3nMsgH6fKjLKHerUH6QiXH57xQCb9NA4qFQ7JbV,3ENiEjh3u8LwBJEVpnTnwBpEMYN8J4cQwtFMMjgwAGUu,,0,10000,10000,1519048212869988400,True,False,0,https://bafybeicdi6zjbia4mcle44lg5zhuraoaaa3kzywcitzo3thje2kqf4k5zu.ipfs.nftstorage.link/990.png?ext=png,7580.0
