,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
91,dWMKFEYt3gRvWmgvtEQrWNFjhjRQvDsKrsHiePbHwyyKexgAzScb7dKnS5oW5SAAz5uprjxG9eV9iWANtmsePnL,buyNow,magiceden_v2,AJsx959E6UbPuU2qLAdrcTSXHknZp5fGq5xEamhkq3zi,primates,137721596,1655356165,3YsHz5Fiout7TWJwgJWdj6SfoaqxuoYcAhEHfynbvt9p,,2iBkc9gQjCh19K2kfLe7nDqWaU2kT4o5Kmihr6geHJM8,,4.25
92,3fMjiinGMSyctZAYyX9VA3NbkJzvfTJmvBMkjkvwErAMD5mWJBAySDJtWBDnwUevu4tyB28MygSfkrNcfsVL2sWP,buyNow,magiceden_v2,Ccku2QL77dbgmYtMYmhwCNsRdzMFwKn5cdWVFDCjunsL,primates,137721568,1655356146,5kGd4TgU3R3oMsRnnUzPcjTeNZfrheBapTJ7k6Sahq2c,,3SWbAzgjeJZKcWSJPcSgMFjsSp6C3RpB5ByvfvNRKrYi,,4.1
93,4959ggrsMq48HwgvvW7wsg1dGqh2Vk4pLFMDcWFvDB6or2QqmfVpEZJ4APGctmw85RYy1Gk6gx5Km1jcUm7r3URk,buyNow,magiceden_v2,8wcLjJzZ36ZS4Xgy7U7ynyBJcYxyNoENVu2jRJTB6DFn,primates,137721488,1655356091,3H1CQef8uwTS31YHr6KMmDwV1qaTpmoC8Hegqwv8VoqN,,9uAqWSN5Rcd9WjPmaGcmYpkrT7DR1GybZ4RVsjRPk9q7,,4.1
94,4eqgbsqeJbzNdVpC7gk4t5sQZd8b4yBfT1hdsApVQMEFmUn3iuR7yrPjYBSf7TCwbhtmXEVuXRvwCkNbo7RFN8nm,buyNow,magiceden_v2,5XHDbidN1AfAFTKjCptJX8GUs2Ud5HRLJnzbubV9V8up,primates,137721378,1655356011,ACey2B9yb88tcrt9Lcj6VcxLNgzKiQFKVjF8dmdVYxyp,,GF8Ep5koouEBB3fvguiNK79wqE1PEuDvtbcfhVree17L,,5.0
95,541kjmQvbQrLio5PA2K7fmjwH2uDaAfANeuqJ9x66UBZ9dYzpb2G4ifqeSuDYAdj8VoC1o1VA9YyuJcARaCAA5ZU,buyNow,magiceden_v2,8QP3sae66aY42aXCsfL64JaR8JF1cGPvhJfhjw3hor3F,primates,137721335,1655355978,9wseuMN9GxSs9dgSMeBiA9vbLNWfUiGR1QYRKfSzCoNU,,ZJhj8c35F4cqbjVmxUDDgcvz8iYeZfJ3aQ4hrNrviEt,,4.09
96,UoQoBBVBKRXMRop1GDHjykzQTAFYNY7uPRhBmaR1CihvitUuBk82Wh9CF2q9QZeK72c7dXvfDA9iahr7ymCFzja,buyNow,magiceden_v2,6EumPTiJokeyTPwkKYgrJiqXrTwW4zVmMX6tsrMt6a4H,primates,137721315,1655355967,7WAUEYuBd9FBY57cRLPtkRQ2ukaq85L6ztQFWBJf8EgZ,,ArPSCAjrGZ1edAu4UNwrJXcVhr7MM9ETCxKYjCvjsPuF,,4.05
97,4m4ha84wMTknQ6o6iUnRSA4vc1bDZ1UFZLz9GiU5in3i4wouEicCkwhWjTkKLPKRR7GHdMSzaFSGpicpRFWCjAgG,buyNow,magiceden_v2,9TE2GeiXtD39AhZUYfv19zriKiQB9LZqbmRz6NVLMetj,primates,137721111,1655355828,BQ8QwwdPx5u1M7JYLCsP1vUiRdgWFZTr51EBBtawc3z1,,Eu8RT7saUfRQjfava57uwRujQyjBtfoKLPkMJg7QdHkh,,4.1
98,NucowsDGW3oRUoM8BL6SXyJKEy198NoLEw7yy9rT5FFSj1BJLN3Ppj6NxcnreVCqj2AgUurxqG7J8E5Z4Q1aonF,buyNow,magiceden_v2,BySpxB151ASbzgdWP9ieLDCTJ7N141yGowTJwMrQiTV8,primates,137721102,1655355822,GSjU3TtPpc84oPLfVgKemBRzjZvvkCNHpXyvE1CTtLMv,,ArPSCAjrGZ1edAu4UNwrJXcVhr7MM9ETCxKYjCvjsPuF,,5.0
99,2js7PXsHMNcLrdQjUat5nNwoEbD4RN34NpLSjAYaKMMx8QFDnAjFFDypbSCC7y7TurgooEBBvQnvnjsDEaCEFNwv,buyNow,magiceden_v2,4jM4v4gRizBbiwUuBSc7MP7huDWyXoLuiLGfKjw8THgh,primates,137720971,1655355724,3FVp9gnTidkjbu6nEJBZyATx3Dr7XgiD6Twj1ECfVgK4,,A5nTovAxG1dCcbY5CBCFprBYUS5YVQjn3j2twTLQWKwU,,4.3
0,55tyMe9cwSRZkRkftq1fgazrxVWSPg6qivrZMy63J6Pb9AvFjdRsrBfbCy1U2yYeFG3vvCxSwpYdHDrdZpMjC7Gx,buyNow,magiceden_v2,96pYKriA9aoJUmBqu6PxZPZaxgYZ4227Kzyge6w2QHhu,primates,137720845,1655355638,3GyefkUST6R8FHQbRXBGymBECFokvgXDyzb8jVBbEimC,,3KfpvPJ6gP4Q5VETeUBu11eiBVsFVJ5MmtxkvxAqVtKG,,4.5
1,31DDuNxvLy9Cw8SJMfsuWhaWBMvWqHtmgVhUYZW5q3HZreMPdAQwDzmtNZ7BPw34UBr4Lpjs9Bnhy9RRRFvk7XRc,buyNow,magiceden_v2,EEQDujLii6mW22X8NqDAdjTN3KhGicYDTqC5b15ks1Ys,primates,137720845,1655355638,3rSCnSGXiPeBNGxJGJaDL4UwnJFXL5bZVFetQvhQhKV2,,F1wK8VKgvmskXTBxs61dvXacpB4s4zWgFtZRtfdtZrSt,,5.5
2,4NwMQ1dBRKrnM6Ycy5viTVhSnvkgcDycT8tuKoVwt3NRuLgzrxeh3iNNA6aorbUnjKGAQ6VgUMUtrdmSvmMuYNgb,buyNow,magiceden_v2,AwWTek6qHEFPg6C5QE1BkQofwZkKRJbstAbSJm48uxdp,primates,137720845,1655355638,3GyefkUST6R8FHQbRXBGymBECFokvgXDyzb8jVBbEimC,,6EmEZLCtEreGJeD7VuiEX272RKJvcfKmF6Zcf9ThogUj,,4.38
3,2wWGn5WuVYAAmSQTB7K7ipNhGBWm6dEpfSsRjL34Fn8xGZVmuo4NteHHX2kCVGGKaLqPDZzySCww6ZwqnUFGKNV3,buyNow,magiceden_v2,7TJtBpwy8kFBRvHJPuAQohcUhq5mmjKBPkKsWTxxrVLo,primates,137720825,1655355623,EdTfPmiK72wMvuHJEGitAn9vnoek9UYd3cPfiYSSQvrX,,GMAeHZiYNvH4yC4aaeqN2BsnyAvrvSf9ZHpZCjsLqKVQ,,6.41
4,3imHEgVEmDnntdVZoZc7u7XfKeANGnk4cvJEi24mt6GciiN3Vy4LT9Y8d8VzfvH9Y9ybXYXj3QCX9Aw41hfZk83W,buyNow,magiceden_v2,564T7uZinvcoYy1QyCNzAhu8betnAVQyVj1ymagAe86b,primates,137720694,1655355533,5F54BJKuzQgyKQZtEuiJpr2yDpkwpwM69sAHuBELQYD1,,HMkNUEvjaBhu7SLHgG6BqZdvCSBwNAmTgyogi6idRERE,,4.88
5,41m6pRk39o4onjp9MTgx51eAEr4VaPrybrj8HDedkrS5xn78dpojqxwULtFx6dFy9EsRTYMvWU9K94LTxC3SvQeB,buyNow,magiceden_v2,CEm4zCvwLZLkQi4h6gDv7xkmcT1zzr9zpdyEksinHEvR,primates,137720684,1655355525,X8EsgZh3r1ijojqZmvH3zxYVnYnySJeJCeg81grLeBe,,EsAZJZYbhjJiSa12iaFpDitGHiro8LFGWXSQHf1Mnvda,,18.41
