,pdaAddress,auctionHouse,tokenAddress,tokenMint,seller,sellerReferral,tokenSize,price,expiry,rarity.moonrank.rank,rarity.moonrank.absolute_rarity,rarity.moonrank.crawl.id,rarity.moonrank.crawl.first_mint_ts,rarity.moonrank.crawl.last_mint_ts,rarity.moonrank.crawl.first_mint,rarity.moonrank.crawl.last_mint,rarity.moonrank.crawl.until_tx,rarity.moonrank.crawl.until_slot,rarity.moonrank.crawl.expected_pieces,rarity.moonrank.crawl.seen_pieces,rarity.moonrank.crawl.last_crawl_id,rarity.moonrank.crawl.complete,rarity.moonrank.crawl.blocked,rarity.moonrank.crawl.unblock_at_ts,extra.img,rarity.howrare.rank
18,GbuboSP4e3qk3bJXzapU4LPJxFRr45JQ9BnsSsWo73ey,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,9xazGCvnv6cXPwKZ8EhQD4eba8sHyH9xkqzzfToxiSey,8zUGpuu9CEGGW36yvRaLztnq3ZUknVHpGk6Sn3Bu33sm,4ayQjUpqL1C4J7fyySSHqa2LtZU1rJqfFHtT7xTGsN6M,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,40.0,-1,2485,3.364578348506399e-09,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeiea7znca26qihtjmu6kquxf4igypiemiu5jbtfp2cnkmxj2orcvna.ipfs.nftstorage.link/2311.png?ext=png,
19,DrUD54T6WUxtuZuVFkRDhe4FQ5N64debk3FhqHQ84xAW,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,FDJxns13WMeFNfqspcjjmxkKGvrDf7iUQXsbBrFrNBh,9dK68ijEAYuqAC6EuEQQWB8mhGJKM1kQULrk3BXJbgaG,4ayQjUpqL1C4J7fyySSHqa2LtZU1rJqfFHtT7xTGsN6M,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,77.0,-1,115,8.177717516229e-10,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeiadlposym2tmthqd3rxyfr2fkcjkuwbi7b6mocrfcr2eke4k5idoe.ipfs.nftstorage.link/3666.png?ext=png,
0,8pHWWN5qKMtEQvzavrZknwyH2EChtdrKJsDNDKkMp69m,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,95bLvv1Qpnbtv1BfBDLdPYU8pUXWSuGCPhfsDCTYkihs,6iQubdnMg4TksvGdFfZ2bfjyMYHKcCwXat5DbYhuHTQP,GzSk46LdMtg79E9qC9frXchs2HDTdnGxHVXbN4fzhuVv,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,25.0,-1,9845,1.613714344653375e-07,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeigsrun3cemxgzzivlq64m745cvwnjsmjhtddv7vqoybsawwf2r3w4.ipfs.nftstorage.link/2198.png?ext=png,
1,4oVCmH4DSh9ruB55j61QYnEkm6YPreh89w244kvR9u15,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,G7bPeGZZ9kzuqE9QupNp2tu53u4RmxcRBddNWqgoBEPf,Hj7vYMNeLw4f5K5S8kzKiT8ZAyqMe4fvgREAo2bbHx1e,ALrX9TP3c48KFeYmSPYzwUJbGZFaSZNbiESrFQugBtUv,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,25.0,-1,1830,2.744490009346272e-09,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeidhsbgvp6m47exzeai7nye5f6uh3ktrk2f3z6tskbjvvaivzi5tra.ipfs.nftstorage.link/8394.png?ext=png,
2,J8aHLykJF8REDhtSddL593W4oysQENexGNhvoiyj4sSH,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,3p5Jewnh4gsewL2HpCTQYxw8G8XxyMfdA3h57aMZ8V5w,4axPXNLDT9bGnXSzJLMgtoAr9KmS136JVwwrdBfvyCyB,5aaJ9cinzFg2qjZN9YfyonxqztDuWWMeg4ac7SVm8pas,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,17.0,-1,5818,8.640845153707535e-09,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeiggtmbjmbtgmtfioglgjlnljedbu6iu65tb7jtc5bh5i3x3ivipye.ipfs.nftstorage.link/8936.png?ext=png,
3,67tFoNfj8F4yzZtFSx8rJW6yXbxvn46gMZtUqF4DE1zp,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,HRYxvqMXdLPCzkDxaN7scFfMFNWdBbJ4bMgXcSCKjZGm,E24ehY43SU2s95hPdu7B1JANddRiVTb4YHu3t4gMnwPH,Buf59ftTRFjVzrhp4zv44VMW9gnjX9yQ3DCghV3oZr23,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,31.0,-1,6257,1.0068400804879725e-08,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeigvx73tb7nkisfkgwh4v2do2swgofyhjyaix35rv5nhjsrivy66ey.ipfs.nftstorage.link/7341.png?ext=png,
4,7D2mKgimju51LDCoy4SQbJEqdikFT2t353aCdc9kSgci,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,4aysEE5Gicr7mHKvfUpYDwb6uNBd1sWP6z7f2UjXNvkU,wGKqtzD3bpzLkQQJDxmwmaGDJcKvUBGb7uQp91NNLma,F56KSmTPtt2cZW7fpDyxmfw8mJBpD26ReiFWzbtoWc3n,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,39.69,-1,467,1.3920733333552502e-09,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeidsk4syu62v76pxlqgpf66g7svv35dzzzjasjef6kerepxi6zir5e.ipfs.nftstorage.link/6752.png?ext=png,
5,61cL4wj4cZVvP9Wts9pJeRBG4HrcKkUKfMuQMfTy785N,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,AzJwiQgh5tYqSaYCzEGXUEachs2JZoUHc1P8NDauVsiJ,YRXQinhzPz7FTq4ZmdTQf9yiDdgcVrYzbK8CfyH2zmr,6onGreVzu7ntqbJN6a5gtLpYxZT4haqWC2aingkgcmQV,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,25.0,-1,2565,3.44588959320606e-09,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeiczrp5e4ljkeqw3d7vvcc4st5uvjkooqtjthchzb7wafd7r2hv62u.ipfs.nftstorage.link/1517.png?ext=png,
6,5vxojAmf1EWUkdfKFD8LxFaML1v74WUkbSLc8dLzwBMm,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,HQ6LCvtsyNkWGxBWE3gPC9QhbWTm9n9SGFpeMb62fDyq,9mZnKGkRgAAc9znT7YggNMeFrvg8nWfoytWMHsnnWPKH,AkxyUSp8CvjfYeza2c66UhRXR2DmV8TGFnk9BzubHkR5,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,25.0,-1,5226,7.218724763231799e-09,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeibku6or5srsndbp7tyvy6htsagsdyryfb4adxho5ep6akllu46ufu.ipfs.nftstorage.link/9278.png?ext=png,
7,5dcrW5adDaeZ6m7g2RcdN2TsdSXAgXGZadUgWkakz29C,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,CxfnPrrjuxv6kBUYhXo8ibaysuxYBMtc8gYpxmVKUgXc,DKNhWWWJGpVwgL9N8ZZsVuA4ECinu5ousA8JYD7UYYTZ,FZJ4BZioup1iBsKtGwGfLY7sxpGkNhDFT7FZtSaxnzoc,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,60.0,-1,822,1.79699924426022e-09,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeihpehikmi5sdjthgtauscggukzfhayfajqj3qfq57cm6r4olxxlhq.ipfs.nftstorage.link/1226.png?ext=png,
8,Gpp2VG9HLStejhGPe6s45UCYskVBsv2WE2uY8Z9vzKrz,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,4EudN6jE7rvLMEAVKCoajX91T8mCK7UQjzAELwJq1vSS,EStdp3nXkhfSJmtMHLU6GzX5WWS52mT2Q2A2AqP9Z6ar,AkxyUSp8CvjfYeza2c66UhRXR2DmV8TGFnk9BzubHkR5,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,20.0,-1,6770,1.2335829118766383e-08,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeiaqgndthxa46j2wpdymtbzjhg7xecxq7wzcreiuvu4zizj6jwoozq.ipfs.nftstorage.link/630.png?ext=png,
9,78h22Q4Kh9tjQELyV3QiSFE6LFFm2ajc2to4qFt2q1oF,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,4rR9MG6rsHPtAMdYjvMVam2FctK7pRdErxSzHe9QQwK3,CAUo9NiJ5ddabnNZ5b5SQ3H6ZJeRCuJmbZpALRsC3t8v,6pPw9ic4ZTysTzjPoNijCcLUmhZVCZsSJNUZHHshxhoW,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,80.0,-1,1585,2.528236663391231e-09,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeidxnsajjedhgintoimodv5tsjbxvgh3hgm37c7okixyghly2memim.ipfs.nftstorage.link/3529.png?ext=png,
10,CzPZbq78da2FUk32X4usE8cE47yu1tZ55xgjyerBrLzU,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,53BWXjtgeSfcnM52J5EZ1XE8Bx3qAsjbrPNJ3qdktsHH,4cDxU3AYvFSsxFZvS96QHph166mD3X8q3XHLcsVwWLwG,44hjnNe9wumkL15wKSFVcbA16FSWQD6mMXk8MNSWdyid,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,30.0,-1,2708,3.5862676434e-09,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeigm2dtupeo4aytbpg5w2zk2fd4x6hvd6bpqc74ono5ud3nfbf24by.ipfs.nftstorage.link/937.png?ext=png,
11,CvXfjSj6PqDN9BFgBWC3pV2S89MywG9A3pk1W4AxtteW,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,GKC5jpjFJEN1zvdzGF8KLTSD1PPe7oShqKj4YTUMk5gc,8K4TRUFs1PbFKqdJu5pFVNGUjjAqzKsyFR7xJkSHQsoA,5YPMMFyHzD2rXLVXCtodWsCkFtzdsFgmvgDJpEYDsRa5,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,19.0,-1,8118,2.4785432209529308e-08,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeie2b7vyv2hfkfj236jduycefgo664ulxdu6k5kkt2tz4za3hglg6a.ipfs.nftstorage.link/8838.png?ext=png,
12,C3MmxzUS45zkCJDYtB9j43EofrxznsFpvtEw5kBtG5yL,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,4vtyYdS7SbtYBA2ssk6B8gbmETejogWdCEg9SjRUBZFn,DE1qfpV77rPA5qn1m9ifqKLqi2yrUe8AZrvcby7WgDXr,Arp1hELc5XRC3JnKVcckg94hbN5rtbocAPU6SzSxNoN2,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,149.0,-1,2329,3.2109320865494407e-09,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeif7azg4vdykghsvu6iu6uf4oe4q75bdfzl72cjloa7pg2fqrr3ccm.ipfs.nftstorage.link/6358.png?ext=png,
13,oMgRAWp3cHH59N21qtfCK1zrmitcYvu5jXQ7bKMYgyB,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,GE2FYpDMnyFgbzyf7Cha9BASjtvYVxZWCyedoue7MrTD,5W3w5r5be4zMz49k2fGNkjbt98VwPkeHVb6Z5e57pwfe,BTc5EdPguMT7TxkjH64HUVwQyYvnZCWthAhueFmu1ei,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,199.0,-1,56,6.407931131280001e-10,primates,1655214916,1655234983,FpXNW3GkDRRGMcCVb1N6XroLfKSDn2WWaKoKdtgfrLet,HgKGGPcVGXt4529nbsBDRSTurhAw4cfKLEjp5hazga3u,,0,10000,10000,1536800520835727400,True,False,0,https://bafybeidyie3ghfslqmoxdunc2ft42yzzemowgc2zjjtrlafwymuam4zewm.ipfs.nftstorage.link/6578.png?ext=png,
