,Unnamed: 0,name,Background,Body,Clothing,Eyes,Head,Mouth,trait_5_rarity,trait_3_rarity,trait_0_rarity,trait_2_rarity,trait_4_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
3850,3850,Primate #5107,Blue,Tribesman,Fur Robe,Slashed,Stunt Dummy Helmet,Excited,10.37,6.68,1.87,3.19,1.11,10.79,3851,4.949164988036412e-09,1.11,5.668333333333332,6,4kzQNxCVhqxWNB8CgFe1vsGi1ubKRG9z4HAD9zwvYAoT,14.800186
8458,8458,Primate #9813,Yellow,Pill,Anorak,Flip-Up Glasses,,Dumbfounded,9.83,4.15,1.62,2.78,19.05,9.1,8459,3.1849146413721004e-08,1.62,7.755,5,6C5fmfNUYN4JhLyGRixgdkucfnQUhsJAh6tSEqhtu5Yg,14.799475
3087,3087,Primate #9738,Pink,Naked,Royal Coat,Slashed,Skate Helmet,Jngl Grill,9.83,19.21,1.44,3.19,1.0,4.66,3088,4.0422202606368e-09,1.0,6.555,6,3bXYbGX84XiMNDRehWfQU2Pe3BF5duPT4dBiGqRgPss7,14.799394
3551,3551,Primate #649,Yellow,Naked,Color Block Zip-Up Jacket,Superstar Glasses,Anonymous,Cigarette,9.83,19.21,1.78,1.88,1.43,5.09,3552,4.5995204494336245e-09,1.43,6.536666666666666,6,GGa3LHQLdXMKY3dFbkKZEoWwvfXEvfaSm2PSetq3UioW,14.7991905
9248,9248,Primate #1286,Orange,Skeleton,Striped Jacket,Thug Life Glasses,,Excited,9.85,6.3100000000000005,1.76,2.9000000000000004,19.05,10.79,9249,6.520676880946799e-08,1.76,8.443333333333333,5,FaedneMRCUCyxGCT7MXZBQqk6p5CbfMvFZYbxCx4d2fS,14.798135
2618,2618,Primate #7413,Lilac,Tiger,Striped Polo,Superstar Glasses,Cowboy Hat,Tnt,10.0,6.63,2.13,1.88,1.67,7.88,2619,3.4937648385120003e-09,1.67,5.031666666666666,6,8PEveUxxuMR9ZMSMpE8zN5Amgjo8DwsNurU23sJs9AMG,14.796946
8078,8078,Primate #6053,Yellow,Mutated Zombie,Color Block Zip-Up Jacket,Snow Goggles,,Jngl Grill,9.83,7.57,1.78,2.0500000000000003,19.05,4.66,8079,2.41048346868687e-08,1.78,7.490000000000001,5,7yis1cbhLwR5VBZuEXBZXWmJPS6eUXSm9DJ8L6w2z5mN,14.795721
4449,4449,Primate #89,Red,Naked,Baseball Jersey,Censored,Camo Bandana,Snake,10.48,19.21,2.06,1.94,1.46,4.94,4450,5.8027973295834874e-09,1.46,6.681666666666668,6,Fn1c9EtkMwnDh5VdgTV2sm1Cz5t1MVajJyB49FtJdc2g,14.795474
1319,1319,Primate #2584,Purple,Pill,Anorak,Mummified,Pink Bandana,Pipe,9.66,4.15,1.62,2.96,2.78,4.24,1320,2.2659097139481598e-09,1.62,4.2349999999999985,6,AygZAbtCTYMqEzeBEdWWtoCsLMBjup9YCmyeVg8snW7z,14.795335
8007,8007,Primate #1646,Green,Skeleton,Studded Punk Jacket,Baller Shades,,Skelly,9.64,6.3100000000000005,1.65,2.95,19.05,4.05,8008,2.28434847901425e-08,1.65,7.274999999999999,5,HFFR1DyBvUxBgeLrXqtdqj35V2wuGnFzheDhqvc3UCVh,14.795215
