,Unnamed: 0,name,Background,Body,Clothing,Eyes,Head,Mouth,trait_5_rarity,trait_3_rarity,trait_0_rarity,trait_2_rarity,trait_4_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
0,0,Primate #1997,Blue,Naked,Hazard Suit,Wide Eyed,Ventilation Mask,Content,10.37,19.21,0.01,4.7,0.01,18.05,1,1.6899785229500005e-12,0.01,8.725,6,5ZmMDaqNUCgHi2aRQdki5xnf8jFyadkVow7RibfhvgiU,115.943596
2,2,Primate #7631,Yellow,Test Dummy,Space Suit,Eyeball,Beanie,Banana,9.83,4.17,0.51,2.85,1.87,2.82,3,3.141921454065901e-10,0.51,3.675,6,2JzEo7NZTrM52b5AT4fTupUp1ZckBWCFuaWPDi9aS2Lm,63.004673
1,1,Primate #1154,Lilac,Scarred,Winter Jacket,Eye Patch,Birdman,Banana,10.0,9.13,0.8200000000000001,3.02,0.42,2.82,2,2.6778729700799997e-10,0.42,4.368333333333333,6,D1c78VYbE7d8JAvBzqtBCG3smwdTDnmbzwq46Kbf79T1,58.739296
18,18,Primate #6788,Orange,Test Dummy,Space Suit,Undercover Glasses,Devil Horns,Sassy,9.85,4.17,0.51,2.73,1.36,5.86,19,4.5576569479896e-10,0.51,4.079999999999999,6,CEK8jnFN9XXzpB5DpuvDxVs1kLWLgZjDp1zmHYMHV1yR,57.27807
30,30,Primate #5188,Green,Caution Tape,Space Suit,Meth Scientist,Tactical Helmet,Amused,9.64,8.89,0.51,1.83,0.91,7.07,31,5.145894365681161e-10,0.51,4.808333333333334,6,DKJz3wJ4RtR863BorH9uVv9TxHM3zXvpXBWMR8SEV2Ac,56.163155
57,57,Primate #2977,Blue,Caution Tape,Space Suit,Aviator Goggles,Cowboy Hat,Vampire,10.37,8.89,0.51,1.97,1.67,4.18,58,6.465612497296259e-10,0.51,4.598333333333334,6,Ef4Hrt8pHXU8wsLsf6fvh5YceFRkEZdMTe2NXKkKQpZs,55.376797
16,16,Primate #2792,Pink,Glitch,Space Suit,Bandages,Headshot,Skelly,9.83,6.45,0.51,3.01,1.13,4.05,17,4.4543400735802494e-10,0.51,4.163333333333333,6,HzDzGB7Pmu6ddRru5AzBKq6mMKMaqDMKJaG2oWJpsFBm,53.65461
4,4,Primate #628,Orange,Test Dummy,Alchemist Jacket,Meth Scientist,Skate Helmet,Bubble Gum,9.85,4.17,0.98,1.83,1.0,4.8,5,3.5358243984000005e-10,0.98,3.771666666666667,6,9XmUTtXjcmEHbZPWKrzTW6u2qxLg4VqezF2DQ4iZ35jM,53.305225
83,83,Primate #630,Blue,Tribesman,Space Suit,Superstar Glasses,Red Fedora,Cigarette,10.37,6.68,0.51,1.88,2.11,5.09,84,7.133184904981921e-10,0.51,4.44,6,4RRqS3mDH9NKJo1nchoSa9vF4EMfGsCBEe5ub1YeHsmv,52.231377
59,59,Primate #1998,Purple,Scarred,Space Suit,Monocle,Bag Mask,Dumbfounded,9.66,9.13,0.51,2.8000000000000003,0.58,9.1,60,6.647303334672e-10,0.51,5.296666666666667,6,2X3K5JrZUVH9YW1srZ3JaecWaB17dDDQ8npeAJHjvcTA,51.827274
257,257,Primate #5256,Red,Glitch,Space Suit,Enucleated,Reggae Braids,Bubble Gum,10.48,6.45,0.51,3.87,1.72,4.8,258,1.1014678432512003e-09,0.51,4.638333333333333,6,HcRpUZj5gpwvtoN8K3maPXh5Zzwz1bqAk3XhDKv9piUg,51.098907
13,13,Primate #9334,Green,Stone,Space Suit,Slashed,Unkept Hair,Cigarette,9.64,7.79,0.51,3.19,0.69,5.09,14,4.2908390442284383e-10,0.51,4.485,6,9qN9cEixiyxMUrtpUGrmwmtsA4HqKMoSpUPXnhboSJi9,50.881397
75,75,Primate #2885,Orange,Tiger,Space Suit,Thinking,Bucket Hat,Jngl Grill,9.85,6.63,0.51,4.32,1.04,4.66,76,6.973052544806401e-10,0.51,4.501666666666666,6,2uhr5VYVBNkM3mswmwUE37a8xwoQGigv66nKPCBMCYzm,50.854836
8,8,Primate #6957,Lilac,Test Dummy,Mob Boss Jacket,Slashed,Spartan Helmet,Banana,10.0,4.17,1.02,3.19,1.05,2.82,9,4.0175872506e-10,1.02,3.7083333333333335,6,7DbpdbxxUKNHLKTcgembpbAPy2EWGKzffbG9vvaD5bCA,47.69724
110,110,Primate #7124,Lilac,Stone,Space Suit,Questionable,Brains,Banana,10.0,7.79,0.51,3.75,1.92,2.82,111,8.066576160000002e-10,0.51,4.465,6,7oNDF3uBwSc3T9c5v47QzQXkZo2oczxkNVAo1F1KGX3g,47.531162
741,741,Primate #7004,Blue,Naked,Space Suit,Bandages,Spray Paint,Content,10.37,19.21,0.51,3.01,0.31,18.05,742,1.711124828680785e-09,0.31,8.576666666666666,6,H6qhSjBHTDQzfASedVtZPVwbF7A6JNA99fwJUzu5yvDy,46.93778
76,76,Primate #4014,Mint,Glitch,Winter Jacket,Slashed,Crown,Banana,10.15,6.45,0.8200000000000001,3.19,1.4500000000000002,2.82,77,7.002407858985003e-10,0.8200000000000001,4.1466666666666665,6,7vTeB7jVShcwnRAqgoreJaCw57XLzofi3wJpcmykuEKA,45.658867
79,79,Primate #4379,Green,Naked,Winter Jacket,Enucleated,Spray Paint,Cigar,9.64,19.21,0.8200000000000001,3.87,0.31,3.85,80,7.013771928147601e-10,0.31,6.283333333333334,6,Cb8gK1EkenFoP57fLKBgEgHZXwmS1kbK7cehbzzZYF7M,45.507
26,26,Primate #6746,Blue,Pill,Alchemist Jacket,Thug Life Glasses,Skate Helmet,Skelly,10.37,4.15,0.98,2.9000000000000004,1.0,4.05,27,4.953429085500002e-10,0.98,3.9083333333333337,6,47HyrHopfagSQfySH5NkdKXj23xFNX6Q3WtAvKw1vMCo,45.344563
6,6,Primate #3453,Red,Intestines,Sleeveless Hoodie,Jngl Intestines,Arcade Machine,Skelly,10.48,4.23,1.95,1.82,0.59,4.05,7,3.759366648492e-10,0.59,3.8533333333333335,6,J22Yez1kTvTYw28pxNgzrhqGaQCZf2PSR2hRvY8WMVGr,45.343185
3,3,Primate #2088,Yellow,Intestines,Cyber Zip-Up,Thief,Tactical Helmet,Cigarette,9.83,4.23,0.89,1.97,0.91,5.09,4,3.376830740258429e-10,0.89,3.82,6,4vzX37D38pX5n6FcTJgRPXFAi37ZS8VFhWj19y8DTHav,44.88782
278,278,Primate #168,Green,Scarred,Space Suit,Jngl Intestines,Crew Cut,Content,9.64,9.13,0.51,1.82,0.77,18.05,279,1.1354220053576404e-09,0.51,6.653333333333332,6,3FcnjfW3Rh9ZofPMkP8gF6LL8A6Pgk27X1iGn6vJDxPW,44.205692
51,51,Primate #9405,White,Test Dummy,Championship Belt,Eyeball,Camo Bandana,Banana,10.19,4.17,1.24,2.85,1.46,2.82,52,6.182708175770401e-10,1.24,3.7883333333333336,6,B32wL2GUaBF6bfN1m2p8J4oMtHvLbfieEKefXRwUzf45,44.105812
8661,8661,Primate #1924,Pink,Test Dummy,,Eye Patch,,Tnt,9.83,4.17,2.04,3.02,19.05,7.88,8662,3.7909484660452316e-08,2.04,7.665,4,63S9TJ1nxm8aRzG8L88rv2CJuwn2QFJNbpWgDsFpiBPT,43.9788
117,117,Primate #9146,Red,Glitch,Royal Coat,Censored,Headshot,Cigar,10.48,6.45,1.44,1.94,1.13,3.85,118,8.215318254528e-10,1.13,4.215,6,4kYpfb2HBg5uo6B11GuEgsec7NhaiF1zcumDw9kfrFVU,43.701077
35,35,Primate #2558,Blue,Stone,Diving Jacket,Squinted,Birdman,Stitches,10.37,7.79,1.6,3.85,0.42,2.62,36,5.475799123872001e-10,0.42,4.441666666666666,6,3KjVX14Y96YgN7pmo85YFaxc1LGEGGhmTmWn252fGeCv,43.655037
37,37,Primate #4108,White,Mutated Zombie,Championship Belt,Meth Scientist,Headshot,Banana,10.19,7.57,1.24,1.83,1.13,2.82,38,5.57789571265176e-10,1.13,4.13,6,BFiN6DbEJWss2WPXZGCEfvAJo5S67d1uCkTcSfZsy5Vv,43.260014
19,19,Primate #7155,Pink,Test Dummy,Studded Punk Jacket,Meth Scientist,Anonymous,Stitches,9.83,4.17,1.65,1.83,1.43,2.62,20,4.637265222575701e-10,1.43,3.5883333333333334,6,ABSCVBUErqC23mZ5jj9FJY2fGKBP7Nb4TRpDKSqZyCnZ,42.801517
93,93,Primate #2124,Lilac,Test Dummy,Turtleneck,Bandages,Crown,Banana,10.0,4.17,1.48,3.01,1.4500000000000002,2.82,94,7.595937392400001e-10,1.4500000000000002,3.8216666666666663,6,54vbPJMujuijkjUF3oY2QMmCfk8TT7mX5f6nrJbDLvDA,42.568504
290,290,Primate #2255,Orange,Intestines,Space Suit,Hockey Mask,Horned Cap,Excited,9.85,4.23,0.51,2.11,2.3800000000000003,10.79,291,1.15140372729291e-09,0.51,4.9783333333333335,6,H6Xsv5bKXSyXDkZ1xf2tUZbp7GTFTnjhZEDE4Kz6SvGg,42.4808
123,123,Primate #3105,Lilac,Intestines,Space Suit,Thinking,Headshot,Tnt,10.0,4.23,0.51,4.32,1.13,7.88,124,8.298487635839999e-10,0.51,4.678333333333334,6,HV3AbXzHjFcYxGieoYCZjxzxCsUrGK9R4GpA7Kod8zvQ,42.42566
22,22,Primate #2800,White,Test Dummy,Winter Coat,Censored,Skate Helmet,Stitches,10.19,4.17,2.18,1.94,1.0,2.62,23,4.708361001192001e-10,1.0,3.6833333333333336,6,9XNY5gGWrDn7h6YW2WKa8T5Z9CbmUCYmWfnJvFWsUaMQ,42.320354
15,15,Primate #4762,Red,Test Dummy,Casual Zip-Up,Stitched,Skate Helmet,Stitches,10.48,4.17,2.02,1.92,1.0,2.62,16,4.440697878528e-10,1.0,3.701666666666666,6,77hm2BND7fARS9vhdNE6aqWvD3v2MwG6eVXbWfbwD8HZ,42.28856
63,63,Primate #4492,Mint,Mutated Zombie,Alchemist Jacket,Bone Mask,Headshot,Skelly,10.15,7.57,0.98,1.96,1.13,4.05,64,6.754256283726e-10,0.98,4.306666666666667,6,G4KnwVduk486XJ4VfpTwGUnm9rLS6TnpNkSYatvvbJk6,42.253517
12,12,Primate #8148,Pink,Pill,Suspenders,Thief,Football Helmet,Stitches,9.83,4.15,2.11,1.97,0.94,2.62,13,4.1761822284382004e-10,0.94,3.603333333333333,6,CgfxakbTtWCJ4EPsSajp5eLmnVt8yTNvzQY8QU3focfF,41.812912
66,66,Primate #8877,Lilac,Skeleton,Cyber Zip-Up,Striped,Newsboy Hat,Stitches,10.0,6.3100000000000005,0.89,2.87,1.61,2.62,67,6.798739952060001e-10,0.89,4.050000000000002,6,25es56nVDDXHd9tCkJ7eTBrVsDWgWQg8oqsc9CFBhKTc,41.691406
9,9,Primate #3289,Pink,Glitch,Contemporary Polo,Eye Patch,Birdman,Jngl Grill,9.83,6.45,1.08,3.02,0.42,4.66,10,4.047428057803201e-10,0.42,4.243333333333333,6,AAiZUSj471boW5DDZehstZxjARPjy57mfM1VbvgWt2yq,41.55661
88,88,Primate #7541,Blue,Scarred,Football Pads,Enucleated,Spray Paint,Stitches,10.37,9.13,2.45,3.87,0.31,2.62,89,7.291041470628302e-10,0.31,4.791666666666667,6,ATiMYb7CdH7mhA1vxGJRDMc9xwxQJJHD1ykkir4Pyr3E,41.53545
5,5,Primate #7705,Orange,Pill,Contemporary Polo,Thief,Headdress,Bubble Gum,9.85,4.15,1.08,1.97,0.8999999999999999,4.8,6,3.7571458607999993e-10,0.8999999999999999,3.7916666666666665,6,CqCLyTuEny3DZTMWPtfwRj6GxtgyLgR2Nrt2NAm9KM2Q,41.496796
11,11,Primate #2286,Purple,Intestines,Winter Jacket,Undercover Glasses,Reggae Braids,Stitches,9.66,4.23,0.8200000000000001,2.73,1.72,2.62,12,4.122149433030721e-10,0.8200000000000001,3.63,6,DPqkRkXjfkjWU6s11kCECQdshpBrJ7eYRGFgFYPWKT5P,41.429974
23,23,Primate #2138,Mint,Intestines,Basic Hoodie,Baller Shades,Football Helmet,Stitches,10.15,4.23,1.51,2.95,0.94,2.62,24,4.710147612597e-10,0.94,3.733333333333334,6,HioEqGcBTN2JMd4qJiucDyjD8yYNyPthzJbU6JgqUfQr,40.932976
77,77,Primate #8010,Red,Intestines,Championship Belt,Jngl Intestines,Camo Bandana,Bubble Gum,10.48,4.23,1.24,1.82,1.46,4.8,78,7.011142858137601e-10,1.24,4.005,6,C1PmzaiyFq9DD9ZawWjms9JZVh6X7ww5X1A6p8VfCg4M,40.586136
64,64,Primate #2177,White,Tiger,Alchemist Jacket,Wide Eyed,Crew Cut,Banana,10.19,6.63,0.98,4.7,0.77,2.82,65,6.7569620466348e-10,0.77,4.348333333333334,6,FdHR6GgrGVutn1k3XG4SG7YRpQtwq1DzzmMtn9hoKfY3,40.254658
71,71,Primate #8913,Orange,Intestines,Cyber Zip-Up,Enucleated,Pom Beanie,Stitches,9.85,4.23,0.89,3.87,1.83,2.62,72,6.8806576611909e-10,0.89,3.8816666666666655,6,585JRwvTM3jkGLTTYmRZJAMVYR1FpdVu9nfyX2TgseyZ,40.168003
38,38,Primate #5023,Pink,Robot,Winter Jacket,Mummified,Ponytail,Banana,9.83,8.790000000000001,0.8200000000000001,2.96,0.95,2.82,39,5.6185036839216e-10,0.8200000000000001,4.361666666666667,6,HpY253AYLDrrErFvGM3chPHX4qMPSqNjPFxisfJLnaYs,40.13351
20,20,Primate #4614,Green,Tiger,Winter Jacket,Crossed Out,Football Helmet,Banana,9.64,6.63,0.8200000000000001,3.37,0.94,2.82,21,4.68178296921504e-10,0.8200000000000001,4.036666666666666,6,DgTZVbbBVo7w2qJn5EocB6Q8y1ZDcfP2gUpcuXhYWvbR,39.965347
33,33,Primate #8728,Purple,Skeleton,Alchemist Jacket,Stitched,Tactical Helmet,Cigarette,9.66,6.3100000000000005,0.98,1.92,0.91,5.09,34,5.31242687049984e-10,0.91,4.1450000000000005,6,BuMZBogkLmqajdC1e59yvu8xbBNFD4Zbd9VwhS8avJ7c,39.856007
317,317,Primate #7136,Lilac,Caution Tape,Space Suit,Questionable,Pom Beanie,Cigar,10.0,8.89,0.51,3.75,1.83,3.85,318,1.1978847168749999e-09,0.51,4.8050000000000015,6,5MoTJJaDEbxqknhzKYGgUBrEmyk9uVSYT185Atp8G1vV,39.826153
54,54,Primate #3833,Green,Intestines,Alchemist Jacket,Superstar Glasses,Cowboy Hat,Cigarette,9.64,4.23,0.98,1.88,1.67,5.09,55,6.386098012539842e-10,0.98,3.915000000000001,6,7LLdBxaHSpk1kbQrKcnzfTmsk7NBhTnGQF7CeCDfUj3h,39.77978
74,74,Primate #7886,Mint,Pill,Motorcycle Jacket,Baller Shades,Pilot Helmet,Stitches,10.15,4.15,1.91,2.95,1.11,2.62,75,6.902299377802499e-10,1.11,3.815,6,Fh7YPR72WTr6jfpCFoQZprzpufpESZK6S4eNcR21otWz,39.645794
34,34,Primate #3934,Mint,Test Dummy,Striped Jacket,Wide Eyed,Bag Mask,Stitches,10.15,4.17,1.76,4.7,0.58,2.62,35,5.320370881056002e-10,0.58,3.996666666666668,6,CWHEE26vTK7tfoQQ6FftyUjDMeZgjwArquzimy9WTvcc,39.607758
39,39,Primate #2467,Red,Intestines,Winter Jacket,Parallelogram Glasses,Spartan Helmet,Snake,10.48,4.23,0.8200000000000001,3.0,1.05,4.94,40,5.65656790608e-10,0.8200000000000001,4.086666666666667,6,4GgYLxpy7fTtArYzPxuwv7MLQTVmMBTmrUjpSpM8gyAw,39.50613
10,10,Primate #4366,Green,Scarred,Alchemist Jacket,Eyeball,Arcade Machine,Banana,9.64,9.13,0.98,2.85,0.59,2.82,11,4.0899675951288e-10,0.59,4.335,6,DWHDT5QL3QZh2ceQvmqh6nsMFuhHQdSZ3xuKArtL4JT5,39.36821
49,49,Primate #2872,Purple,Intestines,Alchemist Jacket,Camcorder,Pink Braids,Cigarette,9.66,4.23,0.98,1.92,1.5599999999999998,5.09,50,6.105021234923519e-10,0.98,3.9066666666666663,6,2acutQms5gpX4PwC36Dedr5h7riPRFkoWdnfaZi1VKaF,39.329235
28,28,Primate #6014,Mint,Skeleton,Championship Belt,Stitched,Unkept Hair,Bubble Gum,10.15,6.3100000000000005,1.24,1.92,0.69,4.8,29,5.050200766463999e-10,0.69,4.185,6,DWfMGpJa5j2UATnJyVVsCHAiX7BtEnQ4Z74MopN8qq2W,39.130386
151,151,Primate #2948,White,Glitch,Space Suit,Squinted,Devil Horns,Cigarette,10.19,6.45,0.51,3.85,1.36,5.09,152,8.933496980561999e-10,0.51,4.575,6,5VDkG4qPkMFxMQH9JQZSP8zCvKgthB4z6H2dJvS5XbMV,39.105625
43,43,Primate #8579,Yellow,Pill,Sliced Cutoff,Thief,Pilot Helmet,Pipe,9.83,4.15,1.55,1.97,1.11,4.24,44,5.862574494618e-10,1.11,3.8083333333333336,6,AqE8117kDv5VmZoCN3ANNXzDb4hq6nTHRcvheVWCT4M8,38.91817
7,7,Primate #2068,Orange,Stone,Bouncer,Stitched,Bag Mask,Stitches,9.85,7.79,1.69,1.92,0.58,2.62,8,3.783475328755199e-10,0.58,4.075,6,5qWd5nuDNhGYqmauuKf2z4DUrsC7n4RCEjrqn1SPhayH,38.735188
47,47,Primate #46,Red,Intestines,Layered Jacket,Aviator Goggles,Pilot Helmet,Banana,10.48,4.23,2.2,1.97,1.11,2.82,48,6.013989203587199e-10,1.11,3.8016666666666654,6,6ET318NMcM83xerjrUVpBRvnrerdTQmPvNmSXrqCcShw,38.618908
32,32,Primate #8632,White,Intestines,Exoskeleton,Meth Scientist,Tactical Helmet,Cigarette,10.19,4.23,1.44,1.83,0.91,5.09,33,5.261230242646559e-10,0.91,3.9483333333333337,6,4NJFxahSEo89Zs9GXjBHmv6ECdrvdetmytzmDqUkBTjY,38.58562
58,58,Primate #9314,Purple,Robot,Suspenders,Crossed Out,Birdman,Stitches,9.66,8.790000000000001,2.11,3.37,0.42,2.62,59,6.643989529747921e-10,0.42,4.495,6,a63i9XyWpktPHvZAhUukT4uaBFhL5pwaz6NXdQ5h4Kz,38.28798
36,36,Primate #3341,Green,Caution Tape,Suspenders,Censored,Spray Paint,Cigarette,9.64,8.89,2.11,1.94,0.31,5.09,37,5.53531647611656e-10,0.31,4.663333333333333,6,9XDsM45BYpvWs2tdogjWzpMb8CTjZAB3c9jrcTCh4X2x,38.269875
65,65,Primate #3489,Pink,Tribesman,Formal Collared Shirt,Monocle,Aviator Helmet,Stitches,9.83,6.68,1.41,2.8000000000000003,1.0,2.62,66,6.792167941440002e-10,1.0,4.056666666666667,6,FrBS1aTGX6N5LAYWZwAY2Dvhx3i1UPhfsKwBBDbhJj7e,38.16425
24,24,Primate #6793,Green,Test Dummy,Color Block Zip-Up Jacket,Enucleated,Birdman,Skelly,9.64,4.17,1.78,3.87,0.42,4.05,25,4.710297847096799e-10,0.42,3.988333333333333,6,7dHQkGe2cuUwAxRHWEoKCAGqWRs4s9BEQt8hGCmbmPtF,38.13792
81,81,Primate #1293,Blue,Glitch,Mechanic Jacket,Eye Patch,Birdman,Skelly,10.37,6.45,2.0500000000000003,3.02,0.42,4.05,82,7.043744408715e-10,0.42,4.3933333333333335,6,7fygAhQDD86qM2xxqbMwaysZieBDHWqxfM6hBjkwStf6,38.101646
500,500,Primate #9376,Red,Skeleton,Space Suit,Hockey Mask,Outdoor Hat,Amused,10.48,6.3100000000000005,0.51,2.11,2.8400000000000003,7.07,501,1.4288315362923845e-09,0.51,4.886666666666667,6,AFhjAFpcX7NiYRSo72jpvXVZM2w63yEfGsmNgBR6Vyww,38.094734
21,21,Primate #3295,Purple,Stone,Cyber Zip-Up,Mummified,Afro,Pipe,9.66,7.79,0.89,2.96,0.5599999999999999,4.24,22,4.70706489007104e-10,0.5599999999999999,4.3500000000000005,6,7dPjAQrSxMyaRE2FyY8GSUmP5hCCQL8BK3DweyeFtrSg,38.010468
45,45,Primate #8627,Green,Tiger,Knitted Tee,Meth Scientist,Aviator Helmet,Stitches,9.64,6.63,1.95,1.83,1.0,2.62,46,5.97554546004e-10,1.0,3.945,6,EHzKL9X7caN3nwKrFVMLC2WtfsR4omhyRmsiFGsnTmA4,37.910847
62,62,Primate #4808,Orange,Intestines,Mob Boss Jacket,Crossed Out,Skate Helmet,Jngl Grill,9.85,4.23,1.02,3.37,1.0,4.66,63,6.674098120020002e-10,1.0,4.0216666666666665,6,EashncLi6RfrKQmS1SkRjfzNEeFuxXXKd2nX6gboPvAw,37.747704
712,712,Primate #3182,White,Pill,Space Suit,Thinking,Skate Helmet,Content,10.19,4.15,0.51,4.32,1.0,18.05,713,1.6817189187600002e-09,0.51,6.370000000000001,6,Cnn3z6w6X2Vg2p5FwrzapaHcYvsir91Pda6ogGoMqtJs,37.571354
52,52,Primate #4596,Red,Pill,Exoskeleton,Questionable,Unkept Hair,Cigar,10.48,4.15,1.44,3.75,0.69,3.85,53,6.238970892000001e-10,0.69,4.06,6,8JHV684Lkm2xCQRjkyjTH7Yi1Nz5xkW9VLVYzhYpyFs3,37.429264
48,48,Primate #7250,White,Pill,Wifebeater,Jngl Intestines,Propeller Hat,Stitches,10.19,4.15,1.4200000000000002,1.82,2.12,2.62,49,6.070425944273602e-10,1.4200000000000002,3.72,6,D2yJrhPEhS5wxxvG8rfVeRe6Pk8KgkojVw16afyrSgSq,37.426666
17,17,Primate #4883,Lilac,Test Dummy,Championship Belt,Cyber Gas Mask,Headdress,Bubble Gum,10.0,4.17,1.24,2.02,0.8999999999999999,4.8,18,4.5122469119999994e-10,0.8999999999999999,3.855,6,C1LSax2vYMch5BfmbN4EFNtzSYAiQn3TTEGb8PsMwyBR,37.351234
177,177,Primate #5835,Mint,Tiger,Space Suit,Eyeball,Headdress,Excited,10.15,6.63,0.51,2.85,0.8999999999999999,10.79,178,9.4985772888825e-10,0.51,5.305,6,5dydaqmMATDQdASdg4UK2MfHXWFc4RXYvkkfJU58EZRn,37.257957
14,14,Primate #5058,Green,Tribesman,Basketball Jersey,Eyeball,Birdman,Cigar,9.64,6.68,1.46,2.85,0.42,3.85,15,4.3327260678239996e-10,0.42,4.15,6,Huwccr6rNQMdVaw3xUVwJghyy5dnm5EGmGt3bcpjyvvA,37.256752
527,527,Primate #5268,Red,Caution Tape,Space Suit,Reading Glasses,Arrow,Cigarette,10.48,8.89,0.51,2.95,2.0500000000000003,5.09,528,1.4626044117678e-09,0.51,4.995,6,Ajae9PdsBcgqTe4whaxpLKUCxJDCci1HRUZYMAkpc2Gm,37.18053
479,479,Primate #9554,Yellow,Caution Tape,Space Suit,Squinted,Bucket Hat,Tnt,9.83,8.89,0.51,3.85,1.04,7.88,480,1.4061956210702403e-09,0.51,5.333333333333333,6,4EGDwCu99JsucHD9U73FADLFxYeDWgcCeeBT1XS8VYXa,37.153065
200,200,Primate #8604,Red,Caution Tape,Basketball Jersey,Stitched,Crown,Stitches,10.48,8.89,1.46,1.92,1.4500000000000002,2.62,201,9.921707548569598e-10,1.4500000000000002,4.47,6,5rZdcrtR6CMNqon5dwiqzR9PquQ3Mp2gtUm1bfWbGSvc,37.000557
42,42,Primate #6702,Orange,Tiger,Tiger Robe,Thief,Skate Helmet,Banana,9.85,6.63,1.61,1.97,1.0,2.82,43,5.84105061267e-10,1.0,3.98,6,5scgBvrawkpVEEEHstx4wWZKkwsxygLqzxZhZLCZW8CS,36.945747
31,31,Primate #5448,Yellow,Stone,Cyber Zip-Up,Bone Mask,Football Helmet,Vampire,9.83,7.79,0.89,1.96,0.94,4.18,32,5.248572358235359e-10,0.89,4.265,6,ptfZ3GjxHVK61xMGqzmWPdtweE2ZCpwRp1sdpd5VtPW,36.752693
40,40,Primate #1989,Green,Intestines,Cardigan Sweater,Meth Scientist,Tactical Helmet,Vampire,9.64,4.23,2.03,1.83,0.91,4.18,41,5.762118733010641e-10,0.91,3.803333333333333,6,4FscENpxUmMUUzDztCSLYnNg9W9zQi9PwFFwfqhj32c8,36.692383
44,44,Primate #4276,Yellow,Scarred,Alchemist Jacket,Mummified,Afro,Skelly,9.83,9.13,0.98,2.96,0.5599999999999999,4.05,45,5.904527264697602e-10,0.5599999999999999,4.585,6,3F81TMGCkDZRLLerXirfkUp9F6qxKf85nEAn83J4XcFW,36.338703
50,50,Primate #4864,Yellow,Tiger,Championship Belt,Thief,Skate Helmet,Cigar,9.83,6.63,1.24,1.97,1.0,3.85,51,6.12936786462e-10,1.0,4.086666666666667,6,Emyxjgrws9WXUukiEH4MkHJyacze1vPWnc9wrVv4NCQQ,36.27317
67,67,Primate #4815,Green,Mutated Zombie,Alchemist Jacket,Censored,P-Cap,Banana,9.64,7.57,0.98,1.94,1.7399999999999998,2.82,68,6.80767909714368e-10,0.98,4.115,6,AZgGo3x4YznJfPbV3HboPVnYKmAMr6U2QQAQ3bzcL6CD,36.210236
53,53,Primate #6085,Orange,Pill,Turtleneck,Undercover Glasses,Camo Bandana,Stitches,9.85,4.15,1.48,2.73,1.46,2.62,54,6.317755823652001e-10,1.46,3.715,6,CdJhCai9kuTTMjELXeNyVdkhjZLbEs6SoCeGxbbkzNRy,36.18999
55,55,Primate #6579,Purple,Caution Tape,Alchemist Jacket,Superstar Glasses,Aviator Helmet,Skelly,9.66,8.89,0.98,1.88,1.0,4.05,56,6.407931131280001e-10,0.98,4.41,6,5W3w5r5be4zMz49k2fGNkjbt98VwPkeHVb6Z5e57pwfe,36.183426
25,25,Primate #9166,Yellow,Pill,Turtleneck,Thug Life Glasses,Arcade Machine,Jngl Grill,9.83,4.15,1.48,2.9000000000000004,0.59,4.66,26,4.813924295036001e-10,0.59,3.935,6,CcdK2k3z9aebx83uxAvRumRATzWcgPLsuZ8yEj9fdcWi,36.17275
70,70,Primate #5205,Green,Pill,Prisoner Uniform,Stitched,Stunt Dummy Helmet,Pipe,9.64,4.15,1.89,1.92,1.11,4.24,71,6.832458443059201e-10,1.11,3.8250000000000006,6,HPEnyEXmZ1YEMcH7sDtjf1HSUyF2buByZf1rAQAuMnt1,35.936867
69,69,Primate #7901,Green,Pill,Prince Jacket,Questionable,Birdman,Amused,9.64,4.15,1.53,3.75,0.42,7.07,70,6.815795215949999e-10,0.42,4.426666666666667,6,9HXVwJTsRe1vH2HMa7pZynwR83dn88Kztj7VuGJECRZF,35.882664
60,60,Primate #9893,Pink,Pill,Anorak,Stitched,Thin Mohawk,Stitches,9.83,4.15,1.62,1.92,2.0,2.62,61,6.64888995072e-10,1.62,3.69,6,4Gm2fnu9UNeGTp7fHtM4QwFDy5iorMJU7RShKoH1DmN1,35.82226
85,85,Primate #9419,Yellow,Scarred,Winter Jacket,Undercover Glasses,Devil Horns,Stitches,9.83,9.13,0.8200000000000001,2.73,1.36,2.62,86,7.158812611030082e-10,0.8200000000000001,4.415,6,AXZ4yrCZK1QcDEGnf2zpc5HNVu71Q6rJaFaz5rvqicrQ,35.764164
27,27,Primate #6782,Pink,Caution Tape,Basketball Jersey,Mummified,Spray Paint,Pipe,9.83,8.89,1.46,2.96,0.31,4.24,28,4.963949973812483e-10,0.31,4.615,6,4riLvUTsfp19hCiKFqHUkJrKoYCZ1dNk3442PQCtaJiG,35.492638
821,821,Primate #1227,Green,Test Dummy,Space Suit,Squinted,Red Fedora,Excited,9.64,4.17,0.51,3.85,2.11,10.79,822,1.7969992442602199e-09,0.51,5.178333333333334,6,DKNhWWWJGpVwgL9N8ZZsVuA4ECinu5ousA8JYD7UYYTZ,35.452496
98,98,Primate #7756,Red,Pill,Contemporary Polo,Mummified,Red Fedora,Stitches,10.48,4.15,1.08,2.96,2.11,2.62,99,7.686145341619203e-10,1.08,3.9000000000000012,6,DzMEzJN5nrqFEUMf9LNzH1GGZYyy39YUjTMRv7JmYDte,35.439583
