,signature,type,source,tokenMint,collection,collectionSymbol,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price,image
10,MSt4qWbL4VnkZhwKFbwAjf6PzpiC2cw9xzfLWorQS7Q64uUvnRNkdEEiyBJcR1QXAiW8z8LJTtmEkFKuxakCpCg,buyNow,magiceden_v2,54WFvfHa2e1tdcoqPiXBgRiXr3Hv5EBx9ZW6WWh5VzH9,solana_monkey_business,solana_monkey_business,139605325,1656565245,FDB4mvbBtE3e14kapi2KPsQbnSrseAQbSi6kEBiCLxFU,,AmUKjQitLw8EK2DMSNUMQ7AZDaeC25F2GeQqVCg9BPsm,,200.0,https://arweave.net/mGU2wVeU_C8qAY7KM8UkuUheS4cc64GnKSXbxOKhgJ8
11,4rqXdDyRz2j7aY4d6f8yUHexW1YkAeM4bFXKU5dKDGAYvj7aQiKTHsnScHcqXrtBB75NXfpLNNi5s8PFpUkH1mWj,buyNow,magiceden_v2,6hUQTtcVndNzfP7e8F2z66De7UjwPYyV8KFD5fALkor6,solana_monkey_business,solana_monkey_business,139544786,1656526575,7C5NPiW5fSkYe2WVjTjhnZ84dG7hJJJrv6XL1ANwou3f,,CbfnKaPwSPE45ApwN7VWrQhjSYHvQbRNoR7nCcxqCBmb,,178.69,https://arweave.net/OcOKU-eoTDSjQ1raD_rJYhG9ka3atkUkGjm_D9Fl4Io
12,4YubnMJh4ivyWBb9tCkLb2Ck1wdoAQoHCjjJ2E4x2hYJ5LyV78VpAsz5LpNxazzrLBvLonscNrCog2Rtk7VzBkQn,buyNow,magiceden_v2,9QU4qP2u4z5rS44NYaQHodovkxWv3oWo9zbHfhXEqw7v,solana_monkey_business,solana_monkey_business,139543037,1656525380,26p5GnDWGCPSFTHhjSyg3vcmCLHgV1EUYSXwnv7xfzRr,,6RabPEAaQaSB7NJNTnzMcQ9WdKx2To1HeaicwKtDWZSR,,188.0,https://arweave.net/_XO4I2WvBBD-AHmp01hfda1fkV0IDS02eWs7DJddwzU
13,3TieTkvUTL6rGpStN9EfCFvv3UqEJaMhj3wi42QhmxqMYM4yCTnb5wF8EFV992GyB15VD2CTs22oNYfCRaEpynRz,buyNow,magiceden_v2,H99Gi3KpvbrWkU8BDcfy9YpMWHYeKuZbET4iR5GvuGqT,solana_monkey_business,solana_monkey_business,139503348,1656498232,GM4UPhkM51URjXRkSbBTV5DaNsPxNZq8KaJab2Fg5xS1,,GAzfvAkYE5HFp3twgV5gSu4dQTf13NeMXtwvQqZt7q89,,205.0,https://arweave.net/PWbBHHacIkbv6PIJBcN2Wsl57rnOVWOGp8QHkHSanOU
14,7zDrm8qFjoyAh5ZuxhRSdKX8n2TSomuS22gz4mLHC52Z7wz9WWvbYdZk9DRBrvcjacYn2iYcB1rAwGwZ4vs9CYs,buyNow,magiceden_v2,9ThmWLsjTusSP69M8GTGNrsYTitruiCTvy9oYgyWMGAS,solana_monkey_business,solana_monkey_business,139429301,1656449872,4vALaGqoB2CpDwcCchuQgve59TbdhotdNZUKsE1QT4R,,6En5YGeM6sAZcaGa6GsUb1SuepG4b3wpS8Px6hqfoX7M,,190.0,https://arweave.net/u7sOPtcVbdVY8YxbsknuL2Q9kfeDuyq1H-xEg1CAClw
15,5HDQDMapTBq8ZcDf1McwHhiwC1vZdVxYb486FXYF1BS6UQfZe9RC3LcQUedqvCGd2DqKeTVLYLB4e7uyGxXKYbB2,buyNow,magiceden_v2,ebSnWhS4hZ84bQ1svqxpSEPpghyufdkRDfsKyMTkJRr,solana_monkey_business,solana_monkey_business,139403745,1656433439,4aRHW9q3UL15TwWBWNXPPYcNncnpoj1ZirSB3wMaAXR2,,GAzfvAkYE5HFp3twgV5gSu4dQTf13NeMXtwvQqZt7q89,,220.0,https://arweave.net/oK0awfqP1bYoNxlAYptS6VsIgKhIshYu0urDCT9lV-o
16,4Aqbu3Yod4ZR1N5WWydmkqfkTF6SBrHyqvnhgmSpEwUPAusV4ayC6iKXY4xYHuDnq7F72ercxToJGiCsAatCc1Ys,buyNow,magiceden_v2,7dvnmXKhDHPddyn1uMorRZT8RcwWKsFq4BEHWNvqq19z,solana_monkey_business,solana_monkey_business,139343705,1656398296,ANUkikZTPfEoBrqtveRAeNkvVqZv335H5Nvspm6u9Ghh,,4cCvSFM1eQ6wz4z3wPhxQUj6i1DEwh5E56yHibKumTet,,240.0,https://arweave.net/34UlE_M72n_gHmPsAW1ZQrP3tD2hU9RrogElgcf_IYg
17,5sSCUzMYM3QnLxM8FHpRo6hxQTdX2bToxBu9NmneKxpyLJHPeRm55n8SPVXhF81Kdf8JH5kbQrn4UkCrKGES2r7x,buyNow,magiceden_v2,8eSjeorsSNG21qQ5BdxTfjdk9qCCWPteRz6FkgFCEWiV,solana_monkey_business,solana_monkey_business,139330516,1656391399,6D9CN27M2hxubQPyTFiuJUcKfGrg2zoTmgs7DC4XSijr,,6En5YGeM6sAZcaGa6GsUb1SuepG4b3wpS8Px6hqfoX7M,,200.0,https://arweave.net/rL89Sy9O1hYsIBSFZAxbOFjOBVDPpEKSnclIF4NBtq4
18,21gqcLrYRvkRyhkqBuKCBK9k2WeWwug3VE9tBEUneAJPB4tKkpmeyindo1RxKJAWQXZzoZMdr8HYqSnbKtRNFGRx,buyNow,magiceden_v2,3meFfB1KhgVp9aJ2G75HYB24CcpKCby7JoTZrH7kz2NS,solana_monkey_business,solana_monkey_business,139283944,1656366256,hiJZKogMZHUfwixkNYF1Eq6MpBNymHgz6F6kP9BTVZj,,6DHoyjdQ8qNFNRUmCZ3PH19o735KGmYGaGcHzWK9tZF1,,200.0,https://arweave.net/Mgs9v-yubsIiFK0h2i-NT6gNklZ4nok1bwXS-KrxP34
19,2fukbiLrtqu69yH3xw4Uv1qjK2wh1FWvK1bQ68qXiYsNLTHwodL9tT5NaTMN8hp3ZmgCm8ZLYW128egSgPe8VDiT,buyNow,magiceden_v2,5crC6efPH9fRgTY9RhC1nXyaLbzjH2SnjhdqhzvbKRf9,solana_monkey_business,solana_monkey_business,139206663,1656314658,4tiH9iC6YupWCgYkV4EHNdMBe6ATgrBNwBz71dsRhM3g,,5QwL3RRwsiP1eH3VSxYS8rqZkPdpS17xu8Sj25X1Ptrw,,210.0,https://arweave.net/tp28xH1RP0kmpSvB06kqkdvoGsJRDs2vGOpSmhNU7fo
20,46WgM2gyHUZkbotBSoW7NjiDZ9LWeJQXNFcJXs9rjYB5zR7FL6pUS2tuisyyU4Fbx1sDz1PkotybKckknm8Jrc7h,buyNow,magiceden_v2,7pB79BrwywFkHzk9GUR5AAuV1pe6XU4bXms2foGvR15i,solana_monkey_business,solana_monkey_business,139103453,1656250719,GM4UPhkM51URjXRkSbBTV5DaNsPxNZq8KaJab2Fg5xS1,,3VLjt7hnsoKuD1x8QVcZiVbFCL4skyXZbBLXrN3RtpzJ,,216.0,https://arweave.net/0cK_fmfuEGSj_t6yieHdpvdPVQjGBi4LvmorvKEQaIY
21,2o4jRtHvv1ogJ4VHkmUoAuyiE4yaUeNLdFsDnGUFY9jLTvEcCB6waBRJehdjD2prcTd6VWGet4ug237T6DkLTHrE,buyNow,magiceden_v2,FNCQMeAg3KF5DycE2xZQh9ZVVLmT6tprGPFaBEbXMj1B,solana_monkey_business,solana_monkey_business,139084830,1656239965,FvfD9ziv4CuPj5BSD278jy6sX8Q2GTZeQZNfQ89eE4P9,,3bG7JrSzn2Tm9KrbFPupLh62vdEhXZhwCej5EymwuVZu,,260.0,https://arweave.net/CqZjR7mFB09TXooEdV5uvovkFFvdSzeYyg3FPllv-lk
22,3aVbVwyRzrHAzdiNPfmpSzPqw5k3H3eySFNUpCh1rBN6riYgVE4EKdoTh7obF5yTytmhZYJYXGykQ12d17XTAChX,buyNow,magiceden_v2,HVzesusYBp2GuetswpkDeg8GUBPR4hW8x2koUh9mNB5Q,solana_monkey_business,solana_monkey_business,139051002,1656221358,Cp2AxwuPybF3iEZzvemjW5KDt9VR8B3bU3LYhCx4wR3N,,EHGUuNEQcvQy3Y9MppzrCBHo6fqhZBfexrbd1kui5tR4,,200.0,https://arweave.net/ZJE7NEBeCt75lMFAlTOwlHKuaAG0xkDmaAhbx6AKnrg
