,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
83,6wdvpexXQ9MoAnLSuP2ZhaNfAEV8u75RvuNxk15zsn6v2d28ZQLPtihkfcT2PsePjVxFci4Mj4iH7KYAouqUViG,buyNow,magiceden_v2,Dw51HNvga8YRgfPoJWjw32mpxr8Q7V9Y5o8fdHWapbho,degods,122955838,1646109738,4s71pHWJet6cXRsp21v57FF7R4sWaXepDRaNqxCEvDDe,,6PmNB4zUhBt9k1n7e7Ue9fW5vAVieZLDhrjJ3aRM2j55,,29.69
84,2piuNQZjWsvD1QiBbDx4SS8HZDMF2hTy1GbMtRWEFEbi1YHVcdJ463KtjpXoYTvf2ZLyoTP6VeBVhDFeJpwEPuGE,buyNow,magiceden_v2,HH8yJKBFfpU3DTz8Lfv1PFQgvfdDrnXehdTyzyhH6GRw,degods,122949054,1646105844,8LvbZmr7Ha7Qn4zhJFLQwnXtELJQ6e1thUKY1beQ5Fx1,,6QSN4UpZg7cMXFiN49dTaPk6uGeQpDZfEpuJ8Sp4BBL6,,29.0
85,4yg2SukCAszNpcCsadJyDegsDTEZRiwx9CGyQSYtJyt1REcvtbWs1w73mvxVMuM4AYa6WeDFfpAnemLGeAozyPPX,buyNow,magiceden_v2,683LpJK6X8AG3knwGnSP9pZ35eB9mkx2dygfphPMXkRQ,degods,122946321,1646104235,HUcufGaQyTURApxPJ8axseu1RumsoLGXfcsUKBEYd6aD,,5mejTfMh4FipbtQgoQaC1ytAjUWBy6zHeSvDNfvq2CSQ,,31.42069
86,2jL9rKQa4af9YEdDowJScoiY9z97gKXURNE8vSaRtaBzrJFVEGA1eYjc3HBrVEsfgUq1cdoYg5BhyxC1MhZfz5vu,buyNow,magiceden_v2,782FGoSZNRAR5evxbLuQEgMXmGWT8j1c47PmwMfS4neB,degods,122944788,1646103348,Hdj8nQhpqm1vexRwrcN57hXA3yAzRJn1sqvjvCtQcyJy,,6QSN4UpZg7cMXFiN49dTaPk6uGeQpDZfEpuJ8Sp4BBL6,,31.39
87,4paEiRZrmPPCUeS1vvGnP8ijvHqTX8MDZRbFFmCUNZReU4XXYXAF5WCtTofMyZ9jHedBcgWibroTT2xcR6cBCcf5,buyNow,magiceden_v2,3NszQMJmZ9LFWFuvRg8sSwnLZBTqSdNcCSb8Xr4Z9Gjv,degods,122943021,1646102315,BNPUbdcRaaUpQs7fkpsuLzqc7m7c2fVJgzSkj9YR2Thf,,GUrwkzyp4Kwow6jsC7qn1Vz43VjPi5ULX29WfKPDdi6d,,33.9
88,5T4V2W7zNt2rtyKA7npWicDXu3HnD9gFEqX72jRefUK9fd3s4qTuPnv9gRqfKBRZGn8mCJgssX9EnUC2L7RDo6VH,buyNow,magiceden_v2,169RaE6jsy6iPjMHRibadb96586LtJ58bxaxnpL9FUn,degods,122942743,1646102149,22brbKfPmDhWRcpipE4z3rib8TTf3xyMFRDPQfhLBFTw,,8239pKaFcgxsogQZQDAWEgELkHYXXkcFcVRAMZ8wk5Fr,,30.0
89,4P3nRMtgKEh3y7eTK79AoaMwE51f4yht7FpXv4oFyBsrRZ3BR1fPV7Yq8tPXNw5MHNMbb4yYJgxVKDnDyZCbhLYS,buyNow,magiceden_v2,GuQr19ALuCuWVCWEoofeSftbdWTCjMernkDbpX1Py6UR,degods,122934988,1646097522,AGSxHPeU29ntH25bG8HPXNT6wbuwoVi2vus72Vx2uvyx,,Gqp1WnSuXft6CGUvJy4A5tGTKeFJuhvduBi8caCkJ9QU,,33.0
90,4LnAKGq9KLyhzyLyZ2r1QJ9BPmef6ocHJMsc9MBkEC6HWXbZCYmcLiMMYQ6R6mqCmSUHUZrDffUtqk6XMjEWCC6o,buyNow,magiceden_v2,9ZkeQ9qnqFJjrZuzLjQc1dEBoHxtiQCn52ZshcAZKohg,degods,122934147,1646097014,7yG9LVvaFMqbWnWpMqZqoDtFJsiknJx6NLRPBZgLDHmj,,C8cS7iqF7oTjh3Q4F1JXqc3uPvcEoZBsyjvNrzcvtoVG,,38.99
91,2yPfW8bgvFqsYxuU3xfSjv1Jo9HcutqGeNAGi7s64WoXEM7tcdZVwmNqNZxbP9DzsdnWjcJphuisnYsq9L7WgK1L,buyNow,magiceden_v2,EPr4X3pqEMT7Eeu8YH9bt7uTD2PQ96rDP6NGU5PVoXaD,degods,122934146,1646097012,2nvYxLbe6duVoXdgJeC8my5Q7V5X3bpG3KaFdfixUwkM,,Dhv9JqJVkftyskPtGhWhTMnbNzot5TUPpMJGEzSpVJRz,,29.5
92,hSZASYBQq4mKzf6tPxU2ah2a7cZcfcfcDHFy1wusemhD4M5XB9wQEJZ1JFqPzaUhz6G98C1z1R3nFEWGjKotzDu,buyNow,magiceden_v2,GWDFsNYc4j2HW85qDTPxAtFQrSv6pskfyi2fCA9AaSsn,degods,122924457,1646091121,5vnEoKq4EbcBW1y3ZD26JS3KYVoA63srZKFg2xPz4PVV,,CpQLV71TBsWS8XeCSBamSxJtLm9eoERqU8KkwPPMy7GT,,27.9
