,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
773,114.59355,120.0,Okay Bear #255,433,6,https://bafybeidroepu244ficol2xohhvkdmcullopis4xhk4myoieolyf3bfzwle.ipfs.nftstorage.link/254.png?ext=png,-5.406450000000007
214,124.06105,130.0,Okay Bear #2074,1195,6,https://bafybeif2cd5qd7ecgsdy64b67il2gd3r4c3wxoavhdnl2u2nos6pqltqhq.ipfs.nftstorage.link/2073.png?ext=png,-5.9389500000000055
139,109.054726,115.0,Okay Bear #1027,3880,6,https://bafybeia26bhw25vnfx7fxhbtzhj3oj6oui4jqnfrweww5zwkbtqvaabqfe.ipfs.nftstorage.link/1026.png?ext=png,-5.945273999999998
19,107.13596,114.0,Okay Bear #897,7445,5,https://bafybeidj4qtagxh656hshac3se7ywq4lm6ej2g42nfadylezthu7mmslxe.ipfs.nftstorage.link/896.png?ext=png,-6.864040000000003
144,103.656845,111.0,Okay Bear #7299,3690,7,https://bafybeidvp5n3f3rn2hst4jpcvdds2qhcx6clrf4cfxaoeihobqoaknmxq4.ipfs.nftstorage.link/7298.png?ext=png,-7.343154999999996
53,95.85256,104.0,Okay Bear #2742,5796,6,https://bafybeicifnldmpywwt43opvbwuanglybhnmalu3pi6pvajq2rj2ezqccym.ipfs.nftstorage.link/2741.png?ext=png,-8.147440000000003
7,121.45449,130.0,Okay Bear #9159,3686,6,https://bafybeiei3lgexvgt3252drfkk72amfy5a7dgmdg6cmlsgfvmo3vlnmm3da.ipfs.nftstorage.link/9158.png?ext=png,-8.545509999999993
9,101.56576,110.89,Okay Bear #7549,2955,6,https://bafybeifs3vcqlc6b6fidxzezknzypqcssa25bsadxqkq76pnsywrk6w5ba.ipfs.nftstorage.link/7548.png?ext=png,-9.324240000000003
1,102.24119,112.0,Okay Bear #2725,3556,6,https://bafybeiaqmsdlddev7gnsjldzmarpqen6l2hgdg4krxveb2vfpif6kwacle.ipfs.nftstorage.link/2724.png?ext=png,-9.758809999999997
152,100.23599,110.0,Okay Bear #8397,5090,6,https://bafybeicozfilgxy6jkqt6moaidgu53czzp233ky3xfaiywxbg25flfgunq.ipfs.nftstorage.link/8396.png?ext=png,-9.764009999999999
26,94.67185,104.95,Okay Bear #6869,4857,6,https://bafybeiehi7k7vg4gwvknbsxg3nhqm3nppjh3j3o2ydsmbql77tqoizzqkq.ipfs.nftstorage.link/6868.png?ext=png,-10.278149999999997
285,93.18206,104.0,Okay Bear #9654,6835,6,https://bafybeidtp2kl62eimdwmh6y7izbknezx6at2winelp3ctajee3bhxticcu.ipfs.nftstorage.link/9653.png?ext=png,-10.817939999999993
67,94.17965,105.0,Okay Bear #5751,6841,6,https://bafybeigkkv6w7dbkygm7jjnxfeqkkb5lpjt7umihturkgxf7qnjt5lxtg4.ipfs.nftstorage.link/5750.png?ext=png,-10.820350000000005
163,110.64507,122.0,Okay Bear #9354,8438,5,https://bafybeihinvpvgwjp5zifaabhymbe3kzmfmsrr4of3fzqxzm2j7jvjxhvim.ipfs.nftstorage.link/9353.png?ext=png,-11.354929999999996
371,113.533134,125.0,Okay Bear #7357,6085,5,https://bafybeidbmr2lgmuicuqnm24aqaif3rwvrb4cd6l7ev4jj34cjrbjj75deq.ipfs.nftstorage.link/7356.png?ext=png,-11.466865999999996
137,118.16987,130.0,Okay Bear #7300,1331,6,https://bafybeidvp5n3f3rn2hst4jpcvdds2qhcx6clrf4cfxaoeihobqoaknmxq4.ipfs.nftstorage.link/7299.png?ext=png,-11.830129999999997
20,103.14421,115.0,Okay Bear #7799,7791,5,https://bafybeihnixzb265oqd33oj5og3knlxln3226cur22kq45bcob4sfgofwf4.ipfs.nftstorage.link/7798.png?ext=png,-11.855789999999999
157,95.8851,108.0,Okay Bear #773,6506,6,https://bafybeieaoqqlbau2khutgbgsawsdhpv744jgnnax5rfsk5hr3hsdbrpzjq.ipfs.nftstorage.link/772.png?ext=png,-12.114900000000006
64,106.80217,119.0,Okay Bear #8067,2157,7,https://bafybeiah2inxo4hgvlthqdls7ybjelh2oovo6jqr2tkqwr4hynlkz3tdoa.ipfs.nftstorage.link/8066.png?ext=png,-12.197829999999996
90,96.674835,109.0,Okay Bear #5882,8443,5,https://bafybeietzgnye5brkhuzpittobj2r7nxs7e24mjjvres4yguucpzroy7re.ipfs.nftstorage.link/5881.png?ext=png,-12.325164999999998
48,97.358055,110.0,Okay Bear #9049,8520,6,https://bafybeihkmuvb6o3qdwdinnxkm2otiojvupk22cbuw2tavx5v553wpnzdxy.ipfs.nftstorage.link/9048.png?ext=png,-12.641945000000007
155,122.33204,135.0,Okay Bear #636,1140,6,https://bafybeid5oszijw34lsmewd2wg56dprh7kvgxkzqj2jxwwoiztbeom5u5aq.ipfs.nftstorage.link/635.png?ext=png,-12.667959999999994
273,94.38286,108.0,Okay Bear #9639,6885,6,https://bafybeidtp2kl62eimdwmh6y7izbknezx6at2winelp3ctajee3bhxticcu.ipfs.nftstorage.link/9638.png?ext=png,-13.617140000000006
126,105.19503,119.0,Okay Bear #2289,537,7,https://bafybeibzvvi45cj45aphera6hqzcidvln56grdbpoti52hmcrzsqxm6blm.ipfs.nftstorage.link/2288.png?ext=png,-13.804969999999997
56,101.10924,115.0,Okay Bear #7413,1892,7,https://bafybeihbnfhfzpnvlspj72aydwxyszjuholvc6rtigega75pez5qau4xmq.ipfs.nftstorage.link/7412.png?ext=png,-13.89076
212,96.904686,111.0,Okay Bear #9500,7202,6,https://bafybeifge5aw4dynsfxl5n4rgde66djy7so4bjccxyvidjptqeq7ymoo4u.ipfs.nftstorage.link/9499.png?ext=png,-14.095314000000002
799,105.87826,120.0,Okay Bear #1409,1774,6,https://bafybeic2vhfvp4tlclbjzu44wfzha4mex63ebut3sihpay2wkpmeuqcctm.ipfs.nftstorage.link/1408.png?ext=png,-14.121740000000003
169,95.826904,110.0,Okay Bear #2458,3198,7,https://bafybeibn3yeghfcbc7qwpjblsx32uv6so2f4ivvccuobvo5sv66kavrfny.ipfs.nftstorage.link/2457.png?ext=png,-14.173096000000001
246,95.68347,110.0,Okay Bear #3800,3526,6,https://bafybeiamdlcbd3efau24hmnonk46x7tt7srxlvmz6e3t2aggho2bnjeziu.ipfs.nftstorage.link/3799.png?ext=png,-14.31653
173,124.66293,139.0,Okay Bear #4634,472,7,https://bafybeie62as3r4qrcg2t7fdltofrqicq2stroquqqkz2tk2n3nd5itqlhu.ipfs.nftstorage.link/4633.png?ext=png,-14.337069999999997
363,195.6466,209.99,Okay Bear #2551,3038,5,https://bafybeih56guuqre376sqrnucaecn4wlftbz6uz54n7yeldwloooxazure4.ipfs.nftstorage.link/2550.png?ext=png,-14.343400000000003
18,99.53416,114.0,Okay Bear #5831,5869,6,https://bafybeib6xilv34hxps4foewwkd3fripgnc4jitzul54uvflzmtmagm6rgu.ipfs.nftstorage.link/5830.png?ext=png,-14.46584
216,99.49373,114.0,Okay Bear #2962,5857,6,https://bafybeia7zri3wu4ppc2zabc32ooss3iad2mxzmr4ju4s3zopgbv7cty5si.ipfs.nftstorage.link/2961.png?ext=png,-14.50627
213,112.22036,127.0,Okay Bear #3143,788,7,https://bafybeibc33epkejoeqgspgz6um6awqpb2r2lpsjm5s76pmvizbcbaxw2ju.ipfs.nftstorage.link/3142.png?ext=png,-14.77964
25,95.10799,110.0,Okay Bear #4342,2911,6,https://bafybeidl3dxvlqrfwxxfimv2b3chs65dwx6t2cnozkexqq3gtbfyisk35u.ipfs.nftstorage.link/4341.png?ext=png,-14.892009999999999
221,96.04674,111.0,Okay Bear #2001,7149,5,https://bafybeibka67ypnqw524hp2rucq2gcpgufbrbsld72r4ocqnvzq2k53drnq.ipfs.nftstorage.link/2000.png?ext=png,-14.95326
557,95.01916,110.0,Okay Bear #6031,2259,6,https://bafybeieopzx4qna45lwmqi36n4tuvkkgeurnpaypa43zlitqpx4qwuruli.ipfs.nftstorage.link/6030.png?ext=png,-14.98084
230,104.93424,120.0,Okay Bear #4334,4599,6,https://bafybeidl3dxvlqrfwxxfimv2b3chs65dwx6t2cnozkexqq3gtbfyisk35u.ipfs.nftstorage.link/4333.png?ext=png,-15.065759999999997
77,102.29754,118.0,Okay Bear #7625,4519,6,https://bafybeieoeyzu6vgs65vzrigljltolcrfomdz2aelk7icj7hj5afyrouzfa.ipfs.nftstorage.link/7624.png?ext=png,-15.702460000000002
188,99.11778,115.0,Okay Bear #2120,5194,6,https://bafybeid5o5x7pe2exojhegqlb4mcdbkwtlh2vknpsnr2gxshy2gy3wm3m4.ipfs.nftstorage.link/2119.png?ext=png,-15.882220000000004
42,98.99894,115.0,Okay Bear #2242,7853,5,https://bafybeianrhh7xz7obggjo4xh3ztufcgwzhu763hcp2yeucajkjedvxdaa4.ipfs.nftstorage.link/2241.png?ext=png,-16.001059999999995
75,103.89911,120.0,Okay Bear #2622,2897,6,https://bafybeigbs5ed3ruk2oygx6lu55ijwivjfj5rzloyx4wiwg7cehe6674qou.ipfs.nftstorage.link/2621.png?ext=png,-16.100890000000007
151,98.82972,115.0,Okay Bear #6039,8261,5,https://bafybeieopzx4qna45lwmqi36n4tuvkkgeurnpaypa43zlitqpx4qwuruli.ipfs.nftstorage.link/6038.png?ext=png,-16.170280000000005
78,89.58579,106.0,Okay Bear #6463,3048,6,https://bafybeigktluses23po5xl3s4jcf2f6qp2n6sc4nrorlxru6njwnzt2q6fe.ipfs.nftstorage.link/6462.png?ext=png,-16.414209999999997
833,128.4539,145.0,Okay Bear #2739,254,7,https://bafybeicifnldmpywwt43opvbwuanglybhnmalu3pi6pvajq2rj2ezqccym.ipfs.nftstorage.link/2738.png?ext=png,-16.546099999999996
66,103.44239,120.0,Okay Bear #8724,7265,5,https://bafybeigxv2qepxzxgxiwazxlqoxg5vmdvav455maexpkmug4lxsfimpmpi.ipfs.nftstorage.link/8723.png?ext=png,-16.557609999999997
272,100.0267,117.0,Okay Bear #197,7633,6,https://bafybeibr4h4xaqbdjhgn4x2t5qamd4pqxaihwkcqyaikuxvwilju2d6pp4.ipfs.nftstorage.link/196.png?ext=png,-16.973299999999995
344,110.56516,128.0,Okay Bear #1820,1478,7,https://bafybeigg4kqb4gqmbjut7t3bz22fs6izsa2uvhqm26z4ygvwqnzeod76iu.ipfs.nftstorage.link/1819.png?ext=png,-17.434839999999994
172,92.527435,110.0,Okay Bear #6556,4420,6,https://bafybeibvntklhfgpzhqighhntqllse2sq2rkvtzhftzlc555noe3kcmpxe.ipfs.nftstorage.link/6555.png?ext=png,-17.472565000000003
247,102.471954,120.0,Okay Bear #8556,7869,5,https://bafybeih3afjai5najxmbu2mdhyqfimesaw2cmep7muu6vg53xdmebyxmc4.ipfs.nftstorage.link/8555.png?ext=png,-17.528046000000003
858,122.00522,140.0,Okay Bear #9684,492,7,https://bafybeifths76zoadhkmzhpxq4unhprahky3tamcrubwrvunqv27eut736u.ipfs.nftstorage.link/9683.png?ext=png,-17.994780000000006
47,96.93432,115.0,Okay Bear #8267,6535,6,https://bafybeiczkebhuwu7x2zfnxg45peji2uk2z4twtmjpaav4gcb7scul2fxtq.ipfs.nftstorage.link/8266.png?ext=png,-18.06568
15,101.76885,120.0,Okay Bear #1658,2088,7,https://bafybeier3gbmyhd6fnsq3wibwwth3t46pv7xxkkeboljtfa4tqw6d2hnsy.ipfs.nftstorage.link/1657.png?ext=png,-18.23115
109,94.86261,114.0,Okay Bear #1576,3706,6,https://bafybeihubtpkdlxyrzhogbio3xkwgnu7yrgsoxiaub7fly7d57ntfb5tae.ipfs.nftstorage.link/1575.png?ext=png,-19.137389999999996
22,95.71826,115.0,Okay Bear #7546,8546,6,https://bafybeifs3vcqlc6b6fidxzezknzypqcssa25bsadxqkq76pnsywrk6w5ba.ipfs.nftstorage.link/7545.png?ext=png,-19.28174
190,100.71284,120.0,Okay Bear #5413,3327,6,https://bafybeifrj7aw2ldi6uccqcjmogwl3q3ruq35hjhsb7e4fxzx5dhusfwwjm.ipfs.nftstorage.link/5412.png?ext=png,-19.28716
159,94.48817,114.0,Okay Bear #6861,4804,6,https://bafybeiehi7k7vg4gwvknbsxg3nhqm3nppjh3j3o2ydsmbql77tqoizzqkq.ipfs.nftstorage.link/6860.png?ext=png,-19.511830000000003
222,95.39608,115.0,Okay Bear #6967,5534,5,https://bafybeidqq7ijkq6oapvuh5afif776dzvcnfo77xwtoeck4h26nznld2qiy.ipfs.nftstorage.link/6966.png?ext=png,-19.603920000000002
146,99.355316,120.0,Okay Bear #2728,9461,5,https://bafybeiaqmsdlddev7gnsjldzmarpqen6l2hgdg4krxveb2vfpif6kwacle.ipfs.nftstorage.link/2727.png?ext=png,-20.644683999999998
266,98.54451,120.0,Okay Bear #296,8832,6,https://bafybeihvxgtqkffpa6j2l7dv42swxdom3zx3jt52v4zn3crig6v5h46rq4.ipfs.nftstorage.link/295.png?ext=png,-21.455489999999998
362,133.26514,155.0,Okay Bear #3307,1418,6,https://bafybeifcl4wqvklq2ypif5ymlgsitnfuiinnpk5tquomwph25f5ofmfhi4.ipfs.nftstorage.link/3306.png?ext=png,-21.734859999999998
32,100.076965,122.0,Okay Bear #4171,6526,5,https://bafybeidi7i64re36bsxxb3t6bpgow65dfnanv7ffddig5g5sucz4oge2aa.ipfs.nftstorage.link/4170.png?ext=png,-21.923035
57,102.254745,125.0,Okay Bear #5481,3964,6,https://bafybeiabjdv35nvx3cngd4dhuza3fpzmuifxvvbvilx3aoaxg24fhsohtu.ipfs.nftstorage.link/5480.png?ext=png,-22.745255
225,101.94085,125.0,Okay Bear #8763,3143,7,https://bafybeie2kg2aahyf6g3aj6aoe7ab7un2vigfnebjonk6ae5m2vyfo522fm.ipfs.nftstorage.link/8762.png?ext=png,-23.059150000000002
