,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank,id,tokenAddress,collectionAddress,collectionName,imageUrl,chain
9208,Okay Bear #103,Blue,Puffer Jacket,Sarcastic,,Grizzly,,Clean Smile,0.1252,0.144,0.0797,0.0965,0.0227,0.6672,0.2698,0.0227,0.6672,0.20072857142857142,87.09952425215947,9209,103,86RmVB1RrFRhGXRJFzVPEs2beqLwr8oLpbSb9pjVWdZC,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeighjl5tsg5rpyokpizeodz6ho46rjenzyzslbozh4qdfehhhsgrsa.ipfs.nftstorage.link/102.png?ext=png,SOL
9209,Okay Bear #7470,Warm Grey,,Sad,Clear Glasses,Tan,Skate Cap,Okay,0.1227,0.1413,0.2305,0.0507,0.1965,0.0407,0.0551,0.0407,0.2305,0.11964285714285715,87.09726417782102,9210,7470,CLEHM3Mk5UxPoSy8D6g2f4MjkkgSUjmHwHTeVKHmoutF,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeicopqcbvgbwoooetedajjpvqzv7v7q6b4225rgr4sqehlfxgxwa2e.ipfs.nftstorage.link/7469.png?ext=png,SOL
9210,Okay Bear #9972,Cream,Summer Shirt,Okay,,Grizzly,Skate Cap,Okay,0.1326,0.144,0.2305,0.2023,0.0229,0.6672,0.0551,0.0229,0.6672,0.2078,87.08321465681891,9211,9972,8sPRUXUbNYqPGvfsrQJBJuA6CfGo3925Rhr6pa5XfB6r,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidihp4ez5lw4sqqxu4kwcvhjc2qhm2szz7kkayyee425oamdfzrkm.ipfs.nftstorage.link/9971.png?ext=png,SOL
9211,Okay Bear #9007,Purple,,Annoyed,,Pink,Sweatband,Clean Smile,0.1187,0.0426,0.0797,0.1309,0.1965,0.6672,0.0352,0.0352,0.6672,0.18154285714285714,87.08219947479662,9212,9007,Ew12e7Njn1AsodxFwiTiXi4hf759j7dg4CpDYehpPS7m,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiergvyluqjqiheufi3xyejxjuz7jo3lydyi6kqduqngwjiczuvqwq.ipfs.nftstorage.link/9006.png?ext=png,SOL
9212,Okay Bear #1028,Grey,Okay Tee,Okay,,Tan,Skate Cap,Wry,0.1261,0.1413,0.0922,0.2023,0.0273,0.6672,0.0551,0.0273,0.6672,0.18735714285714283,87.07415358372845,9213,1028,E73yBemrt615voGQobVETdBaCkUnhqdWgT4NKiZ5k3nn,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeia26bhw25vnfx7fxhbtzhj3oj6oui4jqnfrweww5zwkbtqvaabqfe.ipfs.nftstorage.link/1027.png?ext=png,SOL
9213,Okay Bear #5241,Cream,,White Glow,,Tan,Sweatband,Pouting,0.1326,0.1413,0.1231,0.0341,0.1965,0.6672,0.0352,0.0341,0.6672,0.18999999999999997,87.06455940188451,9214,5241,CL1DCJqJYcH1qaqRBDTLPisuo7h9P5PXveiTW7ExtJvK,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihohxdg54q47oi3tlxiqxtkydu6shy777cqbgcss5wz64omfzhhva.ipfs.nftstorage.link/5240.png?ext=png,SOL
9214,Okay Bear #4753,Grey,Double Jacket,Annoyed,,Polar,,Wry,0.1261,0.0641,0.0922,0.1309,0.0251,0.6672,0.2698,0.0251,0.6672,0.1964857142857143,87.06213216076051,9215,4753,5R9T6nqoAgQqCmb2w6oeGm73Kansk44PB2nAhRPLUykU,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidkwy4fuekyql7tvfqeambkhdhdfkw4gjavhaacjttikg3wmxqys4.ipfs.nftstorage.link/4752.png?ext=png,SOL
9215,Okay Bear #1785,Yellow,,White Glow,,Sand,Pencil,Okay,0.1222,0.0818,0.2305,0.0341,0.1965,0.6672,0.0379,0.0341,0.6672,0.19574285714285716,87.04523667917125,9216,1785,FPJbTB5H3QQPVGMSsbQ3T6b9RB9xNAjRPcnbpxYiXSw1,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifkii52vmpe5nujzfcvvlsz7hpndyljavix2as7wmz75e6pcr4ct4.ipfs.nftstorage.link/1784.png?ext=png,SOL
9216,Okay Bear #9429,Green,,Sad,Clear Glasses,Tan,,Proud,0.126,0.1413,0.0528,0.0507,0.1965,0.0407,0.2698,0.0407,0.2698,0.12539999999999998,87.0424409045598,9217,9429,AsrUt4bw6LkFK3sqaaSeq8CSoagbJY4YkokvNX4Nrik3,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifykysj4snt6grazpemjvzzp3ejnrn6r3hudfnhnjsv3eikcvznzi.ipfs.nftstorage.link/9428.png?ext=png,SOL
9217,Okay Bear #208,Warm Grey,Golf Polo,Annoyed,,Dark Brown,,Pouting,0.1227,0.1268,0.1231,0.1309,0.02,0.6672,0.2698,0.02,0.6672,0.20864285714285716,87.00454101452858,9218,208,ABUpW7PyrgBGa7WLXTzeunsRowsZe3wMvpe5umdVa1qS,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeibr4h4xaqbdjhgn4x2t5qamd4pqxaihwkcqyaikuxvwilju2d6pp4.ipfs.nftstorage.link/207.png?ext=png,SOL
