,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank,id,tokenAddress,collectionAddress,collectionName,imageUrl,chain
0,Okay Bear #9335,White,Vintage Shirt,Sarcastic,Pixel Glasses,Robot,Skate Cap,Cassette,0.1265,0.0052,0.0025,0.0965,0.0275,0.032,0.0551,0.0025,0.1265,0.04932857142857143,696.3379816384465,1,9335,5LvxA3HTkHFJRPHjBtBW4sUGA9j55i8Ep4VPcL8WC7HL,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihinvpvgwjp5zifaabhymbe3kzmfmsrr4of3fzqxzm2j7jvjxhvim.ipfs.nftstorage.link/9334.png?ext=png,SOL
1,Okay Bear #4396,Yellow,Puffer Jacket,Sarcastic,,Blueprint,Rabbit Fur Hat,Cassette,0.1222,0.0158,0.0025,0.0965,0.0227,0.6672,0.0085,0.0025,0.6672,0.13362857142857143,645.0358628155564,2,4396,7h5DGoeiNKmn2i4RMCwMQA1AfvLD5mS81qo9m84ReHj7,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeigmaruz52sy4ccjm5hgnrkhv5n5ygu6z76kxqor3dvbf6pel5f2wq.ipfs.nftstorage.link/4395.png?ext=png,SOL
2,Okay Bear #1469,Yellow,Overalls,Golden Glow,,Sun,Baker Boy Hat,Cassette,0.1222,0.0259,0.0025,0.0199,0.0139,0.6672,0.0214,0.0025,0.6672,0.12471428571428571,617.214819912107,3,1469,9UUw1NSCfeguQMfA4o6NeocdnB8GEFBgprJ5FGqqWCLe,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeic26kjiotdnktmznib4dktzg36z4tkx4h7ldpaw4ekmd2hnc6xava.ipfs.nftstorage.link/1468.png?ext=png,SOL
3,Okay Bear #7788,White,Black Suit,Interested,,Robot,Pom Pom Beanie,Toothpick,0.1265,0.0052,0.0116,0.0671,0.0037,0.6672,0.0256,0.0037,0.6672,0.12955714285714287,612.1544280860684,4,7788,4LFAEBoXrdMTW8T8TiAAQCUTv8gygjLRo8qczWunxu5w,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihnixzb265oqd33oj5og3knlxln3226cur22kq45bcob4sfgofwf4.ipfs.nftstorage.link/7787.png?ext=png,SOL
4,Okay Bear #8263,Grey,Torn Tee,Closed,,Grizzly,Rubik's Cube,Earphones,0.1261,0.144,0.0049,0.031,0.0104,0.6672,0.0041,0.0041,0.6672,0.1411,592.7694418668848,5,8263,Hy2E3RSwVyMvc875CeXJkZNdSMvFRuyECCND49xftJkp,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiczkebhuwu7x2zfnxg45peji2uk2z4twtmjpaav4gcb7scul2fxtq.ipfs.nftstorage.link/8262.png?ext=png,SOL
5,Okay Bear #7110,Blue,Black Suit,Annoyed,,Polar,Black Bucket Hat,Eight Ball,0.1252,0.0641,0.0038,0.1309,0.0037,0.6672,0.0412,0.0037,0.6672,0.1480142857142857,590.4260745029097,6,7110,2UbsS5D6w4tuJfPRpXHMKrU4mxNNLfSBDD5obCVGdzvD,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihws3xey4z4dcer4ig2qepnxfds3u3fqefqfosk2wqvk3fvkph4ri.ipfs.nftstorage.link/7109.png?ext=png,SOL
6,Okay Bear #2577,Yellow,Urban Hoodie,Defeated,,Albino,Army Hat,Cassette,0.1222,0.0456,0.0025,0.0526,0.012,0.6672,0.0239,0.0025,0.6672,0.13228571428571428,575.7976759378229,7,2577,CdyXjZyGP7hrs85nAZv1noTVZewMPFbuGT9wYD3UzVGh,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeih56guuqre376sqrnucaecn4wlftbz6uz54n7yeldwloooxazure4.ipfs.nftstorage.link/2576.png?ext=png,SOL
7,Okay Bear #8158,Blue,Denim Jacket,Interested,,Robot,Sticky Note,Earphones,0.1252,0.0052,0.0049,0.0671,0.0091,0.6672,0.023,0.0049,0.6672,0.12881428571428571,574.1468467841737,8,8158,Gz5MgxPPfKRDi1gJbhWeLGAGEZQG3dieHVvgbtbr3Hyh,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeih4sciduafh6vlz3b5igcfwoexlxhlojzqvnr3qb5y3zujer5ocnq.ipfs.nftstorage.link/8157.png?ext=png,SOL
8,Okay Bear #5971,Yellow,Black Suit,Tired,Flying Goggles,Tan,Skate Cap,Honey,0.1222,0.1413,0.0054,0.0454,0.0037,0.0183,0.0551,0.0037,0.1413,0.05591428571428571,565.5359631341144,9,5971,9wtGrEmZhQ5XN14QRk4Kx4m2U7nJNwzqPKt2jimGCtup,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiattngzarm3ukxxbxfv26a7rd5kfsy5rewbpl4ctdvyk6fwh2axaq.ipfs.nftstorage.link/5970.png?ext=png,SOL
9,Okay Bear #4859,Blue,Olive Windbreaker,Tired,Barrel Sunglasses,Albino,Pencil,Cassette,0.1252,0.0456,0.0025,0.0454,0.0256,0.0211,0.0379,0.0025,0.1252,0.04332857142857143,564.7845659300658,10,4859,CWNeouUQc96aDYagx3y8WUm7ATGbmN9ydnympqnmmXei,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeib27qbsb4sig2oy6ongel2yqbd44pzmo6rmpulpl67msqngokypii.ipfs.nftstorage.link/4858.png?ext=png,SOL
10,Okay Bear #2226,Purple,Fur Coat,Annoyed,Aviator Sunglasses,Tan,Army Hat,Yoyo,0.1187,0.1413,0.0048,0.1309,0.0038,0.0409,0.0239,0.0038,0.1413,0.06632857142857143,560.9232700756229,11,2226,3VZ5tYgwFawGvNDNP8wPRgzYhKtScqFfFG8K6NQoQFts,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeianrhh7xz7obggjo4xh3ztufcgwzhu763hcp2yeucajkjedvxdaa4.ipfs.nftstorage.link/2225.png?ext=png,SOL
11,Okay Bear #7949,Purple,Black Suit,Annoyed,Wayfarer Sunglasses,Dark Brown,Pom Pom Beanie,Earphones,0.1187,0.1268,0.0049,0.1309,0.0037,0.0438,0.0256,0.0037,0.1309,0.06491428571428572,560.1959077185055,12,7949,5uzN6m327srnHtnQSekkL1FD2W2mvQABaE1MxbZp9nr5,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiey7bbgoqrir3sq2fiqjltlrrrm35r24752fthcz2nrubjh2wcnzm.ipfs.nftstorage.link/7948.png?ext=png,SOL
12,Okay Bear #7478,Warm Grey,Aviator Jacket,Robot,,Tan,Black Bucket Hat,Eight Ball,0.1227,0.1413,0.0038,0.0087,0.0075,0.6672,0.0412,0.0038,0.6672,0.14177142857142858,552.4315025105408,13,7478,3nufH7EyX4szEWr5Fkf2GtL1Wxhm6W9W85ZTzUf7eFZ3,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiej73ogdprfvagvr76gk5xvyvvkbfuzvf3gpbkdklduc4mefbreka.ipfs.nftstorage.link/7477.png?ext=png,SOL
13,Okay Bear #1072,Blue,,Interested,VR Headset,Tan,,Cassette,0.1252,0.1413,0.0025,0.0671,0.1965,0.0092,0.2698,0.0025,0.2698,0.11594285714285713,547.4586508593468,14,1072,HastnUvcCBv9py8S3x3hfewykf59wqAD1twnMjJUa1NU,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidbnpe6wopf66hjnwp45aicc4fw3g4b3w7pd25gpy4zuhf5u7tlsi.ipfs.nftstorage.link/1071.png?ext=png,SOL
14,Okay Bear #2833,Yellow,Lumber Jacket,Sarcastic,,Grizzly,Worn Out Beanie,Cassette,0.1222,0.144,0.0025,0.0965,0.0124,0.6672,0.026,0.0025,0.6672,0.15297142857142856,546.0959455117027,15,2833,HUqitwQcXCrw1MPBw1dwZ2feCNYQ36sDMEnFRbpcuoH3,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidtk5ce2dauokfcqtwxazuusud73h5jxljaljpipnfcm2cwzw7wf4.ipfs.nftstorage.link/2832.png?ext=png,SOL
15,Okay Bear #7509,Blue,Torn Sleeveless Tee,Okay,Circle Sunglasses,Red Panda,Classic Cap,Cassette,0.1252,0.0276,0.0025,0.2023,0.0315,0.0282,0.0337,0.0025,0.2023,0.06442857142857143,546.0428733956205,16,7509,AUF7ABFhP2MMteh8R7W9JBsR1NrZMrFh4DMTbZJLdPYf,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiclnridjpablpz2xdvtpw3la7akagpnrz5i2m7c3vs7vytlzwxvtq.ipfs.nftstorage.link/7508.png?ext=png,SOL
16,Okay Bear #9886,Cream,Wool Overcoat,Interested,Clear Glasses,Robot,Skate Cap,Earphones,0.1326,0.0052,0.0049,0.0671,0.012,0.0407,0.0551,0.0049,0.1326,0.04537142857142857,544.8861109777316,17,9886,CiQYuUykLgjiGv87U65GBFrybPcns1GXfW9aS5Q7BzVz,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihg4mg4265jbgb77izpufexe5ei2lw3rndbjy536pqmsue6ufdtyq.ipfs.nftstorage.link/9885.png?ext=png,SOL
17,Okay Bear #5377,White,Autumn Sweater,Spirited,,Robot,,Eight Ball,0.1265,0.0052,0.0038,0.062,0.0175,0.6672,0.2698,0.0038,0.6672,0.1645714285714286,541.8478649662553,18,5377,8e6cFXjPwZbkRXdW4KnMrYAAG67J6ZT2ZLcjPiYYT3rq,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeigvbkt56wism3paiqs3h73cxwr2r23civnumnlojs6uf7fijrnvq4.ipfs.nftstorage.link/5376.png?ext=png,SOL
18,Okay Bear #3340,White,Hawaiian Shirt,Interested,Holographic,Coral,Mumford Hat,Yoyo,0.1265,0.0072,0.0048,0.0671,0.0178,0.0171,0.0175,0.0048,0.1265,0.03685714285714286,541.8326548068699,19,3340,EK4FizYeActi1CAt4j48Qb5bNsY38RLydnugsvvaj57e,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeig7qjrpvzs6j3wewujr5srt426z5f7lcpd3pzc2hfrcw5tfb23alu.ipfs.nftstorage.link/3339.png?ext=png,SOL
19,Okay Bear #2885,Yellow,Black Suit,Spirited,,Grizzly,Okay Beanie,Earphones,0.1222,0.144,0.0049,0.062,0.0037,0.6672,0.0301,0.0037,0.6672,0.14772857142857143,540.3300780028458,20,2885,4T4GKw9G4zjN6yy6TUwyvdGSrXYzmouuv5vuk6ZagyDc,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeibkegdujujiaotebhws32wnyd5yzqnom3ze3r4v3if432udr53bha.ipfs.nftstorage.link/2884.png?ext=png,SOL
20,Okay Bear #3730,Blue,Black Tee,Sad,Wayfarer Sunglasses,Green,Flat Hat,Cassette,0.1252,0.0456,0.0025,0.0507,0.0383,0.0438,0.029,0.0025,0.1252,0.04787142857142857,533.0643803098126,21,3730,3EVLwFfzkkjCRSENub1ZvqRGmTv4CLg4LSsA3tfmaBZ5,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiacwciqezo5qnott2jbe2wor6urpfmtqiduqwir222xhgirpj7hla.ipfs.nftstorage.link/3729.png?ext=png,SOL
21,Okay Bear #1257,Warm Grey,Utility Vest,Okay,,Polar,Sticky Note,Cassette,0.1227,0.0641,0.0025,0.2023,0.0197,0.6672,0.023,0.0025,0.6672,0.15735714285714283,524.4322201558406,22,1257,5dXY2tZiwXHi2XojWj8HZFkJBFCA1e3S92N4Zb2QbU22,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeig7m6nx4kxipyxmk5epfa35l7e5b5e2ogekljdnxmmpot72szl77a.ipfs.nftstorage.link/1256.png?ext=png,SOL
22,Okay Bear #9485,Green,Hooded Cardigan,Sarcastic,,Green,Skate Cap,Cassette,0.126,0.0456,0.0025,0.0965,0.0161,0.6672,0.0551,0.0025,0.6672,0.14414285714285713,521.988449326577,23,9485,3FPoWfXxhM6DmgN9R5Z2sgtSxc3LqGtkhzcwYL4rLkjq,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifge5aw4dynsfxl5n4rgde66djy7so4bjccxyvidjptqeq7ymoo4u.ipfs.nftstorage.link/9484.png?ext=png,SOL
23,Okay Bear #1983,Grey,Formal Vest,Interested,,Coral,Classic Cap,Eight Ball,0.1261,0.0072,0.0038,0.0671,0.0157,0.6672,0.0337,0.0038,0.6672,0.13154285714285713,519.7467863783473,24,1983,4QC6AMZcL66xg2YKPWv9fkiaqMi5DmFZfaDES5p31d7R,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeibka67ypnqw524hp2rucq2gcpgufbrbsld72r4ocqnvzq2k53drnq.ipfs.nftstorage.link/1982.png?ext=png,SOL
24,Okay Bear #7021,Purple,Utility Vest,White Glow,,Green,,Cassette,0.1187,0.0456,0.0025,0.0341,0.0197,0.6672,0.2698,0.0025,0.6672,0.16537142857142856,515.6466090900676,25,7021,BVtEoECX6f4455GUZ3LCoV6vLLdFwoErRCrMdGCGU5Mb,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidt6isw2ympb5zevjtlvxmu3u2s6wmnax7keay5mozg4idprgt3sa.ipfs.nftstorage.link/7020.png?ext=png,SOL
25,Okay Bear #3283,White,,Closed,Round Glasses,Dark Brown,Backwards Flat Cap,Cassette,0.1265,0.1268,0.0025,0.031,0.1965,0.0374,0.0303,0.0025,0.1965,0.07871428571428571,512.8799649559248,26,3283,JA8ucMMxNU1uTUqXD9CZ9BTFHgbPnJn9n8mJLfdePaND,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihwnxfezi3lacd3kba2ljx3kghwlzkcy4hq6arvxfwe3ftckmmty4.ipfs.nftstorage.link/3282.png?ext=png,SOL
26,Okay Bear #7613,White,Utility Vest,Sarcastic,,Tan,Runner Cap,Cassette,0.1265,0.1413,0.0025,0.0965,0.0197,0.6672,0.0339,0.0025,0.6672,0.15537142857142858,507.10372082831753,27,7613,EpcJjBe4qxZLMydJ6h9vZGV3ANG7K4W9mGxBZoybBU72,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifmbstriq3cmaxx4lq4a7cssxfpqbg5c3culti6qudmayjc34makm.ipfs.nftstorage.link/7612.png?ext=png,SOL
27,Okay Bear #9667,Green,Utility Vest,Annoyed,,Polar,Bandana,Cassette,0.126,0.0641,0.0025,0.1309,0.0197,0.6672,0.0424,0.0025,0.6672,0.1504,507.02167930500116,28,9667,E1WQW561Jvs72WAsfE8VvadUPiQ6Q2sLLvhySspotVDJ,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifths76zoadhkmzhpxq4unhprahky3tamcrubwrvunqv27eut736u.ipfs.nftstorage.link/9666.png?ext=png,SOL
28,Okay Bear #8003,Blue,Camel Coat,Wide Eyed,Mechanical Goggles,Panda,Chullo,Gah,0.1252,0.039,0.0426,0.026,0.0116,0.0051,0.0078,0.0051,0.1252,0.036757142857142856,506.05441908300566,29,8003,FLgY55Ras6nLdwQmDRbnSL7Bxe9FEAqLHTPz3qyUdKWr,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidhtoxoge2xal6mxtn66ip3awwzdzvfaff4xwqbga6cixpo2n3mbi.ipfs.nftstorage.link/8002.png?ext=png,SOL
29,Okay Bear #2126,Grey,Golf Polo,Interested,,Tan,Black Bucket Hat,Cassette,0.1261,0.1413,0.0025,0.0671,0.02,0.6672,0.0412,0.0025,0.6672,0.15219999999999997,505.6811302275385,30,2126,6FwCjW4J1BY5uT3zXqagYbEk2R11VWt6D6fY8F8owLqn,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeid5o5x7pe2exojhegqlb4mcdbkwtlh2vknpsnr2gxshy2gy3wm3m4.ipfs.nftstorage.link/2125.png?ext=png,SOL
30,Okay Bear #599,Green,Puffer Jacket,Okay,Circle Sunglasses,Tan,,Cassette,0.126,0.1413,0.0025,0.2023,0.0227,0.0282,0.2698,0.0025,0.2698,0.11325714285714285,503.17710806926203,31,599,J7zf1Z9qD9FZgGmgoapHFvWQx9CXSKXKxeWNiJPBsRGv,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeibg22i5f4b3lwpfvl2zrevy7yxw4do5iltosa6vcfne4hftcgzhda.ipfs.nftstorage.link/598.png?ext=png,SOL
31,Okay Bear #1321,Green,Woven Sweater,Okay,,Polar,Black Bucket Hat,Cassette,0.126,0.0641,0.0025,0.2023,0.0208,0.6672,0.0412,0.0025,0.6672,0.16058571428571428,502.32785438989987,32,1321,AGsUxn53EUZQGoR11zLbN4yVZnkMpsVTjA9twmbuLWmQ,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeia25odgdu75kt2mi46grohdfupubnddbtgtwnw4bair6iduzgy4qi.ipfs.nftstorage.link/1320.png?ext=png,SOL
32,Okay Bear #3888,Grey,Tweed Suit,Tired,,Red Panda,Book,Earphones,0.1261,0.0276,0.0049,0.0454,0.0088,0.6672,0.0086,0.0049,0.6672,0.12694285714285716,501.6843969079131,33,3888,FvyrUCRHPUg1NPRvGmRZ2ThfwmEMpdtwY9ojUng3WANi,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifo5lpswyc5zr6zx2ampy2ztg6c7izaiju3a7p2dtkjmg7jezjuma.ipfs.nftstorage.link/3887.png?ext=png,SOL
33,Okay Bear #532,Blue,Sling Pack,Happy,,Tan,Pencil,Cassette,0.1252,0.1413,0.0025,0.0788,0.022,0.6672,0.0379,0.0025,0.6672,0.15355714285714286,501.09328730052056,34,532,C3shSUN2UJ7LzVCHqqA5yhFEzfLPYS1fwU32HAHjvS8i,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeigjdfwmema2xtsnadcdxpshb3m7ar6xgqjm7un2ghs6ylstfd2f6a.ipfs.nftstorage.link/531.png?ext=png,SOL
34,Okay Bear #9666,White,Lumber Jacket,Robot,,Sand,Rubik's Cube,Raspberry,0.1265,0.0818,0.0253,0.0087,0.0124,0.6672,0.0041,0.0041,0.6672,0.13228571428571428,500.6446989244089,35,9666,7QME9Lxu7wvUw64eWL8xSYMBivn847ESL9FHZAc1WBDQ,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifths76zoadhkmzhpxq4unhprahky3tamcrubwrvunqv27eut736u.ipfs.nftstorage.link/9665.png?ext=png,SOL
35,Okay Bear #2489,Cream,Pullover Windbreaker,Okay,,Grizzly,Pencil,Cassette,0.1326,0.144,0.0025,0.2023,0.0204,0.6672,0.0379,0.0025,0.6672,0.17241428571428571,496.3327093830151,36,2489,GaeuctPhuZiR2hGZx8Lyc5EvhFBngshDs2qmxjccq2A9,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidcpoju6k6qgxea2zqqmv7xhw4t3kayhz75vdftqpbd7k3ocgggrq.ipfs.nftstorage.link/2488.png?ext=png,SOL
36,Okay Bear #2410,Blue,Tweed Suit,Okay,,Polar,Rubik's Cube,Drool,0.1252,0.0641,0.0097,0.2023,0.0088,0.6672,0.0041,0.0041,0.6672,0.15448571428571428,490.6613853294675,37,2410,DJLrw4z4zeQzuHShCEcUbooD6SR5eJ5zFE9vCDNjTVPE,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeieximbzqxohkyugfy4acew5hroodukjexu5dsb5s3ljpw5c436wqm.ipfs.nftstorage.link/2409.png?ext=png,SOL
37,Okay Bear #3756,Grey,Black Suit,Interested,Circle Sunglasses,Dark Brown,Sweatband,Pencil,0.1261,0.1268,0.0081,0.0671,0.0037,0.0282,0.0352,0.0037,0.1268,0.05645714285714286,488.31692331485885,38,3756,4cx1RnM44vAJvoPu2rcPEBFW6mMNWMXT4paiz1EPouxQ,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeihoovttympjnuc4efkho6y7jdrrzco4xma7dxttjxxiudxlluemgi.ipfs.nftstorage.link/3755.png?ext=png,SOL
38,Okay Bear #9980,Blue,,Happy,,Green,Pencil,Cassette,0.1252,0.0456,0.0025,0.0788,0.1965,0.6672,0.0379,0.0025,0.6672,0.16481428571428575,475.580484096449,39,9980,7RPnu94KSSyurxvKJQBiZvrqCGbu6WTtVGDK3wBJRtF2,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidihp4ez5lw4sqqxu4kwcvhjc2qhm2szz7kkayyee425oamdfzrkm.ipfs.nftstorage.link/9979.png?ext=png,SOL
39,Okay Bear #6560,White,,Disappointed,,Polar,Flat Hat,Cassette,0.1265,0.0641,0.0025,0.094,0.1965,0.6672,0.029,0.0025,0.6672,0.16854285714285713,475.21467834131766,40,6560,3TB5kf3nCUcggUWchjcPWJ9eCHF6qPrFhAKaZtkm6PNh,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeibvntklhfgpzhqighhntqllse2sq2rkvtzhftzlc555noe3kcmpxe.ipfs.nftstorage.link/6559.png?ext=png,SOL
40,Okay Bear #1360,Warm Grey,Fur Coat,Sarcastic,,Black,Backwards Skate Cap,Pencil,0.1227,0.0495,0.0081,0.0965,0.0038,0.6672,0.0212,0.0038,0.6672,0.13842857142857143,473.9979708930283,41,1360,EoACPwgJ2nTqkqzc9JhwvJ5otAKX53e8or2nQjYL61fy,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiejjts72c5groeljh3yg46arqj6almz2v3myhdre5pbdv7rrcu3eu.ipfs.nftstorage.link/1359.png?ext=png,SOL
41,Okay Bear #7835,Purple,Hawaiian Shirt,Happy,,Andean,Rubik's Cube,Pencil,0.1187,0.0377,0.0081,0.0788,0.0178,0.6672,0.0041,0.0041,0.6672,0.13319999999999999,472.67795948842775,42,7835,8krRBPrNbNhnRiFyXxRgY2H2igABWaug4zDG6ofKFwUF,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifyucju7ajrium47uzdojlxg3zn2hp275pvedvu65qso5hqlzxbzi.ipfs.nftstorage.link/7834.png?ext=png,SOL
42,Okay Bear #5835,White,,Disappointed,,Sand,Sweatband,Cassette,0.1265,0.0818,0.0025,0.094,0.1965,0.6672,0.0352,0.0025,0.6672,0.17195714285714284,465.76532548006355,43,5835,6vJNG7no8oJkZry6UEroGBYU982ZGDCory6ttYLQtEhU,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeib6xilv34hxps4foewwkd3fripgnc4jitzul54uvflzmtmagm6rgu.ipfs.nftstorage.link/5834.png?ext=png,SOL
43,Okay Bear #2490,Blue,,Happy,,Dark Brown,Sweatband,Cassette,0.1252,0.1268,0.0025,0.0788,0.1965,0.6672,0.0352,0.0025,0.6672,0.17602857142857142,463.5609615009604,44,2490,3eks4qpk5fBve6taFD3SWZiJN6n2wcwvAf992QSxkVwo,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeidcpoju6k6qgxea2zqqmv7xhw4t3kayhz75vdftqpbd7k3ocgggrq.ipfs.nftstorage.link/2489.png?ext=png,SOL
44,Okay Bear #5106,Blue,Camel Coat,Sarcastic,Holographic,Robot,Surf Bucket Hat,Huh,0.1252,0.0052,0.0344,0.0965,0.0116,0.0171,0.0133,0.0052,0.1252,0.043328571428571425,459.60177313763415,45,5106,EuUrqjH2eDW64FXXJk5V1ASVfStyWDEdFYnjSxPdWji,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifvd32qopfzvwypyezfsubk5y5coeofz3sk7vrzboxmtcwswyyf5y.ipfs.nftstorage.link/5105.png?ext=png,SOL
45,Okay Bear #5304,Green,Fur Coat,Sarcastic,,Panda,Skate Cap,Asparagus,0.126,0.039,0.0076,0.0965,0.0038,0.6672,0.0551,0.0038,0.6672,0.1421714285714286,458.3246912692262,46,5304,5yYb912ULQHP9vmyyk6dgW1d9xC1zPMRtxHbaquRz2jV,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeibbrudy3iqxkryvmhv5y2rudqbzosgtgpnop4frzo3kkvmts34mw4.ipfs.nftstorage.link/5303.png?ext=png,SOL
46,Okay Bear #9127,Blue,Fur Coat,Sarcastic,Round Glasses,Dark Brown,Okay Beanie,Drool,0.1252,0.1268,0.0097,0.0965,0.0038,0.0374,0.0301,0.0038,0.1268,0.06135714285714285,452.44758759759424,47,9127,6tvfbZRmk2qRR1MpsZ2eLxVbnjXibbTJ8ZoxpAFzwiGM,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeifmcfojbnwl555alnpku44gywdoiaj26jjl2ddoke2fkgrm5juf54.ipfs.nftstorage.link/9126.png?ext=png,SOL
47,Okay Bear #7922,Grey,Lumber Jacket,Wide Eyed,,Albino,Earrings,Eight Ball,0.1261,0.0456,0.0038,0.026,0.0124,0.6672,0.0266,0.0038,0.6672,0.12967142857142858,451.21741908752637,48,7922,4TTkcv21FTH9PAtjSLqjT2zgwXuRLgF1NbNCxfnW5Djd,7ttWYWpc9H9NUQnEaH64qWLwXcHMYwFBu1WrtwjyAHC3,Okay Bears,https://bafybeiey7bbgoqrir3sq2fiqjltlrrrm35r24752fthcz2nrubjh2wcnzm.ipfs.nftstorage.link/7921.png?ext=png,SOL
