name,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank
Okay Bear #9557,0.1265,0.0606,0.2305,0.031,0.013,0.6672,0.026,0.013,0.6672,0.16497142857142857,177.88666415884072,3509
Okay Bear #9424,0.1326,0.1268,0.0233,0.0526,0.015,0.6672,0.0309,0.015,0.6672,0.14977142857142858,177.88570241349737,3510
Okay Bear #8027,0.1222,0.144,0.2305,0.0526,0.0088,0.6672,0.0412,0.0088,0.6672,0.1809285714285714,177.88456139391408,3511
Okay Bear #6974,0.1187,0.0606,0.2305,0.0526,0.0091,0.6672,0.0551,0.0091,0.6672,0.17054285714285713,177.8137828105785,3512
Okay Bear #7848,0.1227,0.0426,0.022,0.0788,0.0208,0.6672,0.026,0.0208,0.6672,0.1400142857142857,177.80630093614846,3513
Okay Bear #1976,0.1252,0.0818,0.2305,0.0526,0.013,0.0438,0.029,0.013,0.2305,0.08227142857142856,177.79884673269976,3514
Okay Bear #6977,0.1222,0.0456,0.2305,0.031,0.0139,0.6672,0.0266,0.0139,0.6672,0.16242857142857142,177.74482189190937,3515
Okay Bear #4303,0.1265,0.0456,0.0271,0.1309,0.0256,0.032,0.0303,0.0256,0.1309,0.059714285714285706,177.69055163917278,3516
Okay Bear #5311,0.1265,0.1268,0.0095,0.094,0.1965,0.0269,0.2698,0.0095,0.2698,0.12142857142857144,177.66325837363829,3517
Okay Bear #3570,0.1261,0.0818,0.1231,0.094,0.0197,0.0171,0.0339,0.0171,0.1261,0.0708142857142857,177.65640626880415,3518
Okay Bear #380,0.1187,0.0259,0.2305,0.2023,0.0286,0.0121,0.2698,0.0121,0.2698,0.12684285714285712,177.63229925340812,3519
Okay Bear #7078,0.1265,0.0456,0.0922,0.026,0.0286,0.0409,0.0256,0.0256,0.1265,0.05505714285714286,177.61990106332473,3520
Okay Bear #7229,0.1265,0.1413,0.0344,0.2023,0.0114,0.0269,0.2698,0.0114,0.2698,0.11608571428571428,177.59566900581586,3521
