name,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity,min_rarity,max_rarity,mean_rarity,factoral_rarity,rarity_rank
Okay Bear #9335,0.1265,0.0052,0.0025,0.0965,0.0275,0.032,0.0551,0.0025,0.1265,0.04932857142857143,696.3379816384465,1
Okay Bear #4396,0.1222,0.0158,0.0025,0.0965,0.0227,0.6672,0.0085,0.0025,0.6672,0.13362857142857143,645.0358628155564,2
Okay Bear #1469,0.1222,0.0259,0.0025,0.0199,0.0139,0.6672,0.0214,0.0025,0.6672,0.12471428571428571,617.214819912107,3
Okay Bear #7788,0.1265,0.0052,0.0116,0.0671,0.0037,0.6672,0.0256,0.0037,0.6672,0.12955714285714287,612.1544280860684,4
Okay Bear #8263,0.1261,0.144,0.0049,0.031,0.0104,0.6672,0.0041,0.0041,0.6672,0.1411,592.7694418668848,5
Okay Bear #7110,0.1252,0.0641,0.0038,0.1309,0.0037,0.6672,0.0412,0.0037,0.6672,0.1480142857142857,590.4260745029097,6
Okay Bear #2577,0.1222,0.0456,0.0025,0.0526,0.012,0.6672,0.0239,0.0025,0.6672,0.13228571428571428,575.7976759378229,7
Okay Bear #8158,0.1252,0.0052,0.0049,0.0671,0.0091,0.6672,0.023,0.0049,0.6672,0.12881428571428571,574.1468467841737,8
Okay Bear #5971,0.1222,0.1413,0.0054,0.0454,0.0037,0.0183,0.0551,0.0037,0.1413,0.05591428571428571,565.5359631341144,9
Okay Bear #4859,0.1252,0.0456,0.0025,0.0454,0.0256,0.0211,0.0379,0.0025,0.1252,0.04332857142857143,564.7845659300658,10
Okay Bear #2226,0.1187,0.1413,0.0048,0.1309,0.0038,0.0409,0.0239,0.0038,0.1413,0.06632857142857143,560.9232700756229,11
Okay Bear #7949,0.1187,0.1268,0.0049,0.1309,0.0037,0.0438,0.0256,0.0037,0.1309,0.06491428571428572,560.1959077185055,12
Okay Bear #7478,0.1227,0.1413,0.0038,0.0087,0.0075,0.6672,0.0412,0.0038,0.6672,0.14177142857142858,552.4315025105408,13
Okay Bear #1072,0.1252,0.1413,0.0025,0.0671,0.1965,0.0092,0.2698,0.0025,0.2698,0.11594285714285713,547.4586508593468,14
Okay Bear #2833,0.1222,0.144,0.0025,0.0965,0.0124,0.6672,0.026,0.0025,0.6672,0.15297142857142856,546.0959455117027,15
Okay Bear #7509,0.1252,0.0276,0.0025,0.2023,0.0315,0.0282,0.0337,0.0025,0.2023,0.06442857142857143,546.0428733956205,16
Okay Bear #9886,0.1326,0.0052,0.0049,0.0671,0.012,0.0407,0.0551,0.0049,0.1326,0.04537142857142857,544.8861109777316,17
Okay Bear #5377,0.1265,0.0052,0.0038,0.062,0.0175,0.6672,0.2698,0.0038,0.6672,0.1645714285714286,541.8478649662553,18
Okay Bear #3340,0.1265,0.0072,0.0048,0.0671,0.0178,0.0171,0.0175,0.0048,0.1265,0.03685714285714286,541.8326548068699,19
Okay Bear #2885,0.1222,0.144,0.0049,0.062,0.0037,0.6672,0.0301,0.0037,0.6672,0.14772857142857143,540.3300780028458,20
Okay Bear #3730,0.1252,0.0456,0.0025,0.0507,0.0383,0.0438,0.029,0.0025,0.1252,0.04787142857142857,533.0643803098126,21
Okay Bear #1257,0.1227,0.0641,0.0025,0.2023,0.0197,0.6672,0.023,0.0025,0.6672,0.15735714285714283,524.4322201558406,22
Okay Bear #9485,0.126,0.0456,0.0025,0.0965,0.0161,0.6672,0.0551,0.0025,0.6672,0.14414285714285713,521.988449326577,23
Okay Bear #1983,0.1261,0.0072,0.0038,0.0671,0.0157,0.6672,0.0337,0.0038,0.6672,0.13154285714285713,519.7467863783473,24
Okay Bear #7021,0.1187,0.0456,0.0025,0.0341,0.0197,0.6672,0.2698,0.0025,0.6672,0.16537142857142856,515.6466090900676,25
Okay Bear #3283,0.1265,0.1268,0.0025,0.031,0.1965,0.0374,0.0303,0.0025,0.1965,0.07871428571428571,512.8799649559248,26
Okay Bear #7613,0.1265,0.1413,0.0025,0.0965,0.0197,0.6672,0.0339,0.0025,0.6672,0.15537142857142858,507.10372082831753,27
Okay Bear #9667,0.126,0.0641,0.0025,0.1309,0.0197,0.6672,0.0424,0.0025,0.6672,0.1504,507.02167930500116,28
Okay Bear #8003,0.1252,0.039,0.0426,0.026,0.0116,0.0051,0.0078,0.0051,0.1252,0.036757142857142856,506.05441908300566,29
Okay Bear #2126,0.1261,0.1413,0.0025,0.0671,0.02,0.6672,0.0412,0.0025,0.6672,0.15219999999999997,505.6811302275385,30
Okay Bear #599,0.126,0.1413,0.0025,0.2023,0.0227,0.0282,0.2698,0.0025,0.2698,0.11325714285714285,503.17710806926203,31
Okay Bear #1321,0.126,0.0641,0.0025,0.2023,0.0208,0.6672,0.0412,0.0025,0.6672,0.16058571428571428,502.32785438989987,32
Okay Bear #3888,0.1261,0.0276,0.0049,0.0454,0.0088,0.6672,0.0086,0.0049,0.6672,0.12694285714285716,501.6843969079131,33
Okay Bear #532,0.1252,0.1413,0.0025,0.0788,0.022,0.6672,0.0379,0.0025,0.6672,0.15355714285714286,501.09328730052056,34
Okay Bear #9666,0.1265,0.0818,0.0253,0.0087,0.0124,0.6672,0.0041,0.0041,0.6672,0.13228571428571428,500.6446989244089,35
Okay Bear #2489,0.1326,0.144,0.0025,0.2023,0.0204,0.6672,0.0379,0.0025,0.6672,0.17241428571428571,496.3327093830151,36
Okay Bear #2410,0.1252,0.0641,0.0097,0.2023,0.0088,0.6672,0.0041,0.0041,0.6672,0.15448571428571428,490.6613853294675,37
Okay Bear #3756,0.1261,0.1268,0.0081,0.0671,0.0037,0.0282,0.0352,0.0037,0.1268,0.05645714285714286,488.31692331485885,38
Okay Bear #9980,0.1252,0.0456,0.0025,0.0788,0.1965,0.6672,0.0379,0.0025,0.6672,0.16481428571428575,475.580484096449,39
Okay Bear #6560,0.1265,0.0641,0.0025,0.094,0.1965,0.6672,0.029,0.0025,0.6672,0.16854285714285713,475.21467834131766,40
Okay Bear #1360,0.1227,0.0495,0.0081,0.0965,0.0038,0.6672,0.0212,0.0038,0.6672,0.13842857142857143,473.9979708930283,41
Okay Bear #7835,0.1187,0.0377,0.0081,0.0788,0.0178,0.6672,0.0041,0.0041,0.6672,0.13319999999999999,472.67795948842775,42
Okay Bear #5835,0.1265,0.0818,0.0025,0.094,0.1965,0.6672,0.0352,0.0025,0.6672,0.17195714285714284,465.76532548006355,43
Okay Bear #2490,0.1252,0.1268,0.0025,0.0788,0.1965,0.6672,0.0352,0.0025,0.6672,0.17602857142857142,463.5609615009604,44
Okay Bear #5106,0.1252,0.0052,0.0344,0.0965,0.0116,0.0171,0.0133,0.0052,0.1252,0.043328571428571425,459.60177313763415,45
Okay Bear #5304,0.126,0.039,0.0076,0.0965,0.0038,0.6672,0.0551,0.0038,0.6672,0.1421714285714286,458.3246912692262,46
Okay Bear #9127,0.1252,0.1268,0.0097,0.0965,0.0038,0.0374,0.0301,0.0038,0.1268,0.06135714285714285,452.44758759759424,47
Okay Bear #7922,0.1261,0.0456,0.0038,0.026,0.0124,0.6672,0.0266,0.0038,0.6672,0.12967142857142858,451.21741908752637,48
Okay Bear #5264,0.1265,0.039,0.0151,0.026,0.0037,0.0269,0.2698,0.0037,0.2698,0.07242857142857143,449.38430868690597,49
Okay Bear #8983,0.1222,0.0052,0.0076,0.031,0.0286,0.6672,0.0212,0.0052,0.6672,0.12614285714285714,447.9616574929112,50
Okay Bear #9241,0.1326,0.0052,0.0922,0.026,0.006,0.6672,0.0337,0.0052,0.6672,0.13755714285714285,446.99575401411016,51
Okay Bear #9014,0.1261,0.0495,0.0101,0.031,0.0256,0.6672,0.0041,0.0041,0.6672,0.13051428571428572,443.8639398076522,52
Okay Bear #9638,0.1227,0.1413,0.0025,0.0671,0.1965,0.6672,0.2698,0.0025,0.6672,0.2095857142857143,440.42453844758563,53
Okay Bear #187,0.126,0.0818,0.0048,0.0671,0.006,0.6672,0.0352,0.0048,0.6672,0.14115714285714287,439.97246833736506,54
Okay Bear #3596,0.1261,0.0052,0.0095,0.0526,0.0139,0.6672,0.0239,0.0052,0.6672,0.12834285714285715,439.7947223488153,55
Okay Bear #5935,0.1265,0.0818,0.0113,0.1309,0.0038,0.0282,0.0412,0.0038,0.1309,0.06052857142857143,439.1558041454285,56
Okay Bear #8714,0.126,0.0052,0.0113,0.0671,0.0115,0.6672,0.0214,0.0052,0.6672,0.12995714285714285,438.8271997836471,57
Okay Bear #6566,0.1252,0.0052,0.0243,0.0087,0.013,0.6672,0.2698,0.0052,0.6672,0.15905714285714284,438.5180319690496,58
Okay Bear #2779,0.1227,0.0052,0.0076,0.0788,0.0273,0.6672,0.0191,0.0052,0.6672,0.13255714285714287,435.2118127879439,59
Okay Bear #8515,0.1222,0.0606,0.0048,0.0087,0.0208,0.6672,0.0301,0.0048,0.6672,0.13062857142857145,430.7591336879105,60
Okay Bear #4791,0.1326,0.144,0.2305,0.031,0.015,0.0051,0.0086,0.0051,0.2305,0.08097142857142858,430.1065496908707,61
Okay Bear #5800,0.1187,0.039,0.0116,0.0526,0.0038,0.6672,0.0412,0.0038,0.6672,0.13344285714285714,428.2124692246331,62
Okay Bear #4347,0.1326,0.1413,0.0048,0.0199,0.0104,0.0183,0.2698,0.0048,0.2698,0.08530000000000001,427.70831269821764,63
Okay Bear #9917,0.126,0.039,0.0113,0.094,0.0139,0.0051,0.0379,0.0051,0.126,0.04674285714285714,427.1175083612337,64
Okay Bear #9687,0.1227,0.1413,0.0048,0.0671,0.0075,0.0374,0.0352,0.0048,0.1413,0.059428571428571435,426.94395523273045,65
Okay Bear #3762,0.126,0.1413,0.0048,0.0087,0.0193,0.6672,0.029,0.0048,0.6672,0.14232857142857144,426.08454192308903,66
Okay Bear #3787,0.1227,0.144,0.0076,0.1309,0.0383,0.6672,0.0041,0.0041,0.6672,0.15925714285714285,425.8236710252299,67
Okay Bear #1939,0.1261,0.144,0.0253,0.0788,0.0038,0.0374,0.0146,0.0038,0.144,0.06142857142857143,425.4797189259916,68
Okay Bear #2525,0.1187,0.0495,0.0271,0.0965,0.0037,0.0211,0.0337,0.0037,0.1187,0.05004285714285715,423.2269090413676,69
Okay Bear #1616,0.126,0.0377,0.0101,0.1309,0.0227,0.0051,0.0239,0.0051,0.1309,0.050914285714285704,423.08332626249705,70
Okay Bear #2461,0.1326,0.0052,0.0116,0.062,0.0124,0.6672,0.026,0.0052,0.6672,0.131,422.790599958288,71
Okay Bear #8820,0.126,0.0818,0.0922,0.0507,0.0124,0.0211,0.0041,0.0041,0.126,0.055471428571428574,422.67226491796396,72
Okay Bear #8895,0.126,0.1268,0.0253,0.0965,0.0037,0.0183,0.0337,0.0037,0.1268,0.06147142857142857,420.2999987857518,73
Okay Bear #3924,0.1187,0.144,0.0076,0.0454,0.1965,0.6672,0.0041,0.0041,0.6672,0.16907142857142857,419.464721870231,74
Okay Bear #6252,0.1227,0.0158,0.0054,0.0526,0.0088,0.6672,0.0379,0.0054,0.6672,0.13005714285714287,417.1580793900043,75
Okay Bear #9013,0.1187,0.0201,0.0049,0.1309,0.0157,0.6672,0.0122,0.0049,0.6672,0.13852857142857142,417.0571772596993,76
Okay Bear #1090,0.1222,0.0495,0.0049,0.2023,0.0088,0.0211,0.0551,0.0049,0.2023,0.06627142857142856,416.58866153476134,77
Okay Bear #1093,0.1252,0.0276,0.0922,0.0965,0.012,0.0438,0.0041,0.0041,0.1252,0.05734285714285715,415.49460837662315,78
Okay Bear #253,0.1222,0.0196,0.0344,0.0454,0.0038,0.6672,0.0256,0.0038,0.6672,0.13117142857142858,414.0191090749086,79
Okay Bear #872,0.1227,0.0158,0.0048,0.0965,0.0115,0.6672,0.0303,0.0048,0.6672,0.13554285714285716,411.5957491529575,80
Okay Bear #8563,0.1187,0.1268,0.0528,0.031,0.0038,0.0438,0.0175,0.0038,0.1268,0.05634285714285715,410.640295726271,81
Okay Bear #1426,0.1222,0.0052,0.0271,0.062,0.0227,0.0092,0.2698,0.0052,0.2698,0.07402857142857143,409.9753644567754,82
Okay Bear #7005,0.1227,0.0606,0.0211,0.2023,0.0101,0.0051,0.0266,0.0051,0.2023,0.06407142857142858,409.6704454012653,83
Okay Bear #3178,0.126,0.1413,0.0054,0.0965,0.009,0.0282,0.0191,0.0054,0.1413,0.06078571428571428,409.48965321863477,84
Okay Bear #1812,0.1187,0.0377,0.2305,0.2023,0.0104,0.0409,0.0041,0.0041,0.2305,0.0920857142857143,408.737510225355,85
Okay Bear #3357,0.1222,0.0196,0.0048,0.0507,0.0204,0.0269,0.029,0.0048,0.1222,0.039085714285714286,407.9380010833752,86
Okay Bear #6203,0.1222,0.1413,0.0049,0.0199,0.0275,0.0374,0.0133,0.0049,0.1413,0.05235714285714286,407.8829100281043,87
Okay Bear #9079,0.1265,0.1268,0.0151,0.1309,0.0202,0.0409,0.0041,0.0041,0.1309,0.06635714285714285,407.5134259082414,88
Okay Bear #6555,0.1261,0.0426,0.0057,0.0199,0.0104,0.0407,0.0339,0.0057,0.1261,0.0399,407.31664108978913,89
Okay Bear #5576,0.1187,0.0196,0.0038,0.1309,0.0315,0.6672,0.023,0.0038,0.6672,0.1421,406.96541571057026,90
Okay Bear #3421,0.1187,0.1268,0.1231,0.0965,0.0037,0.0211,0.0191,0.0037,0.1268,0.0727142857142857,404.816862452936,91
Okay Bear #9071,0.1326,0.0456,0.0344,0.0526,0.0357,0.0183,0.0041,0.0041,0.1326,0.04618571428571428,404.11092922643616,92
Okay Bear #4886,0.1187,0.0456,0.0097,0.0965,0.013,0.0183,0.0078,0.0078,0.1187,0.044228571428571416,403.58291606995886,93
Okay Bear #1166,0.1227,0.0052,0.0083,0.2023,0.0204,0.6672,0.0379,0.0052,0.6672,0.152,402.7863660775966,94
Okay Bear #579,0.1227,0.039,0.0054,0.0788,0.0193,0.6672,0.0085,0.0054,0.6672,0.1344142857142857,402.6258566917164,95
Okay Bear #2491,0.1187,0.144,0.0048,0.0671,0.0139,0.0211,0.023,0.0048,0.144,0.056085714285714294,401.4195791081545,96
Okay Bear #3234,0.1222,0.0158,0.2305,0.0671,0.0037,0.6672,0.026,0.0037,0.6672,0.16178571428571428,400.94657943834835,97
Okay Bear #6828,0.1326,0.1413,0.0049,0.0454,0.0115,0.0282,0.0266,0.0049,0.1413,0.05578571428571429,400.73818294527683,98
Okay Bear #1559,0.1261,0.144,0.0048,0.0526,0.0139,0.0121,0.2698,0.0048,0.2698,0.08904285714285713,400.5129221016501,99
Okay Bear #2487,0.1326,0.0606,0.0048,0.2023,0.0088,0.0438,0.0379,0.0048,0.2023,0.07011428571428571,400.1722534992248,100
Okay Bear #8052,0.1187,0.0426,0.0049,0.2023,0.0139,0.0121,0.2698,0.0049,0.2698,0.0949,399.21708798439084,101
Okay Bear #5185,0.1222,0.0158,0.0253,0.0788,0.0037,0.6672,0.2698,0.0037,0.6672,0.16897142857142858,399.16601277685527,102
Okay Bear #9060,0.1227,0.0641,0.0038,0.094,0.0104,0.6672,0.2698,0.0038,0.6672,0.176,398.9058722190716,103
Okay Bear #6229,0.1187,0.0641,0.0057,0.0965,0.0104,0.0183,0.0266,0.0057,0.1187,0.04861428571428572,398.21915450763674,104
Okay Bear #1471,0.1265,0.1413,0.2305,0.0671,0.0037,0.0183,0.0256,0.0037,0.2305,0.08757142857142859,398.20138263961746,105
Okay Bear #1936,0.1187,0.0196,0.2305,0.1309,0.0037,0.0438,0.0301,0.0037,0.2305,0.08247142857142857,397.7467340535319,106
Okay Bear #4487,0.1265,0.144,0.0344,0.0507,0.0101,0.0051,0.026,0.0051,0.144,0.056685714285714284,397.19308692812433,107
Okay Bear #831,0.1252,0.0456,0.0271,0.1309,0.013,0.6672,0.0041,0.0041,0.6672,0.1447285714285714,396.78115032320295,108
Okay Bear #8232,0.1252,0.0818,0.0097,0.0526,0.0357,0.0051,0.0339,0.0051,0.1252,0.04914285714285714,395.9045105999391,109
Okay Bear #7068,0.1265,0.0072,0.0098,0.2023,0.012,0.6672,0.0175,0.0072,0.6672,0.14892857142857144,395.75298872284463,110
Okay Bear #5925,0.126,0.0641,0.0217,0.1309,0.006,0.0282,0.0086,0.006,0.1309,0.05507142857142857,395.66623001625993,111
Okay Bear #2743,0.1227,0.0456,0.0095,0.0087,0.0091,0.6672,0.0301,0.0087,0.6672,0.12755714285714287,394.89697265344506,112
Okay Bear #7802,0.1222,0.0818,0.0038,0.094,0.0155,0.6672,0.029,0.0038,0.6672,0.1447857142857143,394.7021261523149,113
Okay Bear #2256,0.1252,0.0158,0.0054,0.0671,0.0256,0.6672,0.0122,0.0054,0.6672,0.13121428571428573,393.89518860419054,114
Okay Bear #8862,0.1187,0.0052,0.2305,0.0454,0.0104,0.032,0.0256,0.0052,0.2305,0.06682857142857143,393.5634648050344,115
Okay Bear #5737,0.1265,0.0495,0.0922,0.0454,0.0037,0.0409,0.0266,0.0037,0.1265,0.05497142857142857,393.29371022810597,116
Okay Bear #4846,0.1265,0.144,0.0038,0.026,0.0175,0.6672,0.0551,0.0038,0.6672,0.1485857142857143,393.2594944115145,117
Okay Bear #4153,0.126,0.0456,0.0048,0.1309,0.022,0.0171,0.023,0.0048,0.1309,0.05277142857142858,393.2514237232234,118
Okay Bear #4762,0.126,0.0158,0.0038,0.2023,0.1965,0.6672,0.0214,0.0038,0.6672,0.17614285714285716,392.6455270919598,119
Okay Bear #1354,0.1222,0.1268,0.0038,0.094,0.0161,0.6672,0.0256,0.0038,0.6672,0.15081428571428573,392.53903619752793,120
Okay Bear #9087,0.1265,0.0052,0.0095,0.0526,0.1965,0.0171,0.2698,0.0052,0.2698,0.09674285714285714,391.762435296018,121
Okay Bear #8302,0.126,0.0052,0.0922,0.0087,0.0251,0.6672,0.0412,0.0052,0.6672,0.13794285714285717,391.6439990342741,122
Okay Bear #9709,0.1252,0.0426,0.0038,0.0507,0.0139,0.6672,0.2698,0.0038,0.6672,0.1676,391.49085568963807,123
Okay Bear #7826,0.1261,0.0052,0.0253,0.1309,0.0088,0.0374,0.2698,0.0052,0.2698,0.0862142857142857,391.48379829965126,124
Okay Bear #9426,0.1252,0.039,0.0054,0.0788,0.0104,0.0407,0.0256,0.0054,0.1252,0.046442857142857154,391.2901573273151,125
Okay Bear #5364,0.1261,0.0196,0.0054,0.2023,0.009,0.0374,0.2698,0.0054,0.2698,0.09565714285714286,390.6344894435079,126
Okay Bear #4885,0.1261,0.0818,0.2305,0.0087,0.1965,0.6672,0.0041,0.0041,0.6672,0.18784285714285714,389.92637502844104,127
Okay Bear #4457,0.1252,0.0456,0.0797,0.0671,0.0115,0.6672,0.0041,0.0041,0.6672,0.14291428571428572,389.72498783158005,128
Okay Bear #655,0.1222,0.0641,0.0081,0.0788,0.0157,0.0269,0.0078,0.0078,0.1222,0.04622857142857142,389.00519244465636,129
Okay Bear #5465,0.1227,0.0259,0.0057,0.1309,0.0139,0.0121,0.2698,0.0057,0.2698,0.08299999999999999,388.1315371195804,130
Okay Bear #9023,0.1265,0.0606,0.0049,0.031,0.0157,0.0407,0.0256,0.0049,0.1265,0.04357142857142857,388.0732777600758,131
Okay Bear #5389,0.1261,0.039,0.0344,0.2023,0.0256,0.0269,0.0041,0.0041,0.2023,0.06548571428571429,387.7238211447296,132
Okay Bear #8849,0.1326,0.0052,0.0922,0.026,0.0383,0.0092,0.2698,0.0052,0.2698,0.08189999999999999,387.66845785373107,133
Okay Bear #563,0.1187,0.0259,0.0922,0.094,0.0037,0.6672,0.0214,0.0037,0.6672,0.14615714285714287,387.0169664908223,134
Okay Bear #7766,0.1222,0.0259,0.0054,0.094,0.0315,0.0092,0.2698,0.0054,0.2698,0.07971428571428572,386.7649608648011,135
Okay Bear #4683,0.126,0.144,0.0049,0.0965,0.1965,0.0282,0.0086,0.0049,0.1965,0.0863857142857143,386.15440053394803,136
Okay Bear #9395,0.126,0.0818,0.0038,0.1309,0.0157,0.6672,0.0339,0.0038,0.6672,0.15132857142857142,385.6503545016834,137
Okay Bear #3133,0.1326,0.0495,0.0048,0.0526,0.0227,0.0121,0.2698,0.0048,0.2698,0.07772857142857144,385.492179266116,138
Okay Bear #8813,0.1187,0.1413,0.0271,0.0341,0.0038,0.6672,0.0256,0.0038,0.6672,0.1454,385.44681856285627,139
Okay Bear #2656,0.1261,0.0456,0.0243,0.0965,0.0038,0.6672,0.0256,0.0038,0.6672,0.1413,385.09419204826304,140
Okay Bear #3927,0.126,0.0072,0.0797,0.094,0.0202,0.0269,0.0078,0.0072,0.126,0.05168571428571428,384.8955460304169,141
Okay Bear #3022,0.1187,0.0426,0.0528,0.2023,0.0037,0.6672,0.0175,0.0037,0.6672,0.15782857142857143,384.6932542790988,142
Okay Bear #8765,0.1187,0.0495,0.0038,0.0454,0.0251,0.6672,0.0339,0.0038,0.6672,0.1348,384.64890997161,143
Okay Bear #8426,0.126,0.0818,0.0049,0.0671,0.009,0.6672,0.0309,0.0049,0.6672,0.1409857142857143,384.1185807393721,144
Okay Bear #5579,0.1252,0.0259,0.0151,0.0788,0.0227,0.0051,0.0551,0.0051,0.1252,0.04684285714285714,383.7928950855372,145
Okay Bear #2668,0.1265,0.0276,0.0922,0.1309,0.0178,0.0051,0.0146,0.0051,0.1309,0.05924285714285714,383.37378612521223,146
Okay Bear #2613,0.1265,0.0072,0.0116,0.031,0.0315,0.0121,0.2698,0.0072,0.2698,0.06995714285714286,383.3560973635139,147
Okay Bear #1218,0.1187,0.0456,0.0038,0.062,0.0251,0.6672,0.0309,0.0038,0.6672,0.1361857142857143,383.34324934417543,148
Okay Bear #3036,0.1326,0.1413,0.0344,0.094,0.0037,0.0409,0.0292,0.0037,0.1413,0.06801428571428571,383.2934076423642,149
Okay Bear #2698,0.1252,0.0377,0.0097,0.0507,0.006,0.0374,0.0309,0.006,0.1252,0.04251428571428571,383.09616289717377,150
Okay Bear #5221,0.1326,0.1268,0.0038,0.1309,0.0208,0.6672,0.0212,0.0038,0.6672,0.15761428571428573,382.9707629588215,151
Okay Bear #7165,0.1326,0.0052,0.0253,0.0788,0.0139,0.6672,0.0175,0.0052,0.6672,0.13435714285714287,382.649321612215,152
Okay Bear #6015,0.1265,0.0276,0.0116,0.0087,0.0104,0.6672,0.0256,0.0087,0.6672,0.12537142857142855,382.00159479832706,153
Okay Bear #2069,0.126,0.0377,0.0113,0.0526,0.0256,0.0051,0.2698,0.0051,0.2698,0.07544285714285714,380.81606953504007,154
Okay Bear #6374,0.1252,0.0196,0.2305,0.0526,0.0038,0.6672,0.0303,0.0038,0.6672,0.16131428571428572,380.01742627469,155
Okay Bear #115,0.1222,0.1413,0.1231,0.2023,0.012,0.0409,0.0041,0.0041,0.2023,0.09227142857142857,380.01272757925597,156
Okay Bear #6703,0.1227,0.0456,0.0057,0.0671,0.0139,0.0121,0.2698,0.0057,0.2698,0.0767,378.71503332404797,157
Okay Bear #56,0.1265,0.1268,0.1231,0.0965,0.0101,0.6672,0.0041,0.0041,0.6672,0.1649,378.6888857934822,158
Okay Bear #1078,0.1265,0.144,0.2305,0.0671,0.0088,0.0051,0.029,0.0051,0.2305,0.0872857142857143,378.2886608651219,159
Okay Bear #2320,0.1222,0.1268,0.0038,0.0671,0.0256,0.6672,0.023,0.0038,0.6672,0.14795714285714287,378.17032760974473,160
Okay Bear #4992,0.1326,0.1268,0.0054,0.1309,0.009,0.6672,0.0175,0.0054,0.6672,0.15562857142857142,378.005287263455,161
Okay Bear #2057,0.1222,0.0201,0.2305,0.0671,0.0037,0.0374,0.2698,0.0037,0.2698,0.10725714285714284,377.8907616942497,162
Okay Bear #7604,0.1222,0.1413,0.0048,0.0199,0.0161,0.0438,0.0551,0.0048,0.1413,0.0576,376.9367083027148,163
Okay Bear #1217,0.1227,0.0641,0.0302,0.0671,0.0037,0.6672,0.0301,0.0037,0.6672,0.14072857142857145,376.75795830547884,164
Okay Bear #7861,0.1187,0.1413,0.0054,0.062,0.1965,0.0269,0.0085,0.0054,0.1965,0.0799,376.7267966471538,165
Okay Bear #4204,0.1252,0.0196,0.0038,0.2023,0.0227,0.6672,0.2698,0.0038,0.6672,0.18722857142857144,376.36679069647437,166
Okay Bear #7810,0.1265,0.0456,0.0038,0.1309,0.0251,0.6672,0.0292,0.0038,0.6672,0.1469,376.2182907941894,167
Okay Bear #2029,0.1222,0.1413,0.0038,0.2023,0.0193,0.6672,0.0256,0.0038,0.6672,0.16881428571428572,375.7362678214955,168
Okay Bear #6569,0.1252,0.0456,0.0426,0.0199,0.0383,0.6672,0.0041,0.0041,0.6672,0.13470000000000001,375.1533802518861,169
Okay Bear #1267,0.1252,0.0259,0.0038,0.1309,0.0383,0.6672,0.0339,0.0038,0.6672,0.14645714285714287,374.5015598056818,170
Okay Bear #7373,0.1222,0.0426,0.0048,0.094,0.0116,0.6672,0.0279,0.0048,0.6672,0.13861428571428572,374.1771070828429,171
Okay Bear #6792,0.1326,0.0606,0.0038,0.0671,0.015,0.6672,0.2698,0.0038,0.6672,0.17372857142857143,373.97606953634494,172
Okay Bear #228,0.1187,0.0377,0.2305,0.2023,0.0038,0.0407,0.0239,0.0038,0.2305,0.09394285714285715,373.8002707874744,173
Okay Bear #1051,0.1326,0.0606,0.0797,0.0341,0.006,0.0409,0.0086,0.006,0.1326,0.05178571428571428,373.3113071188415,174
Okay Bear #7455,0.1187,0.0072,0.0426,0.031,0.0115,0.0211,0.0279,0.0072,0.1187,0.037142857142857144,373.23791221513216,175
Okay Bear #8990,0.1261,0.0259,0.0797,0.1309,0.0038,0.6672,0.0239,0.0038,0.6672,0.15107142857142858,373.224423453031,176
Okay Bear #5139,0.1326,0.0201,0.0095,0.2023,0.1965,0.0051,0.2698,0.0051,0.2698,0.11941428571428572,372.3729726559936,177
Okay Bear #7444,0.1252,0.1413,0.0426,0.0671,0.0208,0.0374,0.0041,0.0041,0.1413,0.06264285714285714,372.1589993591226,178
Okay Bear #8639,0.1227,0.1268,0.0038,0.1309,0.0273,0.6672,0.0214,0.0038,0.6672,0.15715714285714286,371.69151827428743,179
Okay Bear #5146,0.1187,0.0377,0.2305,0.2023,0.0037,0.0407,0.0309,0.0037,0.2305,0.09492857142857145,371.43410168372776,180
Okay Bear #7820,0.1227,0.0377,0.0083,0.0454,0.0155,0.6672,0.0078,0.0078,0.6672,0.12922857142857144,371.4035758147197,181
Okay Bear #9336,0.1187,0.0818,0.0113,0.0671,0.012,0.0211,0.0086,0.0086,0.1187,0.04580000000000001,371.0540116149657,182
Okay Bear #2594,0.1222,0.0377,0.0049,0.0526,0.0155,0.0409,0.0412,0.0049,0.1222,0.045,371.0393959348697,183
Okay Bear #7151,0.1227,0.144,0.0922,0.094,0.0037,0.0407,0.0256,0.0037,0.144,0.07469999999999999,370.4814833920991,184
Okay Bear #6287,0.1222,0.0641,0.0054,0.1309,0.013,0.0409,0.0191,0.0054,0.1309,0.05651428571428572,370.33751028601444,185
Okay Bear #6735,0.1187,0.0456,0.0038,0.0965,0.0268,0.6672,0.0379,0.0038,0.6672,0.14235714285714288,369.0724714997315,186
Okay Bear #2810,0.1265,0.1268,0.0057,0.1309,0.0139,0.0183,0.023,0.0057,0.1309,0.06358571428571427,368.9351052224047,187
Okay Bear #9737,0.1252,0.0606,0.0048,0.0671,0.0197,0.032,0.0256,0.0048,0.1252,0.04785714285714286,368.79925492265914,188
Okay Bear #788,0.1252,0.0818,0.0038,0.0671,0.0197,0.6672,0.0551,0.0038,0.6672,0.1457,368.6822263223684,189
Okay Bear #6826,0.126,0.0259,0.0057,0.094,0.0104,0.6672,0.0266,0.0057,0.6672,0.13654285714285713,367.8700729855998,190
Okay Bear #1874,0.1265,0.0158,0.0344,0.0507,0.0088,0.0171,0.0133,0.0088,0.1265,0.038085714285714285,367.2937766249181,191
