,pdaAddress,auctionHouse,tokenAddress,tokenMint,seller,sellerReferral,tokenSize,price,expiry,rarity.moonrank.rank,rarity.moonrank.absolute_rarity,rarity.moonrank.crawl.id,rarity.moonrank.crawl.first_mint_ts,rarity.moonrank.crawl.last_mint_ts,rarity.moonrank.crawl.first_mint,rarity.moonrank.crawl.last_mint,rarity.moonrank.crawl.until_tx,rarity.moonrank.crawl.until_slot,rarity.moonrank.crawl.expected_pieces,rarity.moonrank.crawl.seen_pieces,rarity.moonrank.crawl.last_crawl_id,rarity.moonrank.crawl.complete,rarity.moonrank.crawl.blocked,rarity.moonrank.crawl.unblock_at_ts,rarity.howrare.rank,extra.img
8,2G7zj9w2Hp42Ua7poDzk9xAFPAPVyXiqk3hPFDoVrJN7,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,42wym9XsCJN2T3AHYJdpbTMS4BfV4yTiMYeqnPeiDPZb,BudpZXY3HjvGwD8GG2ecP4Ndigubm5sopVMV3Ne3jGAr,7woK4KrAc4K6J188it599FRHbEwWXH7w4eks229TokrT,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,25.0,-1,925,1.09516128122016e-09,trippin_ape_tribe,1653364451,1653420624,3Swen2CFnnp3YmyGKJKSc9D7AenGV1RTg2AT3DyGkQgT,3sb4wNkJvvMLvwPC16VqmPmAoJXveVKz1gnWNGPpRch1,,0,10000,10000,1529185539834970000,True,False,0,1627,https://bafybeicnywoc6j35rbe67eeg5chmovi3wicexsclfxs5y4bcqdrdz7oska.ipfs.nftstorage.link/6742.png?ext=png
9,FdVLdAroi5xsXAgLbPz9DiNwXMyuCSegsCDEq4z87t3Q,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,HjuxnEyJAMoW4LANuLrBCavgh7z6cDZZPehiVp9CwLbC,3RZ8QWwaz4zJepJKHKFBJNgzkpMQZgHQQxovUSpj6YpK,AcohjT9V4ubCCqtb4msvR2dTBmHyKPeGfW9gDdLc2a5i,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,56.9,-1,603,6.916374834454801e-10,trippin_ape_tribe,1653364451,1653420624,3Swen2CFnnp3YmyGKJKSc9D7AenGV1RTg2AT3DyGkQgT,3sb4wNkJvvMLvwPC16VqmPmAoJXveVKz1gnWNGPpRch1,,0,10000,10000,1529185539834970000,True,False,0,879,https://bafybeigotisccl54tprubocel6435bp5crbftckmbgjpb5274kvpvs2te4.ipfs.nftstorage.link/5818.png?ext=png
10,Dnr9R8nJV891jUD7QdXCAj6rev7GMoetbKSkMfs1oUti,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,BzYYAEUdDi8zTomtVqJsoHXjM2t21KnQUz6J54cCBKnz,2wDneRyPhabWuFgHXg5CYMAJiVvBG5GCVvyan1zteEep,H4AQQy5iRcrCBxPavyD42iJxv7EMvUGJu6JsCzpdqz77,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,88.0,-1,2696,4.019133046982592e-09,trippin_ape_tribe,1653364451,1653420624,3Swen2CFnnp3YmyGKJKSc9D7AenGV1RTg2AT3DyGkQgT,3sb4wNkJvvMLvwPC16VqmPmAoJXveVKz1gnWNGPpRch1,,0,10000,10000,1529185539834970000,True,False,0,2818,https://bafybeiboo3vznq2ltp2rdtqsdbw2afuxqfcsayk33t7ssp6c4rt4sajhcy.ipfs.nftstorage.link/7084.png?ext=png
11,BAz7CDPdMtXaXyoXpJ4ftnb9nNhQeg8zQhMYbYcw3UjA,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,5sQSdjotm1P29EC4P2gktWne5zkz3TWeFMT1nHLGDgzA,3j73RRkMY2WTshaxNbSDjNkCjPZ1knvXQGpedn47jHrg,if3Ddo9APNHjuzqN8MMqFYdgGQDDA2qRHDpAczJULkT,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,90.0,-1,209,1.79972769189888e-10,trippin_ape_tribe,1653364451,1653420624,3Swen2CFnnp3YmyGKJKSc9D7AenGV1RTg2AT3DyGkQgT,3sb4wNkJvvMLvwPC16VqmPmAoJXveVKz1gnWNGPpRch1,,0,10000,10000,1529185539834970000,True,False,0,127,https://bafybeidowl7bx6cgrbzoaxkjm3phn4c7n26rlehzovtkyqvdl4twcv5qrm.ipfs.nftstorage.link/4833.png?ext=png
12,9PMxzweVvuwQUa9Cyh68L9oDzGw3RTsscnzY79YycTwa,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,5X1ktob3LrFriKizhbzUT7PtzFi7PoLUgKWsCtub7EnQ,3G41PmHmS5vva9zNZDGegCpeRmnKXTNZQ99oS3XryhtT,2BB8srTVZA8T3cHLVPVbwr4JYoAU1i7suAA5toLQG9NQ,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,33.33,-1,2697,4.020013643256597e-09,trippin_ape_tribe,1653364451,1653420624,3Swen2CFnnp3YmyGKJKSc9D7AenGV1RTg2AT3DyGkQgT,3sb4wNkJvvMLvwPC16VqmPmAoJXveVKz1gnWNGPpRch1,,0,10000,10000,1529185539834970000,True,False,0,4332,https://bafybeicehdhnsrwexg4vq4oaohxchdvygi3hroeujxccfxf4ymcx5w4vti.ipfs.nftstorage.link/1049.png?ext=png
13,7fPGkckpsa79SNpJtdLwd9zBYVLWfwv97fv7MGqfhvMu,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,BbCWhzj6duWyuL4H4kHwRnhaRp188FSPapr4AnVGG8Po,DsgDD44RQ21xUxWsv8uMC5WffhLXwMUpyN6cizeRkp7v,CQRSkwkLPpA9J1kjuFyHosxzHk81pExbnSLMtz7YcqiR,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,40.0,-1,3412,5.730115405414399e-09,trippin_ape_tribe,1653364451,1653420624,3Swen2CFnnp3YmyGKJKSc9D7AenGV1RTg2AT3DyGkQgT,3sb4wNkJvvMLvwPC16VqmPmAoJXveVKz1gnWNGPpRch1,,0,10000,10000,1529185539834970000,True,False,0,1731,https://bafybeihtxxvjhvm3r2fvkn73azm7u5sg44243msu4p2ep76qjmt4dsqawi.ipfs.nftstorage.link/3603.png?ext=png
14,Ho1AxdWGkddKSAaRBB2MivfyGmnEpVwLy9V6igbsHBg8,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,3tCpLiHuPyJr5zY8CWTEGnpyxyqSRb3eNgmtRDok4XC5,8WUEjwnWuZPS3xD6SN7wcSjB4JqMFHq7jfaQ7XxekACu,HJn65NXpS7LHMPnbx1H1h16HqLmRNYBXfXQDrKNo8keZ,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,19.0,-1,8722,6.764877135517696e-08,trippin_ape_tribe,1653364451,1653420624,3Swen2CFnnp3YmyGKJKSc9D7AenGV1RTg2AT3DyGkQgT,3sb4wNkJvvMLvwPC16VqmPmAoJXveVKz1gnWNGPpRch1,,0,10000,10000,1529185539834970000,True,False,0,9103,https://bafybeibzrlztb57622rkvsriyjv2e2kpacxdkx7ouyude66n6h42otuegm.ipfs.nftstorage.link/6986.png?ext=png
15,BtAQtgtNQRbApAUdAXAiXWPF1cv7QGSYVQeRWPRgh3Vu,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,ExUihqKNysJHCfFvDuvZvTbEZWZyR4JCgxnY3shjUr8Y,D7UPzdGywHiGXkr4SGYkSQE7CkxansSP8UDRhqJjk86j,52XRiH9w8uuXGZxr7zBEckQ54pwE6CEULSyynnHzJnRT,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,29.99,-1,2187,3.0350595840143036e-09,trippin_ape_tribe,1653364451,1653420624,3Swen2CFnnp3YmyGKJKSc9D7AenGV1RTg2AT3DyGkQgT,3sb4wNkJvvMLvwPC16VqmPmAoJXveVKz1gnWNGPpRch1,,0,10000,10000,1529185539834970000,True,False,0,669,https://bafybeiddfmrjeqc3kruwa25jkabe4xdi4qqb2wj7gaumdaew523jn43aby.ipfs.nftstorage.link/5279.png?ext=png
16,5TYDUJTbcDREbgGrEDzBmrCR2minrKMpCeBnDJ4qejf6,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,ESeUB6xMjX5QkSjMMGmnPG7jv2iffRt9NUBRJkDHbVpn,Bvq4Vp4T3Hr3Ds4L8AdWzxGMppeFA9Vsu9GGhgqssBNV,69Z44SGBR8oktUG4Mp7Zifuy7zGqZs27fALUXpwWSwdB,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,21.0,-1,9526,1.2450065355515524e-07,trippin_ape_tribe,1653364451,1653420624,3Swen2CFnnp3YmyGKJKSc9D7AenGV1RTg2AT3DyGkQgT,3sb4wNkJvvMLvwPC16VqmPmAoJXveVKz1gnWNGPpRch1,,0,10000,10000,1529185539834970000,True,False,0,9706,https://bafybeigrsyehsn4wmqrm4bnugr75ap33s6hxfcxkb7yvr37mmc344in6mu.ipfs.nftstorage.link/9772.png?ext=png
17,5S8YEHbQvgNG1PTdYEypL8i9wQvCpxADT79kJp8tmDu3,E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,9zi2QdjpBF8Eczby2ozXQS1DAuyTLyKVff5hP63eEA57,EtPB2WEvHa1e13ThnNEKUvNJPP4KCDHw86jbdwDnaYFg,2HrbCkM9LNdf1oMZkbQmre24vvSty96FgQoPQYnX4zHn,autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2,1,29.25,-1,1797,2.327842290880656e-09,trippin_ape_tribe,1653364451,1653420624,3Swen2CFnnp3YmyGKJKSc9D7AenGV1RTg2AT3DyGkQgT,3sb4wNkJvvMLvwPC16VqmPmAoJXveVKz1gnWNGPpRch1,,0,10000,10000,1529185539834970000,True,False,0,3012,https://bafybeif7whjovqegwkzwubzgevmqeyfombb357kynz3yrso4vo3wr3h2bq.ipfs.nftstorage.link/6443.png?ext=png
