,pred_SOL,price,name,rarity_rank,trait_n,extra.img,diff
94,18.219654,18.9,Trippin' Ape Tribe #8056,8779,5,https://bafybeibtenkemyon245lshheczjusiiy56g6xgil62wsy5m6qvmqkhddti.ipfs.nftstorage.link/8056.png?ext=png,-0.6803460000000001
183,23.318417,24.0,Trippin' Ape Tribe #5036,3168,5,https://bafybeiaj6f4qhcgldrhhrzqlq22ra52ms34hvdv2gduugho3ybotrmytu4.ipfs.nftstorage.link/5036.png?ext=png,-0.6815829999999998
75,18.22137,19.0,Trippin' Ape Tribe #9871,9462,6,https://bafybeia42mccfbqyk5vbc5cgtycjflznwcqcuzueky5x66ddmtu5bl4jme.ipfs.nftstorage.link/9871.png?ext=png,-0.7786299999999997
53,18.718311,19.5,Trippin' Ape Tribe #1797,5867,6,https://bafybeicpyl25aenqmzl2xygwop7b3dblgelgd5a5xxmjktrnwi6sulautq.ipfs.nftstorage.link/1797.png?ext=png,-0.7816890000000001
440,18.42134,19.35,Trippin' Ape Tribe #2454,8723,6,https://bafybeif35e4samjwylqhymxmsl56qwqscklnxtlve3b2cbacvwnfvn3gy4.ipfs.nftstorage.link/2454.png?ext=png,-0.9286600000000007
149,17.99453,19.0,Trippin' Ape Tribe #6986,8722,6,https://bafybeibzrlztb57622rkvsriyjv2e2kpacxdkx7ouyude66n6h42otuegm.ipfs.nftstorage.link/6986.png?ext=png,-1.005469999999999
17,18.883667,19.9,Trippin' Ape Tribe #6145,3946,6,https://bafybeifptrcrnvusuyn2y775gglu7h5icqsxpclv7bls74bv2orfjupkra.ipfs.nftstorage.link/6145.png?ext=png,-1.0163329999999995
135,18.959158,20.0,Trippin' Ape Tribe #3958,9146,6,https://bafybeicd7q7vr5vft6aac2glyza57c75wqfiwakfhzc7vpg67i4z3igzwu.ipfs.nftstorage.link/3958.png?ext=png,-1.0408420000000014
89,18.60503,19.65,Trippin' Ape Tribe #9221,9824,6,https://bafybeifqh5fpg4s7p5zm2odfudcgocvwcs6k3lzbfrmtojvjsrw5g253cm.ipfs.nftstorage.link/9221.png?ext=png,-1.0449699999999993
187,23.626852,24.69,Trippin' Ape Tribe #8578,1575,6,https://bafybeigaj3bhpczgcoa7w2c5nf34tuvdizqk6qbsqgjgom62f3xbozsq3i.ipfs.nftstorage.link/8578.png?ext=png,-1.0631480000000018
152,18.799982,19.9,Trippin' Ape Tribe #2587,5062,6,https://bafybeibqvtenms4gjr2rd5doosvju6n6btzlmyw4dzyawtgemibdnch2om.ipfs.nftstorage.link/2587.png?ext=png,-1.1000179999999986
90,32.8594,34.0,Trippin' Ape Tribe #1110,714,6,https://bafybeieyazjdey34szmz7c4bqf3mgfp7dun6wkbzhg4lomcwx3s5izo7gi.ipfs.nftstorage.link/1110.png?ext=png,-1.1405999999999992
215,18.852262,20.0,Trippin' Ape Tribe #1570,9511,5,https://bafybeiaqovrcgmyaywcuze2xp2czyeiayqi3uar6wq2vrpqawbzs25v7sq.ipfs.nftstorage.link/1570.png?ext=png,-1.1477380000000004
88,17.786325,18.99,Trippin' Ape Tribe #2857,6603,6,https://bafybeig5lkf3ogztvkne4kt75h4fjej3jzslk3semljmpkr6xghl2p76tm.ipfs.nftstorage.link/2857.png?ext=png,-1.203674999999997
176,18.477453,19.69,Trippin' Ape Tribe #3588,9588,6,https://bafybeibgcl5hmltc3ippkpglzjelnrm5ks4frv3unenk2am3czonvuiuby.ipfs.nftstorage.link/3588.png?ext=png,-1.2125470000000007
126,19.745234,20.969,Trippin' Ape Tribe #7461,4025,6,https://bafybeiapwl2xzjscrlfemyxy6q77fi53facpykcg6a266ljcyxndu3t7xu.ipfs.nftstorage.link/7461.png?ext=png,-1.2237660000000012
93,18.751173,20.0,Trippin' Ape Tribe #2410,7681,6,https://bafybeih5r4flvgj5fiwau62xfmhveasiyhpvhdaf6ial3gjer7zi3uexba.ipfs.nftstorage.link/2410.png?ext=png,-1.2488269999999986
113,18.130215,19.46969696,Trippin' Ape Tribe #4083,6063,6,https://bafybeigua6fb3xi6npkklws46jpecwyyg3nvgliv6xbs77ji4aepj3lyuy.ipfs.nftstorage.link/4083.png?ext=png,-1.3394819600000005
124,18.333061,19.69,Trippin' Ape Tribe #1012,8465,6,https://bafybeia5py6w7qxzzgvtjvvf4oylkeihhd4qki5k3mlqh4eaq4z5mnlroe.ipfs.nftstorage.link/1012.png?ext=png,-1.3569390000000006
8,18.588066,20.0,Trippin' Ape Tribe #9819,9919,6,https://bafybeiepilmsehzs7gltqzemhbtfbww6bwwl2pizlvgjpbcrdi7vr22xha.ipfs.nftstorage.link/9819.png?ext=png,-1.4119339999999987
194,19.529354,21.0,Trippin' Ape Tribe #5351,6337,6,https://bafybeihxqz5nwhuotvv36n6quhhmbvrruvopsxwm5gr5jeqxpovq4xte3u.ipfs.nftstorage.link/5351.png?ext=png,-1.4706459999999986
193,18.500927,20.0,Trippin' Ape Tribe #9600,9851,6,https://bafybeibbdaccma6gwdx4o6iywpentz6zjgqt4jmsny7vp7g3jx4rrfnfby.ipfs.nftstorage.link/9600.png?ext=png,-1.4990729999999992
66,18.355373,19.9,Trippin' Ape Tribe #1660,8431,6,https://bafybeicm2f5d2dttklhbaccggq2nbiioijpet5sjvbbmrm6wpxkgq5agb4.ipfs.nftstorage.link/1660.png?ext=png,-1.5446269999999984
155,22.428398,24.0,Trippin' Ape Tribe #2369,2426,6,https://bafybeib6lnbxpkkcehy54c5wdyoqlcqnws46ogktyju4nsvgy4aiploq2q.ipfs.nftstorage.link/2369.png?ext=png,-1.5716019999999986
44,18.391603,20.0,Trippin' Ape Tribe #3216,4399,6,https://bafybeiax62ij5ea3dymr5tgmmhrqojkxoabljxfigjbdwzozomnlzkvzmi.ipfs.nftstorage.link/3216.png?ext=png,-1.608397
10,18.059696,19.69,Trippin' Ape Tribe #555,4642,6,https://bafybeig5q2bfeu5k7gg2nhl3s37424jqagvmpcxcappkf5xxombwc4a4d4.ipfs.nftstorage.link/555.png?ext=png,-1.6303040000000024
