,signature,type,source,tokenMint,collection,slot,blockTime,buyer,buyerReferral,seller,sellerReferral,price
7,4kFV28nwPb95pki5ocKXsQKzSjKR3MXvnb1N1SNn6c45hJqoAyHb45BRz2ZqsZJdeQC5xs1zBbAvqfoty68owaBx,buyNow,magiceden_v2,A6QYBgwbjG7JKXHF6nLfqhEMtMsKJQpehJUhVU9JXdpe,trippin_ape_tribe,135209891,1653528863,6qaXW4mgm6KYjMGvD8k5kYqt48jynU1tnySTRFgoDzM,,Bk7G2d4vw6APnayMoBur3kHHbLVXoXX5WoN4vMq8AWJy,,46.0
8,3SimM6K2Q9wDGnZ4wH3MW3Ts8DRb8VWfZ6f4xL846qmazQcVjmvFyFPGKLEUojDFcZeRyHSuw2EF3p5N33pPqmzh,buyNow,magiceden_v2,C3psZkFFZvtfVYmBLnCSb3brfnhWML3cEahBe22dVibN,trippin_ape_tribe,135209694,1653528721,5f2i3YURMsuXxUAx32fKvk5wHp8XJkx1hvptdwnrQVUU,,6caret3fovabPyfFyYAyRTUEDPVRKAcBsXnrGzh8VuhD,,50.0
9,5DneVF3u2ABiD3knZ1F2aQ2tQdCj8pMdfZFMfLz4jZZVJkRjGWWtkATRs5JUuipjw9Mf8bwmPc1toRTauZ9MPE3M,buyNow,magiceden_v2,GK8BB44PUL2bX6SjBwsXDPzzav21Wx6udfQNMk6iSeMj,trippin_ape_tribe,135209416,1653528521,DRshGmVTtRPDPQXUF6G8d3c4V1NQwQn4bhghjWWHqhk1,,12d4P4ygjZ6kXwzgFG5eGVXfDUUpF2r3zaevjiENMFgh,,48.0
10,3GwA5QpDCViFDtTv9rVvBUhRKibqPzvy8egbfqktbEuwFvUX48vTKY25PmQyLLWAGgq164A1XRjyQ1F2TKLKj1TQ,buyNow,magiceden_v2,DmC8FQZPfQYFKsWK3vyKRmhbhqS6wMrJzNouT9xa6Xtw,trippin_ape_tribe,135209405,1653528513,5KhkX9gENfiYDQR8fxPdgYCXH5M35xjAuAFRGThikF5j,,2XsoWkAUMK5RazJaPWCKeMu4C3Ebac8soYyXNm3YtmG8,,50.0
11,4Y4gY5RkyaV97Rh8hq5hDPRZotS3MZDy5DN6o1mCSrWgnhemvcWByJMTdoK9VH4CDrPkswre6Rfobf2JHcK4aesj,buyNow,magiceden_v2,C87dok4eLFqk2CFfttNkq9dD5KXBf7cuLn2t61GHXMqr,trippin_ape_tribe,135209079,1653528278,64hdq5gESpemptwSYi3hEtYxrcgRHY5qXYDr3BRvHJSS,,uMQwDp4buFfmw7wcj7Nthour3bEr4LzNVXAR1cyF81a,,52.0
12,54ykm4RS26kKJ5HmawhSHNZJfGbDPge4k1efSnvH2jjUMRU31jAJM7jYYqmyCPdyjremGe3gtmYrmEWeMYQ6UijP,buyNow,magiceden_v2,3W56g1p2P6zvCcJEYbp3Nff33rv2hp5hU1eTiHVncbZF,trippin_ape_tribe,135208556,1653527901,6tsjcty668gFPq1ax9XtxLbkJ687KN8LdpTu7zuctg3x,,Hki7JLhE6Wn7ESQmjYihhvHcpFY3grKSxH7be957btAC,,64.0
13,4FX2jcqiaQS84E9adJRmmFHfqffSKbdoUgQJMdZNDjQseF9oN6pD8v5QfQgqQoNfYbzFPa7RZTtX3gyUGxoBJcSg,buyNow,magiceden_v2,CffDopm2ETM5uRUmeVv9EMLPb34fmVfGaV2zrmVh6pTd,trippin_ape_tribe,135208501,1653527862,D3wj9BHcR38CfTyR8GJFBoXKLcXamFFnZiVNAY3dKcmi,,5fhaGEBKmsRaBRtQeqgM1a4u8swLoHRgz2fJAtYdS3WW,,69.0
14,aZXM47rtZ4oaTPmBfanU9o9qxGr1VSZ3oUC3uuBPRkrtgPr81QAdXs8A3ygv8MKYDZTSPpyNhwRjzzQjS3BCkrG,buyNow,magiceden_v2,6xHznFPqaKBFVmvvtaxXzzbjPERrPRgj6cW7Tgi1D4P9,trippin_ape_tribe,135208431,1653527811,3nzwhFAEEcsVKvVEGwfdsrdfVe5QkykLEgtYW9vjzcXj,,CtVLukKDp196v345UP7Dogo9T5FjNDyK32GwYJHuL4eK,,47.5
15,67pfetqwibDNEqoF2o4FGWp5LVZNZPWcvJGbUedgKZJ7BGXnYim6urqtWzBcGe5AaDwao4VpNiSTPcB4fvq4apk,buyNow,magiceden_v2,Cy3QNLBQa9o9Nwt3N2pfw785DYPaQW3fsfMFPcqfQMgR,trippin_ape_tribe,135208254,1653527684,H4pZzAvVZm4uJA8frpwvGDa5qghw1WCFM14FWF7GsMZ4,,ErcenBYQi2EfVcrUEmsEKUJTkeUFqeBoQesQgnBtiYgw,,52.0
16,532ByZvaCvspgAMnqxXvwcN9xTMCJKBNXH1g8yQzqQwFy3TxgtgwwcWojQ1CuZzsdBMwzV1h9orXLoPvKZvJKYS4,buyNow,magiceden_v2,EhpUQLjQLAjhDEjyT56uJRCDEZhRCAmrLNgajddWTSbC,trippin_ape_tribe,135208165,1653527620,8HqYT4WzTUZxK9oxUAh2yoZnieZMEW6bFasY5TGRwF6v,,DVG1NJM6rDSLUqSahovwjTsXuG3amUhzWqakv7gyYLKf,,105.0
