,Unnamed: 0,name,Background,Body,Eyes,Face,Hat,Outfit,trait_0_rarity,trait_2_rarity,trait_3_rarity,trait_4_rarity,trait_5_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
7616,7616,Trippin' Ape Tribe #6402,Lava Green,Swirls,Rainbow Bliss,Eyeball,Fedora,Purple Tank,2.68,7.26,6.4,7.689999999999999,6.45,5.7700000000000005,7617,3.56379944861952e-08,2.68,6.041666666666668,6,8oFmCoLWvG3pU77xH98htGaqjbfXapNpMbBwmYkzoWmW,18.299728
6553,6553,Trippin' Ape Tribe #5995,Beige,Drippy Pink,Blue Swirl,Snarl,Solar System,Suspenders,6.36,8.06,3.45,7.93,3.94,3.89,6554,2.149464431594376e-08,3.45,5.605,6,ArJfwf8x38HnixTQeShCryAyAAqnJGGTJfSb3e1HYzcg,18.299124
8366,8366,Trippin' Ape Tribe #5425,Light,Drippy Sol,Alert Red,Pipe,Headband,I _3 Chorles,5.09,3.66,7.79,5.79,6.619999999999999,9.71,8367,5.40122300167753e-08,3.66,6.4433333333333325,6,23Ha7TxsCMaWSgbSSJWT4zR3VDtzZgWx3Loh5DGWXH65,18.298973
3335,3335,Trippin' Ape Tribe #1819,Lime,Fig,Spaced Out,Eyeballs,Field Hat,Groovy Green,6.16,2.08,7.1099999999999985,2.01,4.69,6.4,3336,5.496199926497279e-09,2.01,4.741666666666667,6,9c6mobVzUizHPmVUvuk6nQSZcuf16oHkpgEuRULFzfrG,18.298912
7978,7978,Trippin' Ape Tribe #6554,Purple,Drippy Blue,420 Glasses,Shout,Valhalla Helm,Brown Robe,6.260000000000002,7.99,5.36,7.91,5.92,3.44,7979,4.318595570841397e-08,3.44,6.146666666666667,6,7ocxRMYXR1s6ruRmo59ttpJF8nTCq6H5vSdiCa1LtmCy,18.298513
7589,7589,Trippin' Ape Tribe #9408,Sunset,Drippy Blue,Rainbow Shades,Tats,Beanie,Tribal,4.61,7.99,5.09,3.5900000000000003,8.93,5.87,7590,3.528169942409352e-08,3.5900000000000003,6.013333333333333,6,ALWtmn6LzKxk2sLsiAgrm3GmCZapEBzSqoAtnmYkNiRh,18.29824
7948,7948,Trippin' Ape Tribe #9953,Sunset,Blue Tryptamine,Blue Shades,Balloon Purple,Headband,Groovy Green,4.61,10.68,7.13,2.86,6.619999999999999,6.4,7949,4.253688709450753e-08,2.86,6.383333333333333,6,9Lp1H7G72b9vuFswyqxbE8q34i8KD3dNhwtCwTB5h1pA,18.298054
5879,5879,Trippin' Ape Tribe #3209,Lilac,Phoenix,Wired,Cig,Solar System,Purple Tank,6.43,2.44,7.17,6.21,3.94,5.7700000000000005,5880,1.588121005668847e-08,2.44,5.326666666666667,6,2cyYnTc2QKQXwe6ZqJK1Tzgnc1sSaQz355QTZ8dwVm1J,18.297878
9793,9793,Trippin' Ape Tribe #9770,Sky Blue,Purple Tryptamine,Spaced Out,Quiet,Fedora,Mad Hatter,6.19,10.91,7.1099999999999985,9.86,6.45,5.47,9794,1.6703556724088718e-07,5.47,7.664999999999999,6,ANN48KaV3VREmtTcaGWxxh6MbVwxBRwpyuxeLu87Urzk,18.297722
5080,5080,Trippin' Ape Tribe #4116,Sky Blue,Drippy Sol,Holy F_k,Gold Grill,White Bucket,Brown Robe,6.19,3.66,3.32,5.94,7.46,3.44,5081,1.1465514110400768e-08,3.32,5.001666666666667,6,BCaXJE7xZKe9i8RGn3c2fzeUzdw4W8epPwdeHoiC9PTx,18.297401
