,Unnamed: 0,name,Background,Body,Eyes,Face,Hat,Outfit,trait_0_rarity,trait_2_rarity,trait_3_rarity,trait_4_rarity,trait_5_rarity,trait_1_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
17,17,Trippin' Ape Tribe #8881,Blotter,OJ,Orange Slices,Substrate,Mad Hatter,Patchwork Denim,0.99,0.99,0.75,0.99,2.19,2.19,18,3.490238275425001e-12,0.75,1.35,6,5w7J9SDNi2dWr1JN69qNRw1gPrf6dD97ECsPHFJRcdCn,115.084785
10,10,Trippin' Ape Tribe #8821,Blotter,OJ,Orange Slices,Rainbow Drool,Crown,Psychonaut,0.99,0.99,0.75,1.0699999999999998,1.77,1.13,11,1.5731391530250001e-12,0.75,1.1166666666666667,6,6qjLoZYpYDN6PvJmPHuXrHM7VEBjNe9P6aix9t4RoGLg,113.46033
44,44,Trippin' Ape Tribe #8897,Blotter,OJ,Orange Slices,Pizza,Valhalla Helm,White Rabbit,0.99,0.99,0.75,1.63,5.92,0.95,45,6.7385207339999996e-12,0.75,1.8716666666666668,6,3oiY6sZEDNJJSZfWpVzgKv9qbBR5EyLbnuXasTNBHbKA,108.52809
34,34,Trippin' Ape Tribe #8875,Blotter,OJ,Orange Slices,Diamond Grill,Octopus,White Rabbit,0.99,0.99,0.75,1.98,3.66,0.95,35,5.060594434500002e-12,0.75,1.5533333333333337,6,3uwE4Vgj9r6u6ZHHPHPcjf2dMyXRRyJLryxyZPKDR1xB,108.25321
58,58,Trippin' Ape Tribe #8860,Blotter,OJ,Orange Slices,Shroom,Valhalla Helm,Psychonaut,0.99,0.99,0.75,1.69,5.92,1.13,59,8.3103345468e-12,0.75,1.9116666666666668,6,2mN8qy6kMLFrhtMzpC35smcjw94HM9BnSFfW1GrJHzPt,104.998146
16,16,Trippin' Ape Tribe #8857,Blotter,OJ,Laser Eyes,Diamond Grill,Crown,White Rabbit,0.99,0.99,0.94,1.98,1.77,0.95,17,3.067328604780001e-12,0.94,1.2700000000000002,6,9KFaJkkBEsyLy1Sgu2687s3wWeJ5TBVJaKEDXWRNHd8e,102.22349
69,69,Trippin' Ape Tribe #8893,Blotter,OJ,Orange Slices,Eyeballs,Valhalla Helm,Mad Scientist,0.99,0.99,0.75,2.01,5.92,1.14,70,9.971357061600005e-12,0.75,1.9666666666666668,6,2m9H71uNmgzPJeQsUdcuvVse6Qz5Tw2ycNyA7PbjqhXS,101.11626
19,19,Trippin' Ape Tribe #8862,Blotter,OJ,Electric,Rainbow Vomit,Crown,Patchwork Denim,0.99,0.99,1.04,0.8999999999999999,1.77,2.19,20,3.5560152856800012e-12,0.8999999999999999,1.3133333333333332,6,FXpAU6c5QBAvJ1r7w6re4136Gr3GRHym8GqQgtixi84y,98.81211
20,20,Trippin' Ape Tribe #8832,Blotter,Diamond,Laser Eyes,Rainbow Drool,Mad Hatter,White Rabbit,0.99,1.81,0.94,1.0699999999999998,2.19,0.95,21,3.74967062811e-12,0.94,1.325,6,HvmUhgY4yAZQd6ZJrsSWFvfbRyPzzvf9e3G2bin4Xd78,96.83329
15,15,Trippin' Ape Tribe #8822,Blotter,Shroomin,Laser Eyes,Rainbow Drool,Apesolem,Psychonaut,0.99,1.11,0.94,1.0699999999999998,2.01,1.13,16,2.510407973106e-12,0.94,1.2083333333333333,6,48N5dQ3iiY6rEDQQQGedt64YB5hoNygbjZRUSY4fLPUH,96.72677
18,18,Trippin' Ape Tribe #8873,Blotter,Shroomin,HUD,Shroom,Crown,Psychonaut,0.99,1.11,0.94,1.69,1.77,1.13,19,3.4915996512539997e-12,0.94,1.2716666666666667,6,DYskMs8cxmdp8eXtF6oeMTLfNa9BJK6J78MkneG8143Z,94.69517
71,71,Trippin' Ape Tribe #8845,Blotter,Fig,Laser Eyes,J,Crown,Psychonaut,0.99,2.08,0.94,2.64,1.77,1.13,72,1.0220732451072001e-11,0.94,1.5916666666666668,6,9nC1qQUoqbizqzSoBUwjqrR2qkfVm8ZMw4sv8jMuW4Sv,94.37515
11,11,Trippin' Ape Tribe #8867,Blotter,Shroomin,Electric,Ten Strip Blue,Crown,Psychonaut,0.99,1.11,1.04,0.92,1.77,1.13,12,2.102960182752e-12,0.92,1.16,6,7TpJMeAj7eiwELkV7WRC6S99ZJ1bWCMzCYo2EtPnr4bc,94.23361
22,22,Trippin' Ape Tribe #8838,Blotter,Shroomin,HUD,Ten Strip,Apesolem,White Rabbit,0.99,1.11,0.94,1.98,2.01,0.95,23,3.905448182460001e-12,0.94,1.3300000000000003,6,GwmVYs1wt6HvPe5vZEUY6JZe9qByx9iSFAegeBVwdFtm,93.98443
42,42,Trippin' Ape Tribe #8841,Blotter,Diamond,Radioactive,Ten Strip Blue,Crown,Mad Scientist,0.99,1.81,1.91,0.92,1.77,1.14,43,6.353500694904001e-12,0.92,1.4233333333333336,6,2cYkAoHHBZyttJ2se1GXYnqYQqRKu2J1VbeKjP8LMcXp,93.47695
66,66,Trippin' Ape Tribe #8833,Blotter,Gold,Laser Eyes,Ten Strip,Mad Hatter,Psychonaut,0.99,2.03,0.94,1.98,2.19,1.13,67,9.256500622908e-12,0.94,1.5433333333333332,6,7RZD8KVCuFzWSYDgZn9kW4zWEnNAMfKrc8NZ9Wqt5aor,93.44369
12,12,Trippin' Ape Tribe #8820,Blotter,OJ,Electric,Rainbow Vomit,Mad Hatter,Mad Scientist,0.99,0.99,1.04,0.8999999999999999,2.19,1.14,13,2.2903149297600005e-12,0.8999999999999999,1.2083333333333337,6,HBFafzqwFVdCntgXGLkCfA5kpxRuifSh3EwMssMoovkM,93.0559
65,65,Trippin' Ape Tribe #8837,Blotter,Diamond,HUD,Rainbow Drool,Mad Hatter,Patchwork Denim,0.99,1.81,0.94,1.0699999999999998,2.19,2.19,66,8.643977553222e-12,0.94,1.5316666666666665,6,HbXBchK1Cw2Bu2sQ8Xmv6zJqbkmS3f1RD1Mr2idmVY5A,92.11252
36,36,Trippin' Ape Tribe #8805,Blotter,Diamond,HUD,Pizza,Apesolem,White Rabbit,0.99,1.81,0.94,1.63,2.01,0.95,37,5.242626159210001e-12,0.94,1.3883333333333334,6,FieMjz7hxKLQzVLA1zbUGnh6fiU2R8TsYLUb9h968nt7,92.10378
48,48,Trippin' Ape Tribe #8882,Blotter,DMTree,HUD,Pizza,Mad Hatter,Mad Scientist,0.99,1.88,0.94,1.63,2.19,1.14,49,7.119630715824002e-12,0.94,1.461666666666667,6,5VdcRJAMPvNXyuxdzt9W7WHdEXt6fRuWJksCKkueSuVt,91.94291
37,37,Trippin' Ape Tribe #8823,Blotter,Shroomin,Laser Eyes,J,Crown,Mad Scientist,0.99,1.11,0.94,2.64,1.77,1.14,38,5.502601618272002e-12,0.94,1.4316666666666669,6,74gA6Jc3kTPZe6H5Q9NcC4aQmzJCZHiajNFpAq44j9ho,91.875626
64,64,Trippin' Ape Tribe #8836,Blotter,DMTree,Laser Eyes,Ten Strip,Mad Hatter,Psychonaut,0.99,1.88,0.94,1.98,2.19,1.13,65,8.572522744368e-12,0.94,1.5183333333333335,6,EtQNSAZxPCJGuEaDUp5UnWjnHAJofpWf4dBngTTMMgvt,91.66876
27,27,Trippin' Ape Tribe #8863,Blotter,OJ,Laser Eyes,Ten Strip,Mad Hatter,Mad Scientist,0.99,0.99,0.94,1.98,2.19,1.14,28,4.5542031487920016e-12,0.94,1.3716666666666668,6,DCdsduNSDY3QLXet6GxiRKG4NmMk8vCb1DbdCNXFSPfK,91.601036
26,26,Trippin' Ape Tribe #8839,Blotter,OJ,Laser Eyes,Diamond Grill,Mad Hatter,Mad Scientist,0.99,0.99,0.94,1.98,2.19,1.14,27,4.5542031487920016e-12,0.94,1.3716666666666668,6,CtgawikpujsSDXAHLkcECjPzC6PhYYsaQgFAipMHsZmM,91.5546
45,45,Trippin' Ape Tribe #8835,Blotter,Shroomin,Laser Eyes,Shroom,Crown,Patchwork Denim,0.99,1.11,0.94,1.69,1.77,2.19,46,6.766905518802e-12,0.94,1.4483333333333337,6,FzVyYjYNPS1w2SioqsEvPasxBFEyrSB5FcaBfGTtvx6x,91.514915
28,28,Trippin' Ape Tribe #8815,Blotter,OJ,HUD,Eyeballs,Mad Hatter,Psychonaut,0.99,0.99,0.94,2.01,2.19,1.13,29,4.582651786218001e-12,0.94,1.375,6,ABSLuVJtfpGNqJX5xkVaHhdo2YPgkyCkrjHgoMF9z6Uk,91.34725
32,32,Trippin' Ape Tribe #8801,Blotter,Gold,HUD,Trippy Grill,Apesolem,Mad Scientist,0.99,2.03,0.94,1.11,2.01,1.14,33,4.8048847335719995e-12,0.94,1.37,6,DHCedWtqC2UsVUsVp8swLrsYJ7gaVvfrqGdXsNVZEQP8,90.43297
46,46,Trippin' Ape Tribe #8808,Blotter,OJ,Radioactive,Rainbow Vomit,Octopus,Psychonaut,0.99,0.99,1.91,0.8999999999999999,3.66,1.13,47,6.96796234002e-12,0.8999999999999999,1.596666666666667,6,HbQ8GKCRe6cSEEzuBYB8CNWeVrDCxryBjhctdNAXQ4x,90.35765
54,54,Trippin' Ape Tribe #8887,Blotter,DMTree,HUD,Ten Strip,Apesolem,Mad Scientist,0.99,1.88,0.94,1.98,2.01,1.14,55,7.937559549216003e-12,0.94,1.4900000000000002,6,FrhzSPwq8wPHQ3nSGzTAp8hNi4btZb5e48RJZnWJqEhz,90.177414
14,14,Trippin' Ape Tribe #8890,Blotter,Shroomin,Electric,Ten Strip Blue,Apesolem,Mad Scientist,0.99,1.11,1.04,0.92,2.01,1.14,15,2.4092410193280005e-12,0.92,1.2016666666666669,6,H4f9v3eK1bbb3HumDUbDshEd3Ws7YqSG7KNbp2XvePTg,90.16144
31,31,Trippin' Ape Tribe #8827,Blotter,Shroomin,Laser Eyes,Eyeballs,Apesolem,Psychonaut,0.99,1.11,0.94,2.01,2.01,1.13,32,4.715813108358001e-12,0.94,1.365,6,5KFcPYPKMVUk3dEsfRMiMU8hUCVootC55bGBV7pP2XDX,90.01768
57,57,Trippin' Ape Tribe #8849,Blotter,Fig,Radioactive,Rainbow Vomit,Apesolem,Psychonaut,0.99,2.08,1.91,0.8999999999999999,2.01,1.13,58,8.039867790239999e-12,0.8999999999999999,1.5033333333333332,6,2DMKxxR1zfyacJPH3uacyH5yeZ2kNd8d3KgWjpyGcdXf,89.919846
70,70,Trippin' Ape Tribe #8825,Blotter,OJ,HUD,J,Octopus,Psychonaut,0.99,0.99,0.94,2.64,3.66,1.13,71,1.0059159594528e-11,0.94,1.725,6,53HPsAWoqLe74nLc9cMmEMSbim1RyhfM2eAHYFP4d87B,89.72177
25,25,Trippin' Ape Tribe #8854,Blotter,DMTree,HUD,Trippy Grill,Apesolem,Mad Scientist,0.99,1.88,0.94,1.11,2.01,1.14,26,4.449843989712e-12,0.94,1.345,6,Cs4yrgAsq6eFfaGGd7z3EiippFR37CPhsZ5rccdH7FvS,89.509315
38,38,Trippin' Ape Tribe #8879,Blotter,DMTree,Laser Eyes,Shroom,Apesolem,White Rabbit,0.99,1.88,0.94,1.69,2.01,0.95,39,5.6458230800400006e-12,0.94,1.41,6,6JBRVcQVS3pset5cpBRqeDjychLJxEFiPynLsFUDB9JK,89.17672
49,49,Trippin' Ape Tribe #8871,Blotter,Shroomin,Radioactive,Rainbow Vomit,Crown,Patchwork Denim,0.99,1.11,1.91,0.8999999999999999,1.77,2.19,50,7.322365974330002e-12,0.8999999999999999,1.4783333333333333,6,DBjzqmvTzXFh3QikACokciSorVXUQoqdm3hbtUiALH5r,88.97937
24,24,Trippin' Ape Tribe #8891,Blotter,Fig,HUD,Substrate,Apesolem,Psychonaut,0.99,2.08,0.94,0.99,2.01,1.13,25,4.352472929376e-12,0.94,1.356666666666667,6,6ujvVStF5vmQbiFT6hyiuwwkYTbrFFcr1C3yTMncYWTJ,88.95555
21,21,Trippin' Ape Tribe #8886,Blotter,Gold,Laser Eyes,Rainbow Vomit,Apesolem,Mad Scientist,0.99,2.03,0.94,0.8999999999999999,2.01,1.14,22,3.89585248668e-12,0.8999999999999999,1.335,6,HMSFHDeb3URdG8MwGN1orYD798jRZ39yBLq8AZsm3cSA,87.88859
73,73,Trippin' Ape Tribe #8850,Blotter,Diamond,Laser Eyes,Substrate,Valhalla Helm,Mad Scientist,0.99,1.81,0.94,0.99,5.92,1.14,74,1.1253908394432004e-11,0.94,1.965,6,Be1oLCJhVd77GszWCbDqniEmbQx15hT8Cf5di11HLNhJ,87.410706
13,13,Trippin' Ape Tribe #8844,Blotter,Shroomin,Shroom Lennons,Substrate,Mad Hatter,White Rabbit,0.99,1.11,1.03,0.99,2.19,0.95,14,2.3313008005650003e-12,0.95,1.2100000000000002,6,6zRt4PcCuvZQg94WhgTicccSCNxbS11MxmsXurDyQqe8,87.29628
43,43,Trippin' Ape Tribe #8847,Blotter,Diamond,Rainbow Madness,Rainbow Vomit,Apesolem,Mad Scientist,0.99,1.81,1.72,0.8999999999999999,2.01,1.14,44,6.356025553680001e-12,0.8999999999999999,1.4283333333333337,6,wKSB1UjbPtYX6SYMntQmyVhjtGDv5n5LKLF1BY96WQK,87.22801
52,52,Trippin' Ape Tribe #8831,Blotter,Gold,Radioactive,Substrate,Crown,Mad Scientist,0.99,2.03,1.91,0.99,1.77,1.14,53,7.667925982794001e-12,0.99,1.471666666666667,6,5wycU9wK3tnzfHJvCJzriMQuk4fmsdEsLw8eof59Nrjv,86.493385
74,74,Trippin' Ape Tribe #8803,Blotter,DMTree,Laser Eyes,Substrate,Valhalla Helm,Psychonaut,0.99,1.88,0.94,0.99,5.92,1.13,75,1.1586606083712002e-11,0.94,1.975,6,4n9x6JCpKijooxPwybL8JxiWFS2XQrQU8CNqXCJKTFSF,85.524445
47,47,Trippin' Ape Tribe #8811,Blotter,Fig,Rainbow Madness,Substrate,Crown,Mad Scientist,0.99,2.08,1.72,0.99,1.77,1.14,48,7.0752255425280006e-12,0.99,1.4483333333333337,6,5sSVaqA54NZgjZJyCpib6p3W4svkVMpPN8a8dggmKiXW,84.237236
59,59,Trippin' Ape Tribe #8885,Blotter,Gold,Rainbow Madness,Substrate,Mad Hatter,Psychonaut,0.99,2.03,1.72,0.99,2.19,1.13,60,8.468713335852001e-12,0.99,1.508333333333333,6,9xV6emZXSVcvHCdA8WWSWM4qgbv8KMv2W8V37A8FgHWe,83.875565
51,51,Trippin' Ape Tribe #8846,Blotter,DMTree,Radioactive,Rainbow Drool,Crown,Psychonaut,0.99,1.88,1.91,1.0699999999999998,1.77,1.13,52,7.607849253444e-12,0.99,1.4583333333333333,6,B8UU4NEx7Th2NXBbwCF32szRRoZizyGouAVBdnLmKzHF,83.57217
62,62,Trippin' Ape Tribe #8894,Blotter,Gold,Electric,Pizza,Mad Hatter,Mad Scientist,0.99,2.03,1.04,1.63,2.19,1.14,63,8.505525332303998e-12,0.99,1.5033333333333332,6,32oq7gTtVG28e6bvwUjNa8HnGpMk74mL7nWdoEx2kFBR,83.53682
72,72,Trippin' Ape Tribe #8829,Blotter,Diamond,Rainbow Madness,Diamond Grill,Crown,White Rabbit,0.99,1.81,1.72,1.98,1.77,0.95,73,1.0261344737160001e-11,0.95,1.5366666666666668,6,HNsDK4uGFg32nCnXkHGRWUZTLgPy4rFYyQKQcAwJi5xQ,83.20051
63,63,Trippin' Ape Tribe #8834,Blotter,Fig,Shroom Lennons,Eyeballs,Crown,Psychonaut,0.99,2.08,1.03,2.01,1.77,1.13,64,8.526749836175999e-12,0.99,1.501666666666667,6,Eh17q8jNRxUNU4z2oEtzHV7WssZeRuTri8CuqDvWHkxE,82.980316
41,41,Trippin' Ape Tribe #8826,Blotter,Shroomin,Radioactive,Shroom,Crown,White Rabbit,0.99,1.11,1.91,1.69,1.77,0.95,42,5.964514749764999e-12,0.95,1.403333333333333,6,28jjwSzVvEb4dqJ3F5ncxYy3vkdvM6PKLMcSvAwQo2Ne,82.66035
55,55,Trippin' Ape Tribe #8876,Blotter,DMTree,Electric,Substrate,Octopus,Mad Scientist,0.99,1.88,1.04,0.99,3.66,1.14,56,7.995534738048003e-12,0.99,1.616666666666667,6,22FARWZyLwHY3hPFRTfjsQymTExwQ6Q7D4gwj21rvdjV,82.52385
40,40,Trippin' Ape Tribe #8888,Blotter,Shroomin,Electric,Rainbow Drool,Mad Hatter,Patchwork Denim,0.99,1.11,1.04,1.0699999999999998,2.19,2.19,41,5.864939277912001e-12,0.99,1.4316666666666666,6,Auz3oCCKcNGRqS3AeuTfAFnoZkrL9XfU3zhfgzMYc4YV,82.47534
23,23,Trippin' Ape Tribe #8883,Blotter,Shroomin,Shroom Lennons,Rainbow Drool,Octopus,White Rabbit,0.99,1.11,1.03,1.0699999999999998,3.66,0.95,24,4.210986668130002e-12,0.95,1.4683333333333335,6,8A4HgUFpSYjNSeogNweLheKYAzMStQk7vfH4cEPm6aVN,82.40401
33,33,Trippin' Ape Tribe #8874,Blotter,Shroomin,Shroom Lennons,Rainbow Drool,Octopus,Mad Scientist,0.99,1.11,1.03,1.0699999999999998,3.66,1.14,34,5.053184001756001e-12,0.99,1.5000000000000002,6,4dVYL6xRnMgTB2b9eauD12zdCUMNV9tf7XoM4Vz9xkAd,82.401855
30,30,Trippin' Ape Tribe #8892,Blotter,DMTree,Shroom Lennons,Substrate,Mad Hatter,Psychonaut,0.99,1.88,1.03,0.99,2.19,1.13,31,4.696648099308001e-12,0.99,1.3683333333333334,6,45thLHtwoWVHYSYEgyYVv28kVcPGEFKhwxVFJudBUkz6,82.39818
56,56,Trippin' Ape Tribe #8853,Blotter,Fig,Shroom Lennons,Ten Strip,Apesolem,White Rabbit,0.99,2.08,1.03,1.98,2.01,0.95,57,8.01900727056e-12,0.95,1.5066666666666668,6,GzeEQA2JAtg8NDj9wr4ai9YHrCzifP3pGbUwc5XB3FaZ,82.27624
50,50,Trippin' Ape Tribe #8855,Blotter,Shroomin,Rainbow Madness,Diamond Grill,Crown,Mad Scientist,0.99,1.11,1.72,1.98,1.77,1.14,51,7.551442646352003e-12,0.99,1.4516666666666669,6,2fnSSZG7jUsiqzh6CXbuPmH1WwqK5gomLpf8vvo6oQjc,82.25791
35,35,Trippin' Ape Tribe #8840,Blotter,OJ,Shroom Lennons,Rainbow Drool,Mad Hatter,Patchwork Denim,0.99,0.99,1.03,1.0699999999999998,2.19,2.19,36,5.180594751981e-12,0.99,1.41,6,6MwwXS1ybG1y2yDYkqjW1q3Uz8A3bJwA7ucSbEbMNj7d,81.935196
68,68,Trippin' Ape Tribe #8818,Blotter,Shroomin,Radioactive,Substrate,Mad Hatter,Patchwork Denim,0.99,1.11,1.91,0.99,2.19,2.19,69,9.965864198960999e-12,0.99,1.5633333333333332,6,EQwmLGG1EGz8oWLKx5TRhK1uD2R6GEVdY8TNxEACAiR3,81.86201
29,29,Trippin' Ape Tribe #8878,Blotter,Diamond,Electric,Substrate,Mad Hatter,Mad Scientist,0.99,1.81,1.04,0.99,2.19,1.14,30,4.606077803184001e-12,0.99,1.36,6,5Dg5DS2SJo6vJUuR4yMrspHe2aHVaFWcjfjCAVWCfYvJ,81.7958
67,67,Trippin' Ape Tribe #8809,Blotter,Diamond,Radioactive,Trippy Grill,Mad Hatter,Psychonaut,0.99,1.81,1.91,1.11,2.19,1.13,68,9.401403093093e-12,0.99,1.5233333333333334,6,4sQpxY9k9jpbt5SedJZSK3A6DTvB7hkJsoWcq8eRXDjs,81.524086
53,53,Trippin' Ape Tribe #8851,Blotter,Diamond,Electric,Ten Strip,Mad Hatter,White Rabbit,0.99,1.81,1.04,1.98,2.19,0.95,54,7.676796338639999e-12,0.95,1.4933333333333334,6,7Pfin5GYTm7YmvmLtq2fpC2QTYgQk62hrw1iFYTnwvM1,81.507355
61,61,Trippin' Ape Tribe #8812,Blotter,Shroomin,Electric,Shroom,Apesolem,Patchwork Denim,0.99,1.11,1.04,1.69,2.01,2.19,62,8.501946926615999e-12,0.99,1.505,6,2698sGpuFzE21aBqPfw5gV4KzLJuWMvANBdH6d4We2Wy,80.745125
39,39,Trippin' Ape Tribe #8807,Blotter,Fig,Electric,Rainbow Drool,Mad Hatter,Mad Scientist,0.99,2.08,1.04,1.0699999999999998,2.19,1.14,40,5.720903375616e-12,0.99,1.4183333333333337,6,Hd4tZQYGyDXg6YjP61fW9vDkbJzDnsk6eKz5CMEXkxbN,79.791306
84,84,Trippin' Ape Tribe #8872,Blotter,DMTree,Electric,Pizza,Mad Hatter,Patchwork Denim,0.99,1.88,1.04,1.63,2.19,2.19,85,1.5132205037664002e-11,0.99,1.653333333333333,6,DHtFWPvauPyAWDxw1Jc2Cva6veH4fZ7kpZ6YVrzcbUcQ,78.04439
60,60,Trippin' Ape Tribe #8842,Blotter,Diamond,Shroom Lennons,Eyeballs,Apesolem,Mad Scientist,0.99,1.81,1.03,2.01,2.01,1.14,61,8.500568284098003e-12,0.99,1.4983333333333333,6,GKhWutBh5tHcQeXari5DTeuZ8ro6FEmUKPzvXU8takHk,77.862816
78,78,Trippin' Ape Tribe #8819,Blotter,Fig,Rainbow Madness,Diamond Grill,Apesolem,White Rabbit,0.99,2.08,1.72,1.98,2.01,0.95,79,1.3390963597440001e-11,0.95,1.6216666666666668,6,6hMFjsH4vgCT4cmsWrtzZhFDV4A963AWQkmufrvsMycg,75.5325
80,80,Trippin' Ape Tribe #8877,Blotter,Gold,Electric,J,Mad Hatter,Mad Scientist,0.99,2.03,1.04,2.64,2.19,1.14,81,1.3775820170112e-11,0.99,1.6716666666666666,6,7X49fxD4kUzVMGscfrxTPxURqCBQreCFKfXiCHtt6gYm,74.97287
81,81,Trippin' Ape Tribe #8858,Blotter,Fig,Radioactive,Shroom,Mad Hatter,White Rabbit,0.99,2.08,1.91,1.69,2.19,0.95,82,1.3828858140239995e-11,0.95,1.635,6,6cjKmTnxgruYbj16mnY837WDLtX1s3igkF68KyExEPZ9,74.92135
75,75,Trippin' Ape Tribe #8816,Blotter,Diamond,HUD,Ten Strip,Crown,Patchwork Denim,0.99,1.81,0.94,1.98,1.77,2.19,76,1.2927787194564006e-11,0.94,1.6133333333333335,6,7r7DJVLSSqUAsyJNDQ652YiibxqQHYKRtVaNqCwkAUZr,74.00801
77,77,Trippin' Ape Tribe #8868,Blotter,Diamond,Laser Eyes,Substrate,Octopus,Patchwork Denim,0.99,1.81,0.94,0.99,3.66,2.19,78,1.3366017268956005e-11,0.94,1.7633333333333334,6,FiCxaATNb1rRi8mg9SnjVdKNhSrtJam67nNyFnm4EMgJ,72.5176
76,76,Trippin' Ape Tribe #8856,Blotter,Gold,Rainbow Madness,Ten Strip Blue,Octopus,Mad Scientist,0.99,2.03,1.72,0.92,3.66,1.14,77,1.3268854855872001e-11,0.92,1.7433333333333332,6,72kTwhFukE72NNTorzBGeVaoWJ1b64tqtDNNwLymfX2R,71.483376
100,100,Trippin' Ape Tribe #8813,Blotter,Fig,Electric,Substrate,Valhalla Helm,Patchwork Denim,0.99,2.08,1.04,0.99,5.92,2.19,101,2.7487350798335996e-11,0.99,2.2016666666666667,6,ARrdDJkvKaXQrYGVXPHE8WF4kcHgLmfsZSZWvf89UMrv,71.37379
86,86,Trippin' Ape Tribe #8848,Blotter,Fig,Shroom Lennons,Pizza,Apesolem,Patchwork Denim,0.99,2.08,1.03,1.63,2.01,2.19,87,1.5218208534672e-11,0.99,1.655,6,ByBpKz5rUugZzStiY6UshTC2GwYiXrV2EiT76LkGajKW,71.26043
85,85,Trippin' Ape Tribe #8870,Blotter,Shroomin,Electric,Diamond Grill,Valhalla Helm,Psychonaut,0.99,1.11,1.04,1.98,5.92,1.13,86,1.5137594005248005e-11,0.99,2.0283333333333333,6,9N966w2JH9VY43kFjjAzesJaGnFHEhT8gTW6ifWHWD7N,71.04783
90,90,Trippin' Ape Tribe #8865,Blotter,Gold,Radioactive,Substrate,Apesolem,Patchwork Denim,0.99,2.03,1.91,0.99,2.01,2.19,91,1.6727843881287e-11,0.99,1.6866666666666663,6,CcobR7kz6AqFFmD1Sh2AWTg3wjreNMXVcEeNBkiEqawt,71.00766
79,79,Trippin' Ape Tribe #8889,Blotter,OJ,Laser Eyes,J,Valhalla Helm,White Rabbit,0.99,0.99,0.94,2.64,5.92,0.95,80,1.3678783683840005e-11,0.94,2.0716666666666668,6,DU1x4wQExFb8V3zzMSJH43ZhFct72m6uz3eCjWjKQ3Zy,70.84956
83,83,Trippin' Ape Tribe #8814,Blotter,Shroomin,Laser Eyes,Eyeballs,Valhalla Helm,Psychonaut,0.99,1.11,0.94,2.01,5.92,1.13,84,1.3889360000736002e-11,0.94,2.016666666666666,6,DVXBiYi4oUu1UV5huafCtxm8uxNDQNztkfXzD57XAcKi,70.574036
94,94,Trippin' Ape Tribe #8828,Blotter,Diamond,Radioactive,Pizza,Octopus,White Rabbit,0.99,1.81,1.91,1.63,3.66,0.95,95,1.939721733279e-11,0.95,1.825,6,PdgX9JT9vBBo1wdBWLYysaQ4zX2YoVQzFGgM1gzfycY,70.43382
82,82,Trippin' Ape Tribe #8817,Blotter,DMTree,HUD,Substrate,Octopus,Patchwork Denim,0.99,1.88,0.94,0.99,3.66,2.19,83,1.3882935063888002e-11,0.94,1.775,6,HyoPXuup2y3f3GcatizU2ywufcFYgvpJ6CVVxyy1vvWV,69.97735
91,91,Trippin' Ape Tribe #8895,Blotter,DMTree,Shroom Lennons,Eyeballs,Apesolem,Patchwork Denim,0.99,1.88,1.03,2.01,2.01,2.19,92,1.6961587544484e-11,0.99,1.6849999999999998,6,PNmwmRvL2r344cv9vCUPo36zumizqyyfhdAHgBV1w8X,69.17685
87,87,Trippin' Ape Tribe #8898,Blotter,Diamond,Laser Eyes,Pizza,Valhalla Helm,White Rabbit,0.99,1.81,0.94,1.63,5.92,0.95,88,1.5440968588320007e-11,0.94,2.04,6,D1ZPkYrUDofQq97A6wEK3BNxSt4Q8XzwqTNCRfEcN7Ft,68.87147
88,88,Trippin' Ape Tribe #8824,Blotter,DMTree,Radioactive,Ten Strip,Apesolem,Mad Scientist,0.99,1.88,1.91,1.98,2.01,1.14,89,1.6128445467024006e-11,0.99,1.6516666666666666,6,BkVEd1KaAqCdtcY4U27GKMyfEFXxueq5tLxZqwyyz3Y6,68.032715
89,89,Trippin' Ape Tribe #8866,Blotter,Fig,Radioactive,Shroom,Mad Hatter,Mad Scientist,0.99,2.08,1.91,1.69,2.19,1.14,90,1.6594629768287994e-11,0.99,1.6666666666666667,6,APNQNtros34z2sKaARk2aBAwYqaeFWxeZ1ooxf1DNuRe,67.41309
95,95,Trippin' Ape Tribe #8852,Blotter,Shroomin,Electric,J,Valhalla Helm,Mad Scientist,0.99,1.11,1.04,2.64,5.92,1.14,96,2.0362073352192007e-11,0.99,2.14,6,6REWUkxxQhGMHskg9CZvTLHKDKbSJgAxrwgvPKLJZAT1,66.21018
98,98,Trippin' Ape Tribe #8884,Blotter,OJ,Radioactive,Eyeballs,Valhalla Helm,Mad Scientist,0.99,0.99,1.91,2.01,5.92,1.14,99,2.5393722650208005e-11,0.99,2.16,6,2DsxM1Hzg6y4aFRpjS2zbpvgUTUiMvWDfkWpZ7r85fZH,65.98008
97,97,Trippin' Ape Tribe #8804,Blotter,Fig,Laser Eyes,Ten Strip Blue,Valhalla Helm,Patchwork Denim,0.99,2.08,0.94,0.92,5.92,2.19,98,2.3087666055167998e-11,0.92,2.1733333333333333,6,AMC91hJ5mBxvLwpsjsxRfB4r2xa5NZWZkT6nWegq4YgV,65.51652
0,0,Trippin' Ape Tribe #13,Shroom,Galaxy Trypophobia,Radioactive,Ten Strip Blue,Ceremonial Hood,Ceremonial Hood,1.99,2.97,1.91,0.92,0.1,0.1,1,1.038557916e-13,0.1,1.3316666666666668,6,7ctjpJw5hx2rDQ93c5YCHo7HXTyFdx5tGPTauZbmwrNj,65.05417
